Index Title,Top Level Index Category,Total Number of Links to Index,Word Count of Primary Version,Number of Links / Number of Words,Number of distinct texts linked to this text,Number of top-level Categories linked,Number of distinct texts linked from Tanakh,Total number of links from Tanakh,Number of distinct texts linked from Mishnah,Total number of links from Mishnah,Number of distinct texts linked from Talmud,Total number of links from Talmud,Number of distinct texts linked from Midrash,Total number of links from Midrash,Number of distinct texts linked from Halakhah,Total number of links from Halakhah,Number of distinct texts linked from Kabbalah,Total number of links from Kabbalah,Number of distinct texts linked from Liturgy,Total number of links from Liturgy,Number of distinct texts linked from Jewish Thought,Total number of links from Jewish Thought,Number of distinct texts linked from Tosefta,Total number of links from Tosefta,Number of distinct texts linked from Chasidut,Total number of links from Chasidut,Number of distinct texts linked from Musar,Total number of links from Musar,Number of distinct texts linked from Responsa,Total number of links from Responsa,Number of distinct texts linked from Second Temple,Total number of links from Second Temple,Number of distinct texts linked from Reference,Total number of links from Reference
Targum Jonathan on Leviticus,Tanakh,1295,14939,0.08668585581364215,2,2,1,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,436
Targum Jonathan on Numbers,Tanakh,1820,22036,0.08259212198221093,4,3,1,1287,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,532
Targum Jonathan on Deuteronomy,Tanakh,1584,19294,0.08209806157354618,3,3,1,956,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,627
Targum Jonathan on Joshua,Tanakh,797,10188,0.07822928936003141,3,2,2,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,131
Targum Jonathan on Judges,Tanakh,929,10800,0.08601851851851852,2,2,1,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,311
Targum Jonathan on I Samuel,Tanakh,1185,14224,0.08330989876265467,4,3,1,811,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,372
Targum Jonathan on II Samuel,Tanakh,959,11730,0.08175618073316283,3,2,2,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,263
Targum Jonathan on I Kings,Tanakh,1154,13651,0.08453593143359461,3,2,2,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336
Targum Jonathan on II Kings,Tanakh,936,12802,0.07311357600374942,2,2,1,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,217
Targum Jonathan on Isaiah,Tanakh,2442,21451,0.113840846580579,2,2,1,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1151
Targum Jonathan on Jeremiah,Tanakh,1896,24384,0.07775590551181102,5,3,2,1365,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,529
Targum Jonathan on Ezekiel,Tanakh,1816,20726,0.0876194152272508,2,2,1,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,543
Targum Jonathan on Hosea,Tanakh,327,3463,0.0944267975743575,2,2,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130
Targum Jonathan on Joel,Tanakh,112,1104,0.10144927536231885,2,2,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39
Targum Jonathan on Amos,Tanakh,251,2346,0.10699062233589088,2,2,1,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105
Targum Jonathan on Obadiah,Tanakh,35,322,0.10869565217391304,2,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
Targum Jonathan on Jonah,Tanakh,73,745,0.09798657718120805,2,2,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
Targum Jonathan on Micah,Tanakh,170,1766,0.09626274065685164,2,2,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65
Targum Jonathan on Nahum,Tanakh,87,757,0.11492734478203434,2,2,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40
Targum Jonathan on Habakkuk,Tanakh,56,973,0.05755395683453238,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Targum Jonathan on Zephaniah,Tanakh,89,910,0.0978021978021978,2,2,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36
