Index Title,Top Level Index Category,Total Number of Links to Index,Word Count of Primary Version,Number of Links / Number of Words,Number of distinct texts linked to this text,Number of top-level Categories linked,Number of distinct texts linked from Tanakh,Total number of links from Tanakh,Number of distinct texts linked from Mishnah,Total number of links from Mishnah,Number of distinct texts linked from Talmud,Total number of links from Talmud,Number of distinct texts linked from Midrash,Total number of links from Midrash,Number of distinct texts linked from Halakhah,Total number of links from Halakhah,Number of distinct texts linked from Kabbalah,Total number of links from Kabbalah,Number of distinct texts linked from Liturgy,Total number of links from Liturgy,Number of distinct texts linked from Jewish Thought,Total number of links from Jewish Thought,Number of distinct texts linked from Tosefta,Total number of links from Tosefta,Number of distinct texts linked from Chasidut,Total number of links from Chasidut,Number of distinct texts linked from Musar,Total number of links from Musar,Number of distinct texts linked from Responsa,Total number of links from Responsa,Number of distinct texts linked from Second Temple,Total number of links from Second Temple,Number of distinct texts linked from Reference,Total number of links from Reference
Rashi on Ruth,Tanakh,152,1391,0.10927390366642703,26,5,15,133,3,4,6,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Rashi on Lamentations,Tanakh,431,3488,0.12356651376146789,39,5,25,387,2,2,10,17,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
Rashi on Ecclesiastes,Tanakh,1046,10990,0.09517743403093722,62,5,34,968,4,4,22,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
Rashi on Esther,Tanakh,236,1970,0.11979695431472082,20,4,15,181,0,0,1,40,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Rashi on Daniel,Tanakh,880,9148,0.09619588981198077,35,5,22,838,1,1,9,19,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
Rashi on Ezra,Tanakh,503,5329,0.09438919121786452,22,4,16,486,0,0,4,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Rashi on Nehemiah,Tanakh,518,5234,0.09896828429499427,22,3,19,505,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
Rashi on I Chronicles,Tanakh,1007,16576,0.060750482625482626,38,4,33,993,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
Rashi on II Chronicles,Tanakh,1106,18297,0.06044706782532656,38,4,32,1083,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
Ibn Ezra on Genesis,Tanakh,1762,27893,0.06316997096045603,43,3,41,1760,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Exodus,Tanakh,2044,64622,0.03163009501408189,37,5,30,2033,0,0,3,3,0,0,2,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ibn Ezra on Leviticus,Tanakh,1653,19912,0.08301526717557252,55,4,39,1609,1,1,14,42,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Numbers,Tanakh,1436,17776,0.08078307830783078,27,1,27,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Deuteronomy,Tanakh,2079,19719,0.10543130990415335,59,5,41,2036,2,2,14,38,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Isaiah,Tanakh,4659,42657,0.10922005766931571,51,4,39,4522,2,4,9,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Hosea,Tanakh,389,7120,0.05463483146067416,3,2,2,388,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Joel,Tanakh,124,1921,0.06454971369078605,2,1,2,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Amos,Tanakh,227,4641,0.048911872441284206,2,1,2,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Obadiah,Tanakh,34,608,0.05592105263157895,1,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Jonah,Tanakh,86,1656,0.051932367149758456,5,1,5,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Micah,Tanakh,198,3622,0.054665930425179456,1,1,1,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Nahum,Tanakh,106,1511,0.07015221707478492,1,1,1,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Habakkuk,Tanakh,4,31,0.12903225806451613,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Zephaniah,Tanakh,98,1350,0.0725925925925926,1,1,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Haggai,Tanakh,58,1451,0.03997243280496209,1,1,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Zechariah,Tanakh,346,6790,0.050957290132547864,2,1,2,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Malachi,Tanakh,98,1656,0.059178743961352656,1,1,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Psalms,Tanakh,3977,66102,0.06016459411212974,16,3,14,3975,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ibn Ezra on Proverbs,Tanakh,1357,20601,0.06587058880636862,2,1,2,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Job,Tanakh,966,13632,0.07086267605633803,6,2,5,965,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Song of Songs,Tanakh,360,4791,0.07514088916718847,1,1,1,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Ruth,Tanakh,96,1706,0.05627198124267292,3,1,3,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Lamentations,Tanakh,259,2224,0.1164568345323741,21,1,21,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Ecclesiastes,Tanakh,355,16274,0.021813936340174513,10,2,9,354,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Esther,Tanakh,181,3929,0.04606770170526851,1,1,1,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Daniel,Tanakh,488,13317,0.036644889990238044,2,1,2,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Ezra,Tanakh,238,3126,0.07613563659628919,1,1,1,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibn Ezra on Nehemiah,Tanakh,207,2770,0.07472924187725631,3,1,3,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramban on Genesis,Tanakh,3315,95890,0.034570862446553344,116,10,47,2714,11,14,32,283,12,256,6,6,2,6,0,0,1,3,1,1,2,2,0,0,2,2,0,0,0,0
Ramban on Exodus,Tanakh,2970,88355,0.03361439646879067,113,7,48,2601,15,20,33,213,8,83,5,12,3,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ramban on Leviticus,Tanakh,2368,65288,0.036270064943021686,125,7,49,1849,19,51,35,359,12,63,5,8,0,0,0,0,1,1,4,5,0,0,0,0,0,0,0,0,0,0
Ramban on Numbers,Tanakh,1534,51525,0.029771955361475012,86,9,43,1328,3,9,26,122,9,52,1,2,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,2
Ramban on Deuteronomy,Tanakh,2133,60805,0.03507935202697147,99,6,44,1747,6,18,29,219,13,107,6,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Joshua,Tanakh,389,50581,0.007690634823352642,38,4,24,361,1,1,12,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Judges,Tanakh,427,47481,0.008993070912575557,30,3,19,404,0,0,10,21,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on I Samuel,Tanakh,942,109936,0.00856862174355989,49,4,34,908,1,1,12,28,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on II Samuel,Tanakh,560,86541,0.00647092129741972,32,3,23,548,0,0,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on I Kings,Tanakh,948,141016,0.006722641402394054,61,4,32,865,3,10,22,66,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on II Kings,Tanakh,462,62844,0.007351537139583731,40,4,26,431,1,1,11,27,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Isaiah,Tanakh,1602,235820,0.006793316936646595,56,4,37,1550,0,0,14,41,4,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Jeremiah,Tanakh,651,105849,0.006150270668593941,44,4,29,627,1,2,11,18,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Ezekiel,Tanakh,911,143893,0.006331093242895763,38,4,29,897,1,1,6,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Hosea,Tanakh,437,38896,0.011235088440970794,44,3,32,416,0,0,11,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Joel,Tanakh,97,11147,0.00870189288597829,18,2,17,96,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Amos,Tanakh,262,25488,0.010279347143753923,28,3,23,255,0,0,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Obadiah,Tanakh,54,6583,0.00820294698465745,15,2,13,51,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Jonah,Tanakh,90,8929,0.010079516183223206,17,2,16,89,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Micah,Tanakh,205,18161,0.011287924673751445,33,4,28,199,1,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Nahum,Tanakh,69,6237,0.011063011063011063,14,1,14,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Habakkuk,Tanakh,111,8634,0.012856150104239055,24,4,20,107,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Zephaniah,Tanakh,86,7474,0.011506556061011506,18,2,17,85,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Haggai,Tanakh,48,6511,0.007372139456304715,11,2,10,47,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Zechariah,Tanakh,383,44914,0.008527407935164983,44,4,29,362,2,2,11,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Malachi,Tanakh,122,12639,0.009652662394176755,23,3,19,116,0,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abarbanel on Torah,Tanakh,1702,1074034,0.0015846798146054966,77,4,40,1419,1,12,32,259,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alshikh on Torah,Tanakh,3871,1015220,0.0038129666476231752,70,4,29,3047,2,32,32,747,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romemot El on Psalms,Tanakh,3370,344193,0.009791018411182099,5,3,2,3365,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rav Peninim on Proverbs,Tanakh,1702,221087,0.0076983269029838935,1,1,1,1702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelkat Mechokek on Job,Tanakh,1300,111749,0.011633213720033288,1,1,1,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shoshanat HaAmakim on Song of Songs,Tanakh,58,49398,0.0011741366047208388,1,1,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enei Moshe on Ruth,Tanakh,61,55117,0.0011067365785510824,1,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devarim Nichumim on Lamentations,Tanakh,71,44533,0.0015943233108032247,1,1,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devarim Tovim on Ecclesiastes,Tanakh,84,44966,0.0018680781034559446,1,1,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massat Moshe on Esther,Tanakh,99,79842,0.0012399488990756744,1,1,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chavatzelet HaSharon on Daniel,Tanakh,334,91619,0.0036455320402973184,1,1,1,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ateret Zekeinim,Tanakh,1,34915,2.8640985249892597e-05,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ba'al HaTurim on Genesis,Tanakh,30,374,0.08021390374331551,12,3,9,23,0,0,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bartenura on Torah,Tanakh,1859,85572,0.021724395830411816,22,2,16,1853,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bekhor Shor,Tanakh,4284,141633,0.03024718815530279,63,4,39,4173,2,3,21,107,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chizkuni,Tanakh,8299,164223,0.050534943339239934,89,4,41,8039,9,11,32,166,7,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daat Zkenim on Genesis,Tanakh,611,18786,0.03252422016395188,42,4,31,598,1,1,9,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daat Zkenim on Exodus,Tanakh,528,17757,0.029734752491974995,37,3,31,522,0,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daat Zkenim on Leviticus,Tanakh,225,6393,0.035194744251525106,22,2,21,224,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daat Zkenim on Numbers,Tanakh,426,12786,0.0333176912247771,31,3,27,413,0,0,1,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daat Zkenim on Deuteronomy,Tanakh,452,13252,0.034108059160881374,27,3,25,448,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ezra ben Solomon on Song of Songs,Tanakh,527,15128,0.03483606557377049,29,4,26,524,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gevia Kesef,Tanakh,465,19673,0.02363645605652417,33,4,30,462,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hadar Zekenim on Torah,Tanakh,831,90115,0.009221550241358265,3,1,3,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immanuel of Rome on Esther,Tanakh,330,14034,0.0235143223599829,1,1,1,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph ibn Yahya on Esther,Tanakh,259,15432,0.016783307413167445,1,1,1,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph ibn Yahya on Daniel,Tanakh,376,15196,0.024743353514082654,1,1,1,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kitzur Ba'al HaTurim on Genesis,Tanakh,719,14766,0.04869294324800217,29,4,25,713,1,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kitzur Ba'al HaTurim on Exodus,Tanakh,587,16341,0.03592191420353712,3,2,2,586,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kitzur Ba'al HaTurim on Leviticus,Tanakh,321,7557,0.042477173481540294,5,2,4,320,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kitzur Ba'al HaTurim on Numbers,Tanakh,472,11126,0.042423152975013485,11,4,7,466,1,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kitzur Ba'al HaTurim on Deuteronomy,Tanakh,650,12809,0.050745569521430244,17,2,12,644,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashmia Yeshuah,Tanakh,1929,174624,0.011046591533809786,56,4,36,1876,1,1,17,50,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Joshua,Tanakh,304,7108,0.04276871131119865,17,2,15,301,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Judges,Tanakh,282,6270,0.044976076555023926,19,2,18,281,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on I Samuel,Tanakh,326,6895,0.047280638143582306,13,2,12,325,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on II Samuel,Tanakh,378,7130,0.053015427769985975,16,1,16,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on I Kings,Tanakh,262,4666,0.05615087869695671,11,1,11,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on II Kings,Tanakh,307,6820,0.04501466275659824,12,1,12,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Isaiah,Tanakh,599,12954,0.04624054346147908,19,1,19,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Jeremiah,Tanakh,714,12060,0.059203980099502486,21,2,20,713,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Ezekiel,Tanakh,808,14432,0.05598669623059867,17,1,17,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Hosea,Tanakh,112,1858,0.060279870828848225,6,1,6,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Joel,Tanakh,51,1320,0.038636363636363635,6,1,6,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Amos,Tanakh,69,1477,0.046716316858496955,7,1,7,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Obadiah,Tanakh,17,403,0.04218362282878412,1,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Jonah,Tanakh,12,174,0.06896551724137931,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Micah,Tanakh,72,1307,0.05508798775822494,2,1,2,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Nahum,Tanakh,35,739,0.04736129905277402,2,1,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Habakkuk,Tanakh,32,730,0.043835616438356165,4,1,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Zephaniah,Tanakh,35,1670,0.020958083832335328,4,1,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Haggai,Tanakh,15,426,0.035211267605633804,3,1,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Zechariah,Tanakh,140,2832,0.04943502824858757,20,2,16,135,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Malachi,Tanakh,35,2446,0.014309076042518397,6,1,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Psalms,Tanakh,1270,24011,0.05289242430552663,24,1,24,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Proverbs,Tanakh,458,7131,0.06422661618286356,7,1,7,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Job,Tanakh,543,9544,0.05689438390611903,13,1,13,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Song of Songs,Tanakh,56,1783,0.03140773976444195,3,1,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Ruth,Tanakh,49,1568,0.03125,5,1,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Lamentations,Tanakh,99,1738,0.056962025316455694,3,1,3,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Ecclesiastes,Tanakh,81,2182,0.03712190650779102,3,2,2,80,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Esther,Tanakh,182,2914,0.06245710363761153,3,1,3,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Daniel,Tanakh,432,3956,0.10920121334681497,6,1,6,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Ezra,Tanakh,160,1546,0.1034928848641656,7,1,7,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Nehemiah,Tanakh,216,2945,0.0733446519524618,13,1,13,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on I Chronicles,Tanakh,336,5278,0.0636604774535809,8,2,7,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Minchat Shai on II Chronicles,Tanakh,327,5559,0.058823529411764705,15,1,15,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minchat Shai on Torah,Tanakh,3513,87222,0.04027653573639678,33,2,32,3512,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paaneach Raza,Tanakh,1952,94938,0.020560787039962922,12,4,9,1949,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabbeinu Bahya,Tanakh,14391,535016,0.026898260986587316,109,8,49,12527,5,50,34,1275,13,524,2,5,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2
Rabbeinu Chananel on Genesis,Tanakh,90,6675,0.01348314606741573,19,2,16,85,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabbeinu Chananel on Exodus,Tanakh,163,4615,0.03531960996749729,33,3,25,153,1,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabbeinu Chananel on Leviticus,Tanakh,8,182,0.04395604395604396,3,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabbeinu Chananel on Numbers,Tanakh,20,279,0.07168458781362007,10,2,8,18,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabbeinu Chananel on Deuteronomy,Tanakh,7,189,0.037037037037037035,6,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radak on Genesis,Tanakh,3982,87894,0.045304571415568755,73,4,37,3565,1,1,31,210,4,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radak on Joshua,Tanakh,539,17696,0.03045886075949367,37,4,26,522,0,0,6,10,3,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Radak on Judges,Tanakh,558,18342,0.03042198233562316,26,3,20,552,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radak on I Samuel,Tanakh,1140,38063,0.029950345479862334,28,5,20,1131,3,3,3,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
