Megillah		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
4a.14		תפילה וברכת כהנים	13.8						0	http://www.sefaria.org/Megillah.4a.14	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.13.8					Megillah.4a.14	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.13.8			
4a.20		מגילה וחנוכה	1.3	עשין דרבנן ד	1	א"ח	686.1	א"ח	686	http://www.sefaria.org/Megillah.4a.20	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.3	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.686.1	sefaria.org/Tur,_Orach_Chaim.686		Megillah.4a.20	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.3	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.686.1	Tur,_Orach_Chaim.686
4b.21		מגילה וחנוכה	1.14						0	http://www.sefaria.org/Megillah.4b.21	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.14					Megillah.4b.21	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.14			
4b.46		מגילה וחנוכה	1.14						0	http://www.sefaria.org/Megillah.4b.46	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.14					Megillah.4b.46	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.14			
4b.58		מגילה וחנוכה	1.13			א"ח	688.6	א"ח	688	http://www.sefaria.org/Megillah.4b.58	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.13		sefaria.org/Shulchan_Arukh,_Orach_Chayim.688.6	sefaria.org/Tur,_Orach_Chaim.688		Megillah.4b.58	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.13		Shulchan_Arukh,_Orach_Chayim.688.6	Tur,_Orach_Chaim.688
4b.65		מגילה וחנוכה	2.14			א"ח	688.6	א"ח	688	http://www.sefaria.org/Megillah.4b.65	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.14		sefaria.org/Shulchan_Arukh,_Orach_Chayim.688.6	sefaria.org/Tur,_Orach_Chaim.688		Megillah.4b.65	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.14		Shulchan_Arukh,_Orach_Chayim.688.6	Tur,_Orach_Chaim.688
4b.70		מגילה וחנוכה	2.14			א"ח	688.6	א"ח	688	http://www.sefaria.org/Megillah.4b.70	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.14		sefaria.org/Shulchan_Arukh,_Orach_Chayim.688.6	sefaria.org/Tur,_Orach_Chaim.688		Megillah.4b.70	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.14		Shulchan_Arukh,_Orach_Chayim.688.6	Tur,_Orach_Chaim.688
5a.3		מגילה וחנוכה	1.7	עשין דרבנן ד	1	א"ח	690.18	א"ח	690	http://www.sefaria.org/Megillah.5a.3	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.7	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.690.18	sefaria.org/Tur,_Orach_Chaim.690		Megillah.5a.3	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.7	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.690.18	Tur,_Orach_Chaim.690
5a.16		מגילה וחנוכה	1.8	עשין דרבנן ד	1				0	http://www.sefaria.org/Megillah.5a.16	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.8	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1				Megillah.5a.16	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.8	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1		
5a.21		מגילה וחנוכה	2.13						0	http://www.sefaria.org/Megillah.5a.21	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.13					Megillah.5a.21	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.13			
