Berakhot		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
16a.51		תפילה וברכת כהנים	5.8			א"ח	110.2	א"ח	110	http://www.sefaria.org/Berakhot.16a.51	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.5.8		sefaria.org/Shulchan_Arukh,_Orach_Chayim.110.2	sefaria.org/Tur,_Orach_Chaim.110		Berakhot.16a.51	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.5.8		Shulchan_Arukh,_Orach_Chayim.110.2	Tur,_Orach_Chaim.110
16a.53		ברכות	2.2						0	http://www.sefaria.org/Berakhot.16a.53	sefaria.org/Mishneh_Torah,_Blessings.2.2					Berakhot.16a.53	Mishneh_Torah,_Blessings.2.2			
16a.53		ברכות	2.2	עשין	18	א"ח	191.1	א"ח	191	http://www.sefaria.org/Berakhot.16a.53	sefaria.org/Mishneh_Torah,_Blessings.2.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.18	sefaria.org/Shulchan_Arukh,_Orach_Chayim.191.1	sefaria.org/Tur,_Orach_Chaim.191		Berakhot.16a.53	Mishneh_Torah,_Blessings.2.2	Sefer_Mitzvot_Gadol,_Volume_Two.18	Shulchan_Arukh,_Orach_Chayim.191.1	Tur,_Orach_Chaim.191
16b.5		תפילין ומזוזה וספר תורה	4.13			א"ח		א"ח	0	http://www.sefaria.org/Berakhot.16b.5	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.4.13		sefaria.org/Shulchan_Arukh,_Orach_Chayim.	sefaria.org/Tur,_Orach_Chaim.0		Berakhot.16b.5	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.4.13		Shulchan_Arukh,_Orach_Chayim.	Tur,_Orach_Chaim.0
16b.5		אבל	4.9			י"ד		י"ד	0	http://www.sefaria.org/Berakhot.16b.5	sefaria.org/Mishneh_Torah,_Mourning.4.9		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.	sefaria.org/Tur,_Yoreh_Deah.0		Berakhot.16b.5	Mishneh_Torah,_Mourning.4.9		Shulchan_Arukh,_Yoreh_De'ah.	Tur,_Yoreh_Deah.0
16b.10		אבל	1.2	עשין דרבנן ב	1	י"ד	381.1	י"ד	381	http://www.sefaria.org/Berakhot.16b.10	sefaria.org/Mishneh_Torah,_Mourning.1.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Mourning.1	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.381.1	sefaria.org/Tur,_Yoreh_Deah.381		Berakhot.16b.10	Mishneh_Torah,_Mourning.1.2	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Mourning.1	Shulchan_Arukh,_Yoreh_De'ah.381.1	Tur,_Yoreh_Deah.381
16b.10		אבל	5.3						0	http://www.sefaria.org/Berakhot.16b.10	sefaria.org/Mishneh_Torah,_Mourning.5.3					Berakhot.16b.10	Mishneh_Torah,_Mourning.5.3			
16b.10		אבל							0	http://www.sefaria.org/Berakhot.16b.10	sefaria.org/Mishneh_Torah,_Mourning.					Berakhot.16b.10	Mishneh_Torah,_Mourning.			
16b.18		קריאת שמע	4.7			א"ח	70.3	א"ח	70	http://www.sefaria.org/Berakhot.16b.18	sefaria.org/Mishneh_Torah,_Reading_the_Shema.4.7		sefaria.org/Shulchan_Arukh,_Orach_Chayim.70.3	sefaria.org/Tur,_Orach_Chaim.70		Berakhot.16b.18	Mishneh_Torah,_Reading_the_Shema.4.7		Shulchan_Arukh,_Orach_Chayim.70.3	Tur,_Orach_Chaim.70
16b.34		אבל	12.12			י"ד	377.1	י"ד	377	http://www.sefaria.org/Berakhot.16b.34	sefaria.org/Mishneh_Torah,_Mourning.12.12		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.377.1	sefaria.org/Tur,_Yoreh_Deah.377		Berakhot.16b.34	Mishneh_Torah,_Mourning.12.12		Shulchan_Arukh,_Yoreh_De'ah.377.1	Tur,_Yoreh_Deah.377
16b.39		אבל	12.12			י"ד	377.1	י"ד	377	http://www.sefaria.org/Berakhot.16b.39	sefaria.org/Mishneh_Torah,_Mourning.12.12		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.377.1	sefaria.org/Tur,_Yoreh_Deah.377		Berakhot.16b.39	Mishneh_Torah,_Mourning.12.12		Shulchan_Arukh,_Yoreh_De'ah.377.1	Tur,_Yoreh_Deah.377
16b.52		נחלות	4.5			ח"מ	278.5	ח"מ	278	http://www.sefaria.org/Berakhot.16b.52	sefaria.org/Mishneh_Torah,_Inheritances.4.5		sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.278.5	sefaria.org/Tur,_Choshen_Mishpat.278		Berakhot.16b.52	Mishneh_Torah,_Inheritances.4.5		Shulchan_Arukh,_Choshen_Mishpat.278.5	Tur,_Choshen_Mishpat.278
17a.13									0	http://www.sefaria.org/Berakhot.17a.13						Berakhot.17a.13				
17a.15						א"ח	122.1	א"ח	122	http://www.sefaria.org/Berakhot.17a.15			sefaria.org/Shulchan_Arukh,_Orach_Chayim.122.1	sefaria.org/Tur,_Orach_Chaim.122		Berakhot.17a.15			Shulchan_Arukh,_Orach_Chayim.122.1	Tur,_Orach_Chaim.122
17a.27		דעות	5.7			א"ח	565.4	א"ח	565	http://www.sefaria.org/Berakhot.17a.27	sefaria.org/Mishneh_Torah,_Human_Dispositions.5.7		sefaria.org/Shulchan_Arukh,_Orach_Chayim.565.4	sefaria.org/Tur,_Orach_Chaim.565		Berakhot.17a.27	Mishneh_Torah,_Human_Dispositions.5.7		Shulchan_Arukh,_Orach_Chayim.565.4	Tur,_Orach_Chaim.565
17a.37		תשובה	8.2						0	http://www.sefaria.org/Berakhot.17a.37	sefaria.org/Mishneh_Torah,_Repentance.8.2					Berakhot.17a.37	Mishneh_Torah,_Repentance.8.2			
17b.19		תעניות	5.10	עשין דרבנן ג	1	א"ח	554.22	א"ח	554	http://www.sefaria.org/Berakhot.17b.19	sefaria.org/Mishneh_Torah,_Fasts.5.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Tisha_B'Av.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.554.22	sefaria.org/Tur,_Orach_Chaim.554		Berakhot.17b.19	Mishneh_Torah,_Fasts.5.10	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Tisha_B'Av.1	Shulchan_Arukh,_Orach_Chayim.554.22	Tur,_Orach_Chaim.554
17b.21		תעניות	5.10	עשין דרבנן ג	1	א"ח	554.22	א"ח	554	http://www.sefaria.org/Berakhot.17b.21	sefaria.org/Mishneh_Torah,_Fasts.5.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Tisha_B'Av.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.554.22	sefaria.org/Tur,_Orach_Chaim.554		Berakhot.17b.21	Mishneh_Torah,_Fasts.5.10	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Tisha_B'Av.1	Shulchan_Arukh,_Orach_Chayim.554.22	Tur,_Orach_Chaim.554
17b.33		אבל	4.6			א"ח	71.1	א"ח	71	http://www.sefaria.org/Berakhot.17b.33	sefaria.org/Mishneh_Torah,_Mourning.4.6		sefaria.org/Shulchan_Arukh,_Orach_Chayim.71.1	sefaria.org/Tur,_Orach_Chaim.71		Berakhot.17b.33	Mishneh_Torah,_Mourning.4.6		Shulchan_Arukh,_Orach_Chayim.71.1	Tur,_Orach_Chaim.71
17b.33		קריאת שמע	4.3						0	http://www.sefaria.org/Berakhot.17b.33	sefaria.org/Mishneh_Torah,_Reading_the_Shema.4.3					Berakhot.17b.33	Mishneh_Torah,_Reading_the_Shema.4.3			
17b.34		קריאת שמע	4.4			א"ח	72.1	א"ח	72	http://www.sefaria.org/Berakhot.17b.34	sefaria.org/Mishneh_Torah,_Reading_the_Shema.4.4		sefaria.org/Shulchan_Arukh,_Orach_Chayim.72.1	sefaria.org/Tur,_Orach_Chaim.72		Berakhot.17b.34	Mishneh_Torah,_Reading_the_Shema.4.4		Shulchan_Arukh,_Orach_Chayim.72.1	Tur,_Orach_Chaim.72
17b.34						י"ד	358.1	י"ד	358	http://www.sefaria.org/Berakhot.17b.34			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.358.1	sefaria.org/Tur,_Yoreh_Deah.358		Berakhot.17b.34			Shulchan_Arukh,_Yoreh_De'ah.358.1	Tur,_Yoreh_Deah.358
17b.35		תפילה וברכת כהנים				א"ח	106.1	א"ח	106	http://www.sefaria.org/Berakhot.17b.35	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.		sefaria.org/Shulchan_Arukh,_Orach_Chayim.106.1	sefaria.org/Tur,_Orach_Chaim.106		Berakhot.17b.35	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.		Shulchan_Arukh,_Orach_Chayim.106.1	Tur,_Orach_Chaim.106
17b.35		קריאת שמע	4.1						0	http://www.sefaria.org/Berakhot.17b.35	sefaria.org/Mishneh_Torah,_Reading_the_Shema.4.1					Berakhot.17b.35	Mishneh_Torah,_Reading_the_Shema.4.1			
17b.36		תפילה וברכת כהנים				א"ח	106.1	א"ח	106	http://www.sefaria.org/Berakhot.17b.36	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.		sefaria.org/Shulchan_Arukh,_Orach_Chayim.106.1	sefaria.org/Tur,_Orach_Chaim.106	Find out about the halacha in the Rambam	Berakhot.17b.36	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.		Shulchan_Arukh,_Orach_Chayim.106.1	Tur,_Orach_Chaim.106
17b.36		קריאת שמע	4.1						0	http://www.sefaria.org/Berakhot.17b.36	sefaria.org/Mishneh_Torah,_Reading_the_Shema.4.1					Berakhot.17b.36	Mishneh_Torah,_Reading_the_Shema.4.1			
17b.38		קריאת שמע	4.6			א"ח	72.4	א"ח	72	http://www.sefaria.org/Berakhot.17b.38	sefaria.org/Mishneh_Torah,_Reading_the_Shema.4.6		sefaria.org/Shulchan_Arukh,_Orach_Chayim.72.4	sefaria.org/Tur,_Orach_Chaim.72		Berakhot.17b.38	Mishneh_Torah,_Reading_the_Shema.4.6		Shulchan_Arukh,_Orach_Chayim.72.4	Tur,_Orach_Chaim.72
17b.41		אבל	4.6	עשין דרבנן ב	1	י"ד	341.1	י"ד	341	http://www.sefaria.org/Berakhot.17b.41	sefaria.org/Mishneh_Torah,_Mourning.4.6	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Mourning.1	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.341.1	sefaria.org/Tur,_Yoreh_Deah.341		Berakhot.17b.41	Mishneh_Torah,_Mourning.4.6	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Mourning.1	Shulchan_Arukh,_Yoreh_De'ah.341.1	Tur,_Yoreh_Deah.341
17b.41						א"ח	199.5	א"ח	199	http://www.sefaria.org/Berakhot.17b.41			sefaria.org/Shulchan_Arukh,_Orach_Chayim.199.5	sefaria.org/Tur,_Orach_Chaim.199		Berakhot.17b.41			Shulchan_Arukh,_Orach_Chayim.199.5	Tur,_Orach_Chaim.199
18a.18		תפילין ומזוזה וספר תורה	4.23	עשין	22	א"ח	45.1	א"ח	45	http://www.sefaria.org/Berakhot.18a.18	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.4.23	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.22	sefaria.org/Shulchan_Arukh,_Orach_Chayim.45.1	sefaria.org/Tur,_Orach_Chaim.45		Berakhot.18a.18	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.4.23	Sefer_Mitzvot_Gadol,_Volume_Two.22	Shulchan_Arukh,_Orach_Chayim.45.1	Tur,_Orach_Chaim.45
18a.18		אבל	14.13			א"ח	71.7	א"ח	71	http://www.sefaria.org/Berakhot.18a.18	sefaria.org/Mishneh_Torah,_Mourning.14.13		sefaria.org/Shulchan_Arukh,_Orach_Chayim.71.7	sefaria.org/Tur,_Orach_Chaim.71		Berakhot.18a.18	Mishneh_Torah,_Mourning.14.13		Shulchan_Arukh,_Orach_Chayim.71.7	Tur,_Orach_Chaim.71
18a.18		תפילין ומזוזה וספר תורה	10.6			י"ד	282.4	י"ד	282	http://www.sefaria.org/Berakhot.18a.18	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.6		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.282.4	sefaria.org/Tur,_Yoreh_Deah.282		Berakhot.18a.18	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.6		Shulchan_Arukh,_Yoreh_De'ah.282.4	Tur,_Yoreh_Deah.282
18a.18						י"ד	367.2	י"ד	367	http://www.sefaria.org/Berakhot.18a.18			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.367.2	sefaria.org/Tur,_Yoreh_Deah.367		Berakhot.18a.18			Shulchan_Arukh,_Yoreh_De'ah.367.2	Tur,_Yoreh_Deah.367
18a.18						י"ד	367.3	י"ד	367	http://www.sefaria.org/Berakhot.18a.18			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.367.3	sefaria.org/Tur,_Yoreh_Deah.367		Berakhot.18a.18			Shulchan_Arukh,_Yoreh_De'ah.367.3	Tur,_Yoreh_Deah.367
18a.21		קריאת שמע	3.2			א"ח	71.7	א"ח	71	http://www.sefaria.org/Berakhot.18a.21	sefaria.org/Mishneh_Torah,_Reading_the_Shema.3.2		sefaria.org/Shulchan_Arukh,_Orach_Chayim.71.7	sefaria.org/Tur,_Orach_Chaim.71		Berakhot.18a.21	Mishneh_Torah,_Reading_the_Shema.3.2		Shulchan_Arukh,_Orach_Chayim.71.7	Tur,_Orach_Chaim.71
18a.21						י"ד	367.3	י"ד	367	http://www.sefaria.org/Berakhot.18a.21			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.367.3	sefaria.org/Tur,_Yoreh_Deah.367		Berakhot.18a.21			Shulchan_Arukh,_Yoreh_De'ah.367.3	Tur,_Yoreh_Deah.367
18a.21						י"ד	367.6	י"ד	367	http://www.sefaria.org/Berakhot.18a.21			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.367.6	sefaria.org/Tur,_Yoreh_Deah.367		Berakhot.18a.21			Shulchan_Arukh,_Yoreh_De'ah.367.6	Tur,_Yoreh_Deah.367
18a.23		קריאת שמע	4.3			א"ח	71.3	א"ח	71	http://www.sefaria.org/Berakhot.18a.23	sefaria.org/Mishneh_Torah,_Reading_the_Shema.4.3		sefaria.org/Shulchan_Arukh,_Orach_Chayim.71.3	sefaria.org/Tur,_Orach_Chaim.71		Berakhot.18a.23	Mishneh_Torah,_Reading_the_Shema.4.3		Shulchan_Arukh,_Orach_Chayim.71.3	Tur,_Orach_Chaim.71
18a.23						א"ח	71.4	א"ח	71	http://www.sefaria.org/Berakhot.18a.23			sefaria.org/Shulchan_Arukh,_Orach_Chayim.71.4	sefaria.org/Tur,_Orach_Chaim.71		Berakhot.18a.23			Shulchan_Arukh,_Orach_Chayim.71.4	Tur,_Orach_Chaim.71
18a.23						י"ד	341.6	י"ד	341	http://www.sefaria.org/Berakhot.18a.23			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.341.6	sefaria.org/Tur,_Yoreh_Deah.341		Berakhot.18a.23			Shulchan_Arukh,_Yoreh_De'ah.341.6	Tur,_Yoreh_Deah.341
18a.34		אבל	14.14	עשין דרבנן ב	1	י"ד	403.10	י"ד	403	http://www.sefaria.org/Berakhot.18a.34	sefaria.org/Mishneh_Torah,_Mourning.14.14	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Mourning.1	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.403.10	sefaria.org/Tur,_Yoreh_Deah.403		Berakhot.18a.34	Mishneh_Torah,_Mourning.14.14	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Mourning.1	Shulchan_Arukh,_Yoreh_De'ah.403.10	Tur,_Yoreh_Deah.403
18a.35		תפילין ומזוזה וספר תורה	10.11			י"ד	282.3	י"ד	282	http://www.sefaria.org/Berakhot.18a.35	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.11		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.282.3	sefaria.org/Tur,_Yoreh_Deah.282		Berakhot.18a.35	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.11		Shulchan_Arukh,_Yoreh_De'ah.282.3	Tur,_Yoreh_Deah.282
18a.40		תפילין ומזוזה וספר תורה	10.11	עשין דרבנן ב	1	י"ד	361.3	י"ד	361	http://www.sefaria.org/Berakhot.18a.40	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.11	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Mourning.1	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.361.3	sefaria.org/Tur,_Yoreh_Deah.361		Berakhot.18a.40	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.11	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Mourning.1	Shulchan_Arukh,_Yoreh_De'ah.361.3	Tur,_Yoreh_Deah.361
18a.46						א"ח	23.1	א"ח	23	http://www.sefaria.org/Berakhot.18a.46			sefaria.org/Shulchan_Arukh,_Orach_Chayim.23.1	sefaria.org/Tur,_Orach_Chaim.23		Berakhot.18a.46			Shulchan_Arukh,_Orach_Chayim.23.1	Tur,_Orach_Chaim.23
18a.46						י"ד	367.4	י"ד	367	http://www.sefaria.org/Berakhot.18a.46			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.367.4	sefaria.org/Tur,_Yoreh_Deah.367		Berakhot.18a.46			Shulchan_Arukh,_Yoreh_De'ah.367.4	Tur,_Yoreh_Deah.367
19a.25	1	תלמוד תורה	6.14			י"ד	334.43	י"ד	334	http://www.sefaria.org/Berakhot.19a.25	sefaria.org/Mishneh_Torah,_Torah_Study.6.14		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.334.43	sefaria.org/Tur,_Yoreh_Deah.334		Berakhot.19a.25	Mishneh_Torah,_Torah_Study.6.14		Shulchan_Arukh,_Yoreh_De'ah.334.43	Tur,_Yoreh_Deah.334
19a.31	2	תלמוד תורה	6.12			י"ד	243.7	י"ד	243	http://www.sefaria.org/Berakhot.19a.31	sefaria.org/Mishneh_Torah,_Torah_Study.6.12		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.243.7	sefaria.org/Tur,_Yoreh_Deah.243		Berakhot.19a.31	Mishneh_Torah,_Torah_Study.6.12		Shulchan_Arukh,_Yoreh_De'ah.243.7	Tur,_Yoreh_Deah.243
19a.31	2					י"ד	334.47	י"ד	334	http://www.sefaria.org/Berakhot.19a.31			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.334.47	sefaria.org/Tur,_Yoreh_Deah.334		Berakhot.19a.31			Shulchan_Arukh,_Yoreh_De'ah.334.47	Tur,_Yoreh_Deah.334
19a.36	3	סוטה	2.6						0	http://www.sefaria.org/Berakhot.19a.36	sefaria.org/Mishneh_Torah,_Woman_Suspected_of_Infidelity.2.6					Berakhot.19a.36	Mishneh_Torah,_Woman_Suspected_of_Infidelity.2.6			
19a.43		ברכות	6.19			א"ח	158.9	א"ח	158	http://www.sefaria.org/Berakhot.19a.43	sefaria.org/Mishneh_Torah,_Blessings.6.19		sefaria.org/Shulchan_Arukh,_Orach_Chayim.158.9	sefaria.org/Tur,_Orach_Chaim.158		Berakhot.19a.43	Mishneh_Torah,_Blessings.6.19		Shulchan_Arukh,_Orach_Chayim.158.9	Tur,_Orach_Chaim.158
19a.43		תלמוד תורה	6.14	עשין	27				0	http://www.sefaria.org/Berakhot.19a.43	sefaria.org/Mishneh_Torah,_Torah_Study.6.14	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.27				Berakhot.19a.43	Mishneh_Torah,_Torah_Study.6.14	Sefer_Mitzvot_Gadol,_Volume_Two.27		
19a.48		תלמוד תורה	7.4			י"ד	334.3	י"ד	334	http://www.sefaria.org/Berakhot.19a.48	sefaria.org/Mishneh_Torah,_Torah_Study.7.4		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.334.3	sefaria.org/Tur,_Yoreh_Deah.334		Berakhot.19a.48	Mishneh_Torah,_Torah_Study.7.4		Shulchan_Arukh,_Yoreh_De'ah.334.3	Tur,_Yoreh_Deah.334
19a.54		חמץ ומצה	8.11			א"ח	476.1	א"ח	476	http://www.sefaria.org/Berakhot.19a.54	sefaria.org/Mishneh_Torah,_Leavened_and_Unleavened_Bread.8.11		sefaria.org/Shulchan_Arukh,_Orach_Chayim.476.1	sefaria.org/Tur,_Orach_Chaim.476		Berakhot.19a.54	Mishneh_Torah,_Leavened_and_Unleavened_Bread.8.11		Shulchan_Arukh,_Orach_Chayim.476.1	Tur,_Orach_Chaim.476
19a.60		כלים	16.5						0	http://www.sefaria.org/Berakhot.19a.60	sefaria.org/Mishneh_Torah,_Vessels.16.5					Berakhot.19a.60	Mishneh_Torah,_Vessels.16.5			
19a.71		קריאת שמע	4.4	עשין	18	א"ח	72.2	א"ח	72	http://www.sefaria.org/Berakhot.19a.71	sefaria.org/Mishneh_Torah,_Reading_the_Shema.4.4	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.18	sefaria.org/Shulchan_Arukh,_Orach_Chayim.72.2	sefaria.org/Tur,_Orach_Chaim.72		Berakhot.19a.71	Mishneh_Torah,_Reading_the_Shema.4.4	Sefer_Mitzvot_Gadol,_Volume_Two.18	Shulchan_Arukh,_Orach_Chayim.72.2	Tur,_Orach_Chaim.72
19a.71						י"ד	358.2	י"ד	358	http://www.sefaria.org/Berakhot.19a.71			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.358.2	sefaria.org/Tur,_Yoreh_Deah.358		Berakhot.19a.71			Shulchan_Arukh,_Yoreh_De'ah.358.2	Tur,_Yoreh_Deah.358
19a.77		קריאת שמע	4.5	עשין	18	א"ח	72.3	א"ח	72	http://www.sefaria.org/Berakhot.19a.77	sefaria.org/Mishneh_Torah,_Reading_the_Shema.4.5	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.18	sefaria.org/Shulchan_Arukh,_Orach_Chayim.72.3	sefaria.org/Tur,_Orach_Chaim.72		Berakhot.19a.77	Mishneh_Torah,_Reading_the_Shema.4.5	Sefer_Mitzvot_Gadol,_Volume_Two.18	Shulchan_Arukh,_Orach_Chayim.72.3	Tur,_Orach_Chaim.72
19a.77						י"ד	344.12	י"ד	344	http://www.sefaria.org/Berakhot.19a.77			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.344.12	sefaria.org/Tur,_Yoreh_Deah.344		Berakhot.19a.77			Shulchan_Arukh,_Yoreh_De'ah.344.12	Tur,_Yoreh_Deah.344
19a.80						י"ד	376.2	י"ד	376	http://www.sefaria.org/Berakhot.19a.80			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.376.2	sefaria.org/Tur,_Yoreh_Deah.376		Berakhot.19a.80			Shulchan_Arukh,_Yoreh_De'ah.376.2	Tur,_Yoreh_Deah.376
19a.91		קריאת שמע	4.6			א"ח	72.4	א"ח	72	http://www.sefaria.org/Berakhot.19a.91	sefaria.org/Mishneh_Torah,_Reading_the_Shema.4.6		sefaria.org/Shulchan_Arukh,_Orach_Chayim.72.4	sefaria.org/Tur,_Orach_Chaim.72		Berakhot.19a.91	Mishneh_Torah,_Reading_the_Shema.4.6		Shulchan_Arukh,_Orach_Chayim.72.4	Tur,_Orach_Chaim.72
19b.3		קריאת שמע	4.6	עשין	18	א"ח	72.5	א"ח	72	http://www.sefaria.org/Berakhot.19b.3	sefaria.org/Mishneh_Torah,_Reading_the_Shema.4.6	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.18	sefaria.org/Shulchan_Arukh,_Orach_Chayim.72.5	sefaria.org/Tur,_Orach_Chaim.72		Berakhot.19b.3	Mishneh_Torah,_Reading_the_Shema.4.6	Sefer_Mitzvot_Gadol,_Volume_Two.18	Shulchan_Arukh,_Orach_Chayim.72.5	Tur,_Orach_Chaim.72
19b.6		כלאים	10.29	לאוין	283	י"ד	303.1	י"ד	303	http://www.sefaria.org/Berakhot.19b.6	sefaria.org/Mishneh_Torah,_Diverse_Species.10.29	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.283	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.303.1	sefaria.org/Tur,_Yoreh_Deah.303		Berakhot.19b.6	Mishneh_Torah,_Diverse_Species.10.29	Sefer_Mitzvot_Gadol,_Volume_One.283	Shulchan_Arukh,_Yoreh_De'ah.303.1	Tur,_Yoreh_Deah.303
19b.6		תלמוד תורה	5.3			י"ד	372.1	י"ד	372	http://www.sefaria.org/Berakhot.19b.6	sefaria.org/Mishneh_Torah,_Torah_Study.5.3		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.372.1	sefaria.org/Tur,_Yoreh_Deah.372		Berakhot.19b.6	Mishneh_Torah,_Torah_Study.5.3		Shulchan_Arukh,_Yoreh_De'ah.372.1	Tur,_Yoreh_Deah.372
19b.8		אבל	3.14			י"ד	372.1	י"ד	372	http://www.sefaria.org/Berakhot.19b.8	sefaria.org/Mishneh_Torah,_Mourning.3.14		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.372.1	sefaria.org/Tur,_Yoreh_Deah.372		Berakhot.19b.8	Mishneh_Torah,_Mourning.3.14		Shulchan_Arukh,_Yoreh_De'ah.372.1	Tur,_Yoreh_Deah.372
19b.14		קרבן פסח	6.8						0	http://www.sefaria.org/Berakhot.19b.14	sefaria.org/Mishneh_Torah,_Paschal_Offering.6.8					Berakhot.19b.14	Mishneh_Torah,_Paschal_Offering.6.8			
19b.16		קרבן פסח	6.8						0	http://www.sefaria.org/Berakhot.19b.16	sefaria.org/Mishneh_Torah,_Paschal_Offering.6.8					Berakhot.19b.16	Mishneh_Torah,_Paschal_Offering.6.8			
19b.18		אבל	3.14					י"ד	372	http://www.sefaria.org/Berakhot.19b.18	sefaria.org/Mishneh_Torah,_Mourning.3.14			sefaria.org/Tur,_Yoreh_Deah.372		Berakhot.19b.18	Mishneh_Torah,_Mourning.3.14			Tur,_Yoreh_Deah.372
19b.36		גזילה ואבידה	11.18	עשין	74	ח"מ	272.2	ח"מ	272	http://www.sefaria.org/Berakhot.19b.36	sefaria.org/Mishneh_Torah,_Robbery_and_Lost_Property.11.18	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.74	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.272.2	sefaria.org/Tur,_Choshen_Mishpat.272		Berakhot.19b.36	Mishneh_Torah,_Robbery_and_Lost_Property.11.18	Sefer_Mitzvot_Gadol,_Volume_Two.74	Shulchan_Arukh,_Choshen_Mishpat.272.2	Tur,_Choshen_Mishpat.272
19b.36		גזילה ואבידה	11.13			ח"מ	272.3	ח"מ	272	http://www.sefaria.org/Berakhot.19b.36	sefaria.org/Mishneh_Torah,_Robbery_and_Lost_Property.11.13		sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.272.3	sefaria.org/Tur,_Choshen_Mishpat.272		Berakhot.19b.36	Mishneh_Torah,_Robbery_and_Lost_Property.11.13		Shulchan_Arukh,_Choshen_Mishpat.272.3	Tur,_Choshen_Mishpat.272
