Crescas,Guide for the Perplexed,Heuristcally Added
"Crescas on Guide for the Perplexed, Part 1 73:32","Guide for the Perplexed, Part 1 73:45",
"Crescas on Guide for the Perplexed, Part 1 73:33","Guide for the Perplexed, Part 1 73:49",
"Crescas on Guide for the Perplexed, Part 1 73:34","Guide for the Perplexed, Part 1 73:50",
"Crescas on Guide for the Perplexed, Part 1 73:35","Guide for the Perplexed, Part 1 73:50",
"Crescas on Guide for the Perplexed, Part 1 73:36","Guide for the Perplexed, Part 1 73:53",
"Crescas on Guide for the Perplexed, Part 1 73:37","Guide for the Perplexed, Part 1 73:54",
"Crescas on Guide for the Perplexed, Part 1 73:38",,
"Crescas on Guide for the Perplexed, Part 1 74:1","Guide for the Perplexed, Part 1 74:3",
"Crescas on Guide for the Perplexed, Part 1 74:2","Guide for the Perplexed, Part 1 74:5",
"Crescas on Guide for the Perplexed, Part 1 74:3","Guide for the Perplexed, Part 1 74:6",
"Crescas on Guide for the Perplexed, Part 1 74:4",,
"Crescas on Guide for the Perplexed, Part 1 74:5","Guide for the Perplexed, Part 1 74:7",
"Crescas on Guide for the Perplexed, Part 1 74:6","Guide for the Perplexed, Part 1 74:7",
"Crescas on Guide for the Perplexed, Part 1 74:7","Guide for the Perplexed, Part 1 74:8",
"Crescas on Guide for the Perplexed, Part 1 74:8","Guide for the Perplexed, Part 1 74:10",
"Crescas on Guide for the Perplexed, Part 1 74:9","Guide for the Perplexed, Part 1 74:10",
"Crescas on Guide for the Perplexed, Part 1 74:10","Guide for the Perplexed, Part 1 74:10",
"Crescas on Guide for the Perplexed, Part 1 74:11","Guide for the Perplexed, Part 1 74:10",
"Crescas on Guide for the Perplexed, Part 1 74:12","Guide for the Perplexed, Part 1 74:10",
"Crescas on Guide for the Perplexed, Part 1 74:13","Guide for the Perplexed, Part 1 74:10",
"Crescas on Guide for the Perplexed, Part 1 74:14","Guide for the Perplexed, Part 1 74:10",
"Crescas on Guide for the Perplexed, Part 1 74:15","Guide for the Perplexed, Part 1 74:10",
"Crescas on Guide for the Perplexed, Part 1 74:16","Guide for the Perplexed, Part 1 74:11",
"Crescas on Guide for the Perplexed, Part 1 74:17","Guide for the Perplexed, Part 1 74:13",
"Crescas on Guide for the Perplexed, Part 1 75:1","Guide for the Perplexed, Part 1 75:2",
"Crescas on Guide for the Perplexed, Part 1 75:2","Guide for the Perplexed, Part 1 75:2",
"Crescas on Guide for the Perplexed, Part 1 75:3","Guide for the Perplexed, Part 1 75:2",
"Crescas on Guide for the Perplexed, Part 1 75:4","Guide for the Perplexed, Part 1 75:3",
"Crescas on Guide for the Perplexed, Part 1 75:5","Guide for the Perplexed, Part 1 75:4",
"Crescas on Guide for the Perplexed, Part 1 75:6",,
"Crescas on Guide for the Perplexed, Part 1 75:7","Guide for the Perplexed, Part 1 75:5",
"Crescas on Guide for the Perplexed, Part 1 75:8","Guide for the Perplexed, Part 1 75:5",
"Crescas on Guide for the Perplexed, Part 1 75:9","Guide for the Perplexed, Part 1 75:6",
"Crescas on Guide for the Perplexed, Part 1 75:10","Guide for the Perplexed, Part 1 75:6",
"Crescas on Guide for the Perplexed, Part 1 75:11","Guide for the Perplexed, Part 1 75:6",
"Crescas on Guide for the Perplexed, Part 1 75:12","Guide for the Perplexed, Part 1 75:7",
"Crescas on Guide for the Perplexed, Part 1 75:13","Guide for the Perplexed, Part 1 75:9",
"Crescas on Guide for the Perplexed, Part 1 75:14","Guide for the Perplexed, Part 1 75:9",
"Crescas on Guide for the Perplexed, Part 1 76:1",,
"Crescas on Guide for the Perplexed, Part 1 76:2",,
"Crescas on Guide for the Perplexed, Part 1 76:3",,
"Crescas on Guide for the Perplexed, Part 1 76:4",,
"Crescas on Guide for the Perplexed, Part 1 76:5",,
"Crescas on Guide for the Perplexed, Part 1 76:6",,
"Crescas on Guide for the Perplexed, Part 1 76:7",,
"Crescas on Guide for the Perplexed, Part 1 76:8",,
"Crescas on Guide for the Perplexed, Part 1 76:9",,
"Crescas on Guide for the Perplexed, Part 1 76:10",,
"Crescas on Guide for the Perplexed, Part 1 76:11",,
"Crescas on Guide for the Perplexed, Part 1 76:12",,
"Crescas on Guide for the Perplexed, Part 2 Introduction 1","Guide for the Perplexed, Part 2 Introduction 2",
"Crescas on Guide for the Perplexed, Part 2 Introduction 2","Guide for the Perplexed, Part 2 Introduction 3",
"Crescas on Guide for the Perplexed, Part 2 Introduction 3","Guide for the Perplexed, Part 2 Introduction 4",
"Crescas on Guide for the Perplexed, Part 2 Introduction 4",,
"Crescas on Guide for the Perplexed, Part 2 Introduction 5",,
"Crescas on Guide for the Perplexed, Part 2 Introduction 6",,
"Crescas on Guide for the Perplexed, Part 2 Introduction 7","Guide for the Perplexed, Part 2 Introduction 12",
"Crescas on Guide for the Perplexed, Part 2 Introduction 8","Guide for the Perplexed, Part 2 Introduction 12",
"Crescas on Guide for the Perplexed, Part 2 Introduction 9","Guide for the Perplexed, Part 2 Introduction 13",
"Crescas on Guide for the Perplexed, Part 2 Introduction 10",,
"Crescas on Guide for the Perplexed, Part 2 Introduction 11","Guide for the Perplexed, Part 2 Introduction 14",
"Crescas on Guide for the Perplexed, Part 2 Introduction 12","Guide for the Perplexed, Part 2 Introduction 15",
"Crescas on Guide for the Perplexed, Part 2 Introduction 13","Guide for the Perplexed, Part 2 Introduction 18",
"Crescas on Guide for the Perplexed, Part 2 Introduction 14",,
"Crescas on Guide for the Perplexed, Part 2 Introduction 15",,
"Crescas on Guide for the Perplexed, Part 2 Introduction 16",,
"Crescas on Guide for the Perplexed, Part 2 Introduction 17","Guide for the Perplexed, Part 2 Introduction 20",
"Crescas on Guide for the Perplexed, Part 2 Introduction 18","Guide for the Perplexed, Part 2 Introduction 21",
"Crescas on Guide for the Perplexed, Part 2 Introduction 19","Guide for the Perplexed, Part 2 Introduction 22",
"Crescas on Guide for the Perplexed, Part 2 Introduction 20",,
"Crescas on Guide for the Perplexed, Part 2 Introduction 21","Guide for the Perplexed, Part 2 Introduction 25",
"Crescas on Guide for the Perplexed, Part 2 Introduction 22","Guide for the Perplexed, Part 2 Introduction 26",
"Crescas on Guide for the Perplexed, Part 2 Introduction 23","Guide for the Perplexed, Part 2 Introduction 29",
"Crescas on Guide for the Perplexed, Part 2 Introduction 24","Guide for the Perplexed, Part 2 Introduction 30",
"Crescas on Guide for the Perplexed, Part 2 Introduction 25","Guide for the Perplexed, Part 2 Introduction 36",
"Crescas on Guide for the Perplexed, Part 2 Introduction 26",,
"Crescas on Guide for the Perplexed, Part 2 1:1",,
"Crescas on Guide for the Perplexed, Part 2 1:2","Guide for the Perplexed, Part 2 1:1",
"Crescas on Guide for the Perplexed, Part 2 1:3","Guide for the Perplexed, Part 2 1:2",
"Crescas on Guide for the Perplexed, Part 2 1:4","Guide for the Perplexed, Part 2 1:10",
