Im_Id,Im_Ms,Im_ImRun,Im_File,Im_Web,Im_Title,SSMA_TimeStamp,PID,Im_Description
16869,1721,381,..\MnuImages\N1721a\w\0190r.jpg,0,"שבת טז ע""ג - שבת טז ע""ד",000000000000E5C6,871856,
16870,1721,382,..\MnuImages\N1721a\w\0190v.jpg,0,"שבת טז ע""ד - שבת יז ע""א",000000000000E5C7,871858,
16871,1721,383,..\MnuImages\N1721a\w\0191r.jpg,0,"שבת יז ע""א - שבת יז ע""ב",000000000000E5C8,871860,
16872,1721,384,..\MnuImages\N1721a\w\0191v.jpg,0,"שבת יז ע""ב - שבת יז ע""ג",000000000000E5C9,871862,
16873,1721,385,..\MnuImages\N1721a\w\0192r.jpg,0,"שבת יז ע""ג - שבת יז ע""ד",000000000000E5CA,871863,
16874,1721,386,..\MnuImages\N1721a\w\0192v.jpg,0,"שבת יז ע""ד - שבת יז ע""ד",000000000000E5CB,871865,
16875,1721,387,..\MnuImages\N1721a\w\0193r.jpg,0,"עירובין יח ע""ב - עירובין יח ע""ג",000000000000E5CC,871867,
16876,1721,388,..\MnuImages\N1721a\w\0193v.jpg,0,"עירובין יח ע""ג - עירובין יח ע""ג",000000000000E5CD,871868,
16877,1721,389,..\MnuImages\N1721a\w\0194r.jpg,0,"עירובין יח ע""ג - עירובין יח ע""ד",000000000000E5CE,871870,
16878,1721,390,..\MnuImages\N1721a\w\0194v.jpg,0,"עירובין יח ע""ד - עירובין יט ע""א",000000000000E5CF,871872,
16879,1721,391,..\MnuImages\N1721a\w\0195r.jpg,0,"עירובין יט ע""א - עירובין יט ע""ב",000000000000E5D0,871873,
16880,1721,392,..\MnuImages\N1721a\w\0195v.jpg,0,"עירובין יט ע""ב - עירובין יט ע""ב",000000000000E5D1,871875,
16881,1721,393,..\MnuImages\N1721a\w\0196r.jpg,0,"עירובין יט ע""ב - עירובין יט ע""ג",000000000000E5D2,871876,
16882,1721,394,..\MnuImages\N1721a\w\0196v.jpg,0,"עירובין יט ע""ג - עירובין יט ע""ד",000000000000E5D3,871878,
16883,1721,395,..\MnuImages\N1721a\w\0197r.jpg,0,"עירובין יט ע""ד - עירובין כ ע""א",000000000000E5D4,871880,
16884,1721,396,..\MnuImages\N1721a\w\0197v.jpg,0,"עירובין כ ע""א - עירובין כ ע""ב",000000000000E5D5,871881,
16885,1721,397,..\MnuImages\N1721a\w\0198r.jpg,0,"עירובין כ ע""ב - עירובין כ ע""ג",000000000000E5D6,871883,
16886,1721,398,..\MnuImages\N1721a\w\0198v.jpg,0,"עירובין כ ע""ג - עירובין כ ע""ד",000000000000E5D7,871885,
16887,1721,399,..\MnuImages\N1721a\w\0199r.jpg,0,"עירובין כ ע""ד - עירובין כ ע""ד",000000000000E5D8,871887,
16888,1721,400,..\MnuImages\N1721a\w\0199v.jpg,0,"עירובין כ ע""ד - עירובין כא ע""א",000000000000E5D9,871891,
16889,1721,401,..\MnuImages\N1721a\w\0200r.jpg,0,"עירובין כא ע""א - עירובין כא ע""ב",000000000000E5DA,871893,
16890,1721,402,..\MnuImages\N1721a\w\0200v.jpg,0,"עירובין כא ע""ב - עירובין כא ע""ג",000000000000E5DB,871894,
16891,1721,403,..\MnuImages\N1721a\w\0201r.jpg,0,"עירובין כא ע""ג - עירובין כא ע""ד",000000000000E5DC,871896,
16892,1721,404,..\MnuImages\N1721a\w\0201v.jpg,0,"עירובין כא ע""ד - עירובין כא ע""ד",000000000000E5DD,871897,
16893,1721,405,..\MnuImages\N1721a\w\0202r.jpg,0,"עירובין כא ע""ד - עירובין כב ע""ב",000000000000E5DE,871899,
16894,1721,406,..\MnuImages\N1721a\w\0202v.jpg,0,"עירובין כב ע""ב - עירובין כב ע""ב",000000000000E5DF,871901,
16895,1721,407,..\MnuImages\N1721a\w\0203r.jpg,0,"עירובין כב ע""ב - עירובין כב ע""ג",000000000000E5E0,871903,
16896,1721,408,..\MnuImages\N1721a\w\0203v.jpg,0,"עירובין כב ע""ג - עירובין כב ע""ד",000000000000E5E1,871905,
16897,1721,409,..\MnuImages\N1721a\w\0204r.jpg,0,"עירובין כב ע""ד - עירובין כג ע""א",000000000000E5E2,871907,
16898,1721,410,..\MnuImages\N1721a\w\0204v.jpg,0,"עירובין כג ע""א - עירובין כג ע""ב",000000000000E5E3,871909,
16899,1721,411,..\MnuImages\N1721a\w\0205r.jpg,0,"עירובין כג ע""ב - עירובין כג ע""ב",000000000000E5E4,871910,
16900,1721,412,..\MnuImages\N1721a\w\0205v.jpg,0,"עירובין כג ע""ב - עירובין כג ע""ג",000000000000E5E5,871912,
16901,1721,413,..\MnuImages\N1721a\w\0206r.jpg,0,"עירובין כג ע""ג - עירובין כג ע""ד",000000000000E5E6,871913,
16902,1721,414,..\MnuImages\N1721a\w\0206v.jpg,0,"עירובין כג ע""ד - עירובין כד ע""א",000000000000E5E7,871915,
16903,1721,415,..\MnuImages\N1721a\w\0207r.jpg,0,"עירובין כד ע""א - עירובין כד ע""ב",000000000000E5E8,871917,
16904,1721,416,..\MnuImages\N1721a\w\0207v.jpg,0,"עירובין כד ע""ב - עירובין כד ע""ב",000000000000E5E9,871918,
16905,1721,417,..\MnuImages\N1721a\w\0208r.jpg,0,"עירובין כד ע""ב - עירובין כד ע""ג",000000000000E5EA,871920,
16906,1721,418,..\MnuImages\N1721a\w\0208v.jpg,0,"עירובין כד ע""ג - עירובין כה ע""א",000000000000E5EB,871922,
16907,1721,419,..\MnuImages\N1721a\w\0209r.jpg,0,"עירובין כה ע""א - עירובין כה ע""א",000000000000E5EC,871923,
