אתונה,"(37.972819149999985, 23.723743849999998)",9966. תוקידידס המלחמה הפלופונסית 6.43
אתונה,"(37.972819149999985, 23.723743849999998)",9965. תוקידידס המלחמה הפלופונסית 6.27
אתונה,"(37.972819149999985, 23.723743849999998)",9964. תוקידידס המלחמה הפלופונסית 5.2
אתונה,"(37.972819149999985, 23.723743849999998)",9963. תוקידידס המלחמה הפלופונסית 6.26
אתונה,"(37.972819149999985, 23.723743849999998)",9962. תוקידידס המלחמה הפלופונסית 6.23
אתונה,"(37.972819149999985, 23.723743849999998)",9961. תוקידידס המלחמה הפלופונסית 6.22
אתונה,"(37.972819149999985, 23.723743849999998)",9960. תוקידידס המלחמה הפלופונסית 6.21
אתונה,"(37.972819149999985, 23.723743849999998)",9959. תוקידידס המלחמה הפלופונסית 5.52
אתונה,"(37.972819149999985, 23.723743849999998)",9958. תוקידידס המלחמה הפלופונסית 6.8
אתונה,"(37.972819149999985, 23.723743849999998)",9957. תוקידידס המלחמה הפלופונסית 5.115
אתונה,"(37.972819149999985, 23.723743849999998)",9956. תוקידידס המלחמה הפלופונסית 5.116
אתונה,"(37.972819149999985, 23.723743849999998)",9955. תוקידידס המלחמה הפלופונסית 5.3
אתונה,"(37.972819149999985, 23.723743849999998)",9954. תוקידידס המלחמה הפלופונסית 4.104
אתונה,"(37.972819149999985, 23.723743849999998)",9953. תוקידידס המלחמה הפלופונסית 4.90
אתונה,"(37.972819149999985, 23.723743849999998)",9952. תוקידידס המלחמה הפלופונסית 4.99
אתונה,"(37.972819149999985, 23.723743849999998)",9951. תוקידידס המלחמה הפלופונסית 4.61
אתונה,"(37.972819149999985, 23.723743849999998)",9950. תוקידידס המלחמה הפלופונסית 4.57
אתונה,"(37.972819149999985, 23.723743849999998)",9949. תוקידידס המלחמה הפלופונסית 4.88
אתונה,"(37.972819149999985, 23.723743849999998)",9948. תוקידידס המלחמה הפלופונסית 4.81
אתונה,"(37.972819149999985, 23.723743849999998)",9947. תוקידידס המלחמה הפלופונסית 4.79
אתונה,"(37.972819149999985, 23.723743849999998)",9946. תוקידידס המלחמה הפלופונסית 4.85
אתונה,"(37.972819149999985, 23.723743849999998)",9945. תוקידידס המלחמה הפלופונסית 4.76
