Common Word,Headword,Lexicon,URL,Primary,For Deletion,For Addition
,אבל,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אבל",,,
,אָבֵל ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אָבֵל_ᴵ",,,
,אָבֵל ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אָבֵל_ᴵᴵ",,,
,אֵֽבֶל,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֵֽבֶל",,,
,אֲבָל,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֲבָל",X,,
,אוּבָל,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אוּבָל",,,
כי,כְּ־,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כְּ־",,,
,כי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כי",,,
,כֵּי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כֵּי",,,
,כִּי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כִּי",,,
,כִּי ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כִּי_²",,,
,כִּי ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_כִּי_ᴵ",X,,
,כִּי ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_כִּי_ᴵᴵ",,,
משום,מִשּׁוּם,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מִשּׁוּם",,,
מה,מָה,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מָה",,,
,מָה ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מָה_²",,,
,מַה,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מַה",X,,
זה,זֶה,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_זֶה",,,
,זֶה,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_זֶה",X,,
,זֹה,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_זֹה",,,
,זִה,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_זִה",,,
עד,עַד,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_עַד",,,
,עַד ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_עַד_²",,,
,עֹד,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_עֹד",,,
,עד,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_עד",,,
,עֵד,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_עֵד",,,
,עוֹד,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_עוֹד",,,
,עַד ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_עַד_ᴵ",X,,
,עַד ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_עַד_ᴵᴵ",,,
,עַד ᴵᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_עַד_ᴵᴵᴵ",,,
,עֵד ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_עֵד_ᴵ",,,
,עֵד ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_עֵד_ᴵᴵ",,,
,עוֹד,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_עוֹד",,,
או,או־,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_או־",,,
,אוֹ I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אוֹ_I",,,
,אוֹ,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אוֹ",,,
,אוֹ II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אוֹ_II",,,
,אוּ,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אוּ",,,
,אוֹ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אוֹ",X,,
יוחנן,יוֹחָנָן,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יוֹחָנָן",,,
היא,הוּא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_הוּא",,,
,הִיא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_הִיא",,,
,הֵיא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_הֵיא",,,
,הוּא,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_הוּא",,,
,הִיא,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_הִיא",X,,
שלא,לֹא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_לֹא",,,
,לָא I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_לָא_I",,,
,לָא II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_לָא_II",,,
,לָא III,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_לָא_III",,,
,שְׁלָא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שְׁלָא",,,
,שְׁלֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שְׁלֵי",,,
,שְׁלֵי ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שְׁלֵי_²",,,
,לֹא,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_לֹא",X,,
,לָא,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_לָא",,,
מן,מִן,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מִן",,,
,מִן ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מִן_²",,,
,מָן I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מָן_I",,,
,מַן I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מַן_I",,,
,מַן,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מַן",,,
,מָן III,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מָן_III",,,
,מָן ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מָן_ᴵ",,,
,מָן ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מָן_ᴵᴵ",,,
,מִן,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מִן",X,,
,מָנָה,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מָנָה",,X,
אחד,אֶחָד,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֶחָד",,,
,אָחַד,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אָחַד",,,
,אֲחַד,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֲחַד",,,
,אֶחָד,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֶחָד",X,,
,אחד,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אחד",,,
לי,לֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_לֵי",,,
,לִי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_לִי",X,,
הכי,הָכִי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_הָכִי",X,,
,כְּ־,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כְּ־",,X,
,כי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כי",,,
,כֵּי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כֵּי",,,
,כִּי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כִּי",,,
,כִּי ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כִּי_²",,,
,הֲכִי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_הֲכִי",,,
,הָכֵי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_הָכֵי",,,
