מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
03800,"קד' א, ז (סא ע""ב, 54)",אורח חיים,"משלי ה, ו",,,,,
03810,"קד' א, ז (סא ע""ב, 56)",ר' אחא,,,"פאה טו ע""ד",,"הע' 9, וש""נ",
03820,"קד' א, ז (סא ע""ב, 56)",מכל משמר,"משלי ד, כג",,,,,
03830,"קד' א, ז (סא ע""ב, 60)",הארכת ימים,"הש' שמות כ, יא; דברים כב, יז",,,,,
03840,"קד' א, ז (סא ע""ב, 61)",למען ייטב,"דברים ה, טו",,,,,
03850,"קד' א, ז (סא ע""ב, 63)",ר' שמעון,,,"פס""ר קכב ע""א; תנ""ב דב' 17; מד""ש 65",,,
03860,"קד' א, ז (סא ע""ב, 64)",עין תלעג,"משלי ל, יז",,,,,
03870,"קד' א, ז (סא ע""ב, 64)",לא תקח,"דברים כו, ב",,,,,
03880,"קד' א, ז (סא ע""ג, 1)",יקרוה עורבי,"משלי ל, יז",,,,,
03890,"קד' א, ז (סא ע""ג, 2)",ויאכלוה בני,"משלי ל, יז",,,,,
03900,"קד' א, ז (סא ע""ג, 7)",אתא רבי,,,"פאה טו ע""ד; נד' מא ע""ג",,,
03910,"קד' א, ז (סא ע""ג, 9)",אי זו,,"ת' קד' א, י (42:274)","בר' ו ע""ב","קד' לג ע""ב; מנ' מג ע""א",,
03920,"קד' א, ז (סא ע""ג, 14)","א""ר לעזר",,,"חלה ס ע""ב; פס' לה ע""ד","פס' צא ע""ב",,
03930,"קד' א, ז (סא ע""ג, 18)",חזרת מצה,,"ת' פס' ב, כב (65:150)",,"פס' צא ע""ב",,
03940,"קד' א, ז (סא ע""ג, 19)",נאמר לא,,"ס""ד קל (187)",,"פס' צא ע""ב",,
03950,"קד' א, ז (סא ע""ג, 19)",לא תאכל,"דברים טז, ג",,,,,
03960,"קד' א, ז (סא ע""ג, 19)",שבעת ימי',"דברים טז, ג",,,,,
03970,"קד' א, ז (סא ע""ג, 21)",כל מצות,,"מ' קד' א, ז",,,,
03980,"קד' א, ז (סא ע""ג, 23)",האשה עושה,,"ת' פס' ח, י (44:187)",,"פס' צא ע""ב",,
03990,"קד' א, ז (סא ע""ג, 26)",איש שה,"שמות יב, ג",,,,,
04000,"קד' א, ז (סא ע""ג, 27)",לבית,"שמות יב, ג",,,,,
04010,"קד' א, ז (סא ע""ג, 27)",איש שה,"שמות יב, ג",,,,,
04020,"קד' א, ז (סא ע""ג, 27)",לבית,"שמות יב, ג",,,,,
04030,"קד' א, ז (סא ע""ג, 28)",איש,"שמות יב, ג",,,,,
04040,"קד' א, ז (סא ע""ג, 28)",פרט לקטן,,"מדר""י 12; הש' מדרשב""י 10",,,,
04050,"קד' א, ז (סא ע""ג, 29)",שלא יקבע,,"הש' מ' חלה ד, יא",,,,
04060,"קד' א, ז (סא ע""ג, 30)",לא יקרחו,"ויקרא כא, ה",,,,,
04070,"קד' א, ז (סא ע""ג, 32)",בנים,"דברים יד, א",,,,,
04080,"קד' א, ז (סא ע""ג, 33)",כי עם,"דברים יד, ב",,,,,
04090,"קד' א, ז (סא ע""ג, 34)",בשעה שישר',,"ס""ד צו (157)","ש""ר מו, ד (עו ע""א)",,,ז
04100,"קד' א, ז (סא ע""ג, 37)",עד כמה,,"הש' ת' מכות ד, יב (4:443)",,"מכות כ ע""ב",,
04110,"קד' א, ז (סא ע""ג, 38)",קרח',"ויקרא כא, ה",,,,,
04120,"קד' א, ז (סא ע""ג, 39)",קרחה,"הש' ויקרא יג, מב; דברים יד, א",,,,,
04130,"קד' א, ז (סא ע""ג, 40)",ר' יוסי,,,"סוטה יט ע""ב",,,
04140,"קד' א, ז (סא ע""ג, 40)",אמור אל,"ויקרא כא, א","ספ' צג ע""ג",,"סוטה כג ע""ב; קד' לה ע""ב",,
04150,"קד' א, ז (סא ע""ג, 42)",וכהן מניח,,"מ' סוטה ג, א",,,,
04160,"קד' א, ז (סא ע""ג, 43)",אין הדבר,,,"סוטה יח ע""ג",,,
04170,"קד' א, ט (סא ע""ג, 45)",כתיב אלה,,"הש' ס""ד נט (125)","שבי' לו ע""ב",,,
04180,"קד' א, ט (סא ע""ג, 45)",אלה החוקים,"דברים יב, א",,,,,
04190,"קד' א, ט (סא ע""ג, 49)",השמרו לכם,"דברים יא, טז",,,,,
04210,"קד' א, ט (סא ע""ג, 49)",ושמתם את,"דברים יא, יח","הש' ס""ד מד (103)",,"הש' קד' לז ע""א",,
04220,"קד' א, ט (סא ע""ג, 50)","תפילין ות""ת","הש' דברים יא, יח-יט",,,,,
04200,"קד' א, ט (סא ע""ג, 49)",וחרה אף,"דברים יא, יז",,,,,
04230,"קד' א, ט (סא ע""ג, 53)",ויעשו כל,"נחמיה ח, יז",,,,,
04240,"קד' א, ט (סא ע""ג, 57)",והביאך ה',"דברים ל, ה",,,"ערכ' לב ע""ב",,
04250,"קד' א, ט (סא ע""ג, 59)",והטיבך והרבך,"דברים ל, ה",,,,,
04260,"קד' א, ט (סא ע""ג, 63)",ובכל זאת,"נחמיה י, א",,,,,
04270,"קד' א, ט (סא ע""ג, 64)",ואת בכורות,"נחמיה י, לז",,,,,
04280,"קד' א, ט (סא ע""ד, 2)",ובכל זאת,"נחמיה י, א",,,,,
04290,"קד' א, ט (סא ע""ד, 4)",מאיליהן קיבלו,,,"דמאי כג ע""ג; שבי' לו ע""ב; תר' מ ע""ד; תר' מח ע""א; מע' מט ע""ג; יומא מה ע""ב; יב' ח ע""א; יב' יג ע""ד; קד' סא ע""ג (63); ב""ר צו (1202); מת""ה נז, ב (296); ר""ר ד, ה (15); תנ""ו ויחי ח (150); תנ""ב ויחי י (216); הש' בר' יד ע""ג",,,ז
04300,"קד' א, ט (סא ע""ד, 5)",מאבותיך,"דברים ל, ה",,,,,
04310,"קד' א, ט (סא ע""ד, 5)","דא""ר חלבו",,"הש' ס""ד עה (139); ס""ד שטו (357)","ב""ר מד (445)","ב""ב נו ע""א",,
04320,"קד' א, ט (סא ע""ד, 7)",את הקיני,"בראשית טו, יט",,,,,
04330,"קד' א, ט (סא ע""ד, 9)",מאבתיך,"דברים ל, ה",,,,,
04340,"קד' א, ט (סא ע""ד, 11)",שאלו נא,"ירמיה ל, ו",,,,,
04350,"קד' א, ט (סא ע""ד, 13)",מה טעמא,,,"ערלה סג ע""ב",,,
04360,"קד' א, ט (סא ע""ד, 13)",בכל מושבותיכ',"ויקרא כג, כא","ספ' ק ע""ד",,,,
04370,"קד' א, ט (סא ע""ד, 16)",ראשית עריסותיכם,"במדבר טו, כ","סז""ב 27:283",,,,
04380,"קד' א, י (סא ע""ד, 17)",הא כל,,"מ' מכות, ג טו",,,,
04390,"קד' א, י (סא ע""ד, 21)",הא כל,,"מ' מכות, ג טו",,"קד' לט ע""ב; מכות כג ע""ב",,
