מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
02250,"ביכ' ג, ז (סה ע""ד, 57)",המוכר ספר,,"הש' ת' ביכ' ב, ט (68:293)",,"מג' כז ע""א",,
02260,"ביכ' ג, ז (סה ע""ד, 58)",הון ועושר,"תהלים קיב, ג",,,,,
00085,"ביכ' א, ב (סג ע""ד, 21)",רבי שמעון,,,,"ע""ז מז ע""א",,
00275,"ביכ' א, ג (סג ע""ד, 53)",הפריש ביכורין,,,,"מנ' פד ע""א",,
00565,"ביכ' א, ז (סד ע""א, 58)",הנחה מעכבת,,,,"מכות יח ע""ב","וש""נ",
00635,"ביכ' א, ח (סד ע""ב, 8)",דרבי יודה,,,,"בר' מ ע""א",,
00645,"ביכ' א, ח (סד ע""ב, 13)",הלוקח מן,,,,"הש' ב""ב פא ע""א",,
00665,"ביכ' א, ח (סד ע""ב, 20)",הפרישן קודם,,,,"מכות יח ע""ב",,
00255,"ביכ' א, ג (סג ע""ד, 51)",וחרנה אמ',,,,"בר' מ ע""א; ער' ד ע""א; סוכה ה ע""ב",,
01665,"ביכ' ב, ה (סה ע""א, 55)",תמן אמ',,,,"ר""ה טו ע""א; סוכה לט ע""ב",,
01755,"ביכ' ב, ט (סה ע""ב, 20)",הקדיש חייתו,,,,"נד' יח ע""ב",,
00995,"ביכ' ב, א (סד ע""ג, 52)",לחמשים ושתים,,,,"תע' ה ע""א",,
01135,"ביכ' ב, א (סד ע""ד, 12)",תלה לו,,,,"ר""ה יח ע""א",,
01805,"ביכ' ג, א (סה ע""ג, 8)",ראשית הגז,,,,"חו' קלז ע""ב",,
01885,"ביכ' ג, ג (סה ע""ג, 21)",ולא כן,,,,"קד' לג ע""א",,
01965,"ביכ' ג, ג (סה ע""ג, 40)",יהודה בר,,,,"כת' סב ע""ב",,
01975,"ביכ' ג, ג (סה ע""ג, 46)","ר""מ חמי",,,,"קד' לג ע""א",,
02005,"ביכ' ג, ג (סה ע""ג, 52)",כשהנשיא נכנס,,,,"הו' יג ע""ב",,
02075,"ביכ' ג, ג (סה ע""ד, 3)",קרא עליהון,,,,"סנ' ז ע""א",,
02175,"ביכ' ג, ד (סה ע""ד, 29)",הניחן בקרן,,,,"סוטה יד ע""ב","וש""נ. צ""ל: מניחן/ והניחו",
02235,"ביכ' ג, ז (סה ע""ד, 46)","שאלו רשב""ג",,,,"מג' כז ע""א",,
02237,"ביכ' ג, ז (סה ע""ד, 52)",המדיר בנו,,,,"נד' לח ע""א",,
02065,"ביכ' ג, ג (סה ע""ד, 2)",שנמחלו לו,,,,"הש' יומא כב ע""ב",,
