מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,רשימה,הערות
01910,"ב""ק ה, י (ה ע""א, 41)",לא תחסום,"דברים כה, ד",,,,,
01920,"ב""ק ה, י (ה ע""א, 41)",בהמתך לא,"ויקרא יט, יט",,,,,
01930,"ב""ק ה, י (ה ע""א, 42)",למען ינוח,"שמות כג, יב",,,,,
01940,"ב""ק ה, י (ה ע""א, 42)",שמואל אמר,,,"כל' לא ע""ג",,,
01950,"ב""ק ה, י (ה ע""א, 44)",שור עם,,"ת' כל' א, ח (19:204)",,,,
01960,"ב""ק ה, י (ה ע""א, 44)",ריש לקיש,,,"כל' כז ע""א",,,
01970,"ב""ק ה, י (ה ע""א, 46)",תרנגול עם,,"ת' כל' א, ז (17:204)",,,,
01980,"ב""ק ו, א (ה ע""ב, 30)",נפל כותלו,,"ת' ב""מ יא, ז (10:395)",,,,
01990,"ב""ק ו, א (ה ע""ב, 32)",רבי יהושע,,"ת' שבו' ג, א-ב (11:449)",,,,
02000,"ב""ק ו, ב (ה ע""ב, 39)",רועה שמסר,,"ת' ב""ק ו, כ (4:356)",,,,
01320,"ב""ק ד, ו (ד ע""ב, 57)",בנתכוין להרוג,,"מ' ב""ק ד, ו",,,,
01330,"ב""ק ד, ו (ד ע""ב, 58)",האדם,,,"ב""ק ד, ו (ד ע""ב, 60)",,,
01340,"ב""ק ד, ו (ד ע""ב, 61)",ובעל השור,"שמות כא, כח",,,,,
01350,"ב""ק ד, ו (ד ע""ב, 62)",אם כופר,"שמות כא, ל",,,,,
01360,"ב""ק ד, ו (ד ע""ב, 64)",השור יסקל,"שמות כא, לב",,,,,
01370,"ב""ק ד, ו (ד ע""ב, 64)",השור יסקל,"שמות כא, כט",,,,,
01380,"ב""ק ד, ו (ד ע""ג, 1)",סקול יסקל,"שמות כא, ח",,,,,
01390,"ב""ק ד, ו (ד ע""ג, 5)",בתם,"שמות כא, כח",,,,,
01400,"ב""ק ד, ו (ד ע""ג, 5)",לכופר,"שמות כא, כט-ל",,,,,
01410,"ב""ק ד, ו (ד ע""ג, 5)",לנזקין,"שמות כא, לא-לב","הש' מדרשב""י 183",,,,
01420,"ב""ק ד, ו (ד ע""ג, 6)",ובעל השור,"שמות כא, כח",,,,,
01430,"ב""ק ד, ו (ד ע""ג, 9)",ובעל השור,"שמות כא, כח",,,,,
01440,"ב""ק ד, ו (ד ע""ג, 15)",ולית כתיב,,,"נזיר נח ע""א; סנ' כז ע""א",,,
01450,"ב""ק ד, ו (ד ע""ג, 15)",כי ינצו,"שמות כא, יח",,,,,
01460,"ב""ק ד, ו (ד ע""ג, 15)",כי יריבון,"שמות כא, כא",,,,,
01470,"ב""ק ד, ו (ד ע""ג, 16)",והלא היא,,"מדרשב""י 2:176",,,,
01480,"ב""ק ד, ו (ד ע""ג, 18)",לנזקי העבד,,,"ב""ק ד, ו (ד ע""ג, 5)",,,
01490,"ב""ק ד, ו (ד ע""ג, 19)",או בן,"שמות כח, לא",,,,,
01500,"ב""ק ד, ו (ד ע""ג, 19)",ואם עבד,"שמות כח, לב",,,,,
02010,"ב""ק ו, ב (ה ע""ב, 53)",אין שמין,,"ת' ב""ק ו, כא (10:356)",,,,
02020,"ב""ק ו, ג (ה ע""ב, 62)",ר' יצחק,,,"ב""ק ד ע""ד",,,
02030,"ב""ק ו, ד (ה ע""ג, 5)",וניבה,,"הש' ת' ב""ק ו, כב (16:356)",,,,
02040,"ב""ק ו, ד (ה ע""ג, 6)",בלבת אש,"שמות ג, ב",,,,,
02050,"ב""ק ו, ד (ה ע""ג, 6)",והיה בליבי,"ירמיה כ, ט",,,,,
02060,"ב""ק ו, ה (ה ע""ג, 9)",מה קוצי',,"מדרשב""י 22:197",,,,
02070,"ב""ק ו, ה (ה ע""ג, 10)",גדיש,"שמות כב, ה",,,,,
02080,"ב""ק ו, ה (ה ע""ג, 12)",קמה,"שמות כב, ה",,,,,
02090,"ב""ק ו, ה (ה ע""ג, 13)",או השדה,"שמות כב, ה",,,,,
02100,"ב""ק ו, ה (ה ע""ג, 14)",משלם,,"מ' ב""ק ה, ה",,,,
02110,"ב""ק ו, ה (ה ע""ג, 17)",אמר רב,,,,"הש' ב""ק סא ע""א",,
02120,"ב""ק ו, ו (ה ע""ג, 19)",המדליק,,"ת' ב""ק ו, כב (18:356)",,,,
02130,"ב""ק ו, ו (ה ע""ג, 25)",עברה נהר,,"ת' ב""ק ו, כג (24:356)",,,,
02140,"ב""ק ו, ז (ה ע""ג, 26)",רבי אבהו,,,"ב""ק ו, ז (ה ע""ג, 30)",,,
02150,"ב""ק ו, ז (ה ע""ג, 27)",מחלפה שיטת,,,"פאה יט ע""ד",,,
02160,"ב""ק ו, ז (ה ע""ג, 28)",פרט לטמון,,"מ' פאה ו, י",,,,
02170,"ב""ק ו, ז (ה ע""ג, 29)",מחלפה שיטת,,,"סוטה כג ע""ג",,,
02180,"ב""ק ו, ז (ה ע""ג, 30)",רבי אבהו,,,"ב""ק ו, ז (ה ע""ג, 26)",,,
