Ma_ID,Ma_Runorder,Ma_Name,Ma_LibID,SSMA_TimeStamp,Ma_Img,Ma_ImgFile,Ma_NameDescription,Ma_Description,Ma_SysNum
1721,0,Or. 4720,16,000000000000EE4C,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224278,כתב יד ליידן,"כתיבה איטלקית, על פי הקולופון משנת ה'מ""ט (1289), 1347 דפים.",000197863
1723,1001,Kaufmann A 50,1,000000000000EE4D,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224279,כתב יד קאופמן,"כתיבה איטלקית מרובעת, המאה ה-11 או ה-12, 549 דפים, מנוקד.",000191047
1976,10152,Heb. 671,10,000000000000EE4E,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224280,כתב יד פריס Heb. 671,"כתיבה מזרחית (ביזנטית), המאה ה-15, 91 דפים.",000129613
1987,10153,Heb. 1313,10,000000000000EE4F,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224281,כתב יד פריס Heb. 1313,"כתיבה אשכנזית מרובעת, המאה ה-13, 3 דפים.",000132055
1988,10154,Suppl. Heb. 1337,10,000000000000EE50,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224282,כתב יד פריס Suppl. Heb. 1337,"כתיבה ספרדית מרובעת, המאה ה-14 או ה-15, 213 דפים.",000132080
2673,4143,1,4,000000000000EE51,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224283,"כתב יד ירושלים, ספריית יד הרב הרצוג 1",כתיבה תימנית.,000197551
3245,7147,Ms. Ginsburg 594,7,000000000000EE52,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224284,כתב יד גינצבורג 594,"כתיבה ספרדית, המאה ה-15, 184 דפים.",000146572
3720,11171,Ebr. 130,11,000000000000EE53,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224285,כתב יד וטיקן Ebr. 130,"כתיבה אשכנזית מרובעת, על פי הקולופון משנת קמ""א (1380), 133 דפים.",000198133
4752,5144,Harley 5508,5,000000000000EE54,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224286,"כתב יד לונדון, הספריה הבריטית Harley 5508","כתיבה אשכנזית מרובעת , המאה ה-12 או ה-13, 236 דפים.",000121029
4754,5145,"Add. 25,717",5,000000000000EE55,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224287,"כתב יד לונדון, הספריה הבריטית Add. 25,717","כתיבה אשכנזית מרובעת, המאה ה-13 או ה-14, 102 דפים.",000121031
5012,6146,9 (Sassoon 594),6,000000000000EE56,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224288,"כתב יד לונדון, ספריית ולמדונה 9","כתיבה ספרדית, המאה ה-15, 225 דפים.",000080621
5219,2002,T-S E1.2,2,000000000000EE57,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.2",,000140589
5220,2003,T-S E1.3,2,000000000000EE58,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.3",,000140589
5221,2004,T-S E1.4,2,000000000000EE59,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.4",,000140589
5222,2005,T-S E1.5,2,000000000000EE5A,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.5",,000140589
5223,2006,T-S E1.6,2,000000000000EE5B,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.6",,000140589
5224,2007,T-S E1.7,2,000000000000EE5C,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.7",,000140589
5226,2008,T-S E1.9-10,2,000000000000EE5D,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.9-10",,000140589
5227,2009,T-S E1.11,2,000000000000EE5E,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.11",,000140589
5228,2010,T-S E1.12,2,000000000000EE5F,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.12",,000140589
5229,2011,T-S E1.13,2,000000000000EE60,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.13",,000140589
5230,2012,T-S E1.14,2,000000000000EE61,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.14",,000140589
5231,2013,T-S E1.15,2,000000000000EE62,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.15",,000140589
5232,2014,T-S E1.16,2,000000000000EE63,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.16",,000140589
5233,2015,T-S E1.17-18,2,000000000000EE64,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.17-18",,000140589
5234,2016,T-S E1.19,2,000000000000EE65,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.19",,000140589
5235,2017,T-S E1.20,2,000000000000EE66,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.20",,000140589
5236,2018,T-S E1.21,2,000000000000EE67,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.21",,000140589
5237,2019,T-S E1.22,2,000000000000EE68,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.22",,000140589
5238,2020,T-S E1.23,2,000000000000EE69,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.23",,000140589
5239,2021,T-S E1.24,2,000000000000EE6A,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.24",,000140589
5240,2022,T-S E1.25,2,000000000000EE6B,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.25",,000140589
5241,2023,T-S E1.26,2,000000000000EE6C,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.26",,000140589
5242,2024,T-S E1.27,2,000000000000EE6D,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.27",,000140589
5243,2025,T-S E1.28,2,000000000000EE6E,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.28",,000140589
5244,2026,T-S E1.29,2,000000000000EE6F,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.29",,000140589
5245,2027,T-S E1.30,2,000000000000EE70,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.30",,000140589
5246,2028,T-S E1.31,2,000000000000EE71,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.31",,000140589
5247,2029,T-S E1.32,2,000000000000EE72,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.32",,000140589
5248,2030,T-S E1.33,2,000000000000EE73,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.33",,000140589
5249,2031,T-S E1.34,2,000000000000EE74,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.34",,000140589
5250,2032,T-S E1.35,2,000000000000EE75,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.35",,000140589
5251,2033,T-S E1.36,2,000000000000EE76,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.36",,000140589
5252,2034,T-S E1.37,2,000000000000EE77,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.37",,000140589
5253,2035,T-S E1.38,2,000000000000EE78,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.38",,000140589
5254,2036,T-S E1.39,2,000000000000EE79,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.39",,000140589
5255,2037,T-S E1.40,2,000000000000EE7A,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.40",,000140589
5256,2038,T-S E1.41,2,000000000000EE7B,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.41",,000140589
5257,2039,T-S E1.42,2,000000000000EE7C,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.42",,000140589
5258,2040,T-S E1.43,2,000000000000EE7D,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.43",,000140589
5259,2041,T-S E1.44,2,000000000000EE7E,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.44",,000140589
5260,2042,T-S E1.45,2,000000000000EE7F,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.45",,000140589
5261,2043,T-S E1.46,2,000000000000EE80,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.46",,000140589
5262,2044,T-S E1.47,2,000000000000EE81,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.47",,000140589
5263,2045,T-S E1.48,2,000000000000EE82,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.48",,000140589
5264,2046,T-S E1.49,2,000000000000EE83,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.49",,000140589
5265,2047,T-S E1.50,2,000000000000EE84,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.50",,000140589
5266,2048,T-S E1.51,2,000000000000EE85,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.51",,000140589
