headword,error
אֵידְנָא,
אִידְרָא,
אידרוטירון [אִידְרוֹמִירוֹן],
אִידְרוֹן,
אִידְרוֹנָ‬א,
אידתיקרימא,
אי״ה,
אֵיהָא,
"אִיהוּ, אִיהוּא",
אִיהִי,
אִיהִי דַקִירָא,
איהש״ר,
אַיוֹ,
איוגיניטטאטי,
אִיוְיָא,
אִיוְתָּן,
אֵיוְתֶּנְטִי,
אִיזָא,
אֵיזֹבְיָוָן,
אִיזְגַד,
איזגד,
איזגדר,
אֵיזֶה,
אֵיזֶהוּ,
"אִיזוּ, אִיזִי",
אִיזְלָא,
אִיזְמָא,
"אִיזְמֵיל, אִיזְמֵל",
אִיזְקְפָא,
אִיחוּי,
אִיחוּר,
אִיחֲטָא,
אֵיטָא,
אִיטַאלְיָה,
אִיטָה,
אֵיטִימוֹם,
אִיטְלֵז,
"אִיטַלְיָא, אִיטַלְיוֹן",
אִיטְלִיז,
אִיטַלְייָה,
"אִיטְלִיס, אִיטְלֵס",
אִיטַלְקִי,
אִיטְמָא,
אִיטְמוֹן,
אִיטָן,
אִיטְנִי,
אִיטְרוֹגָא,
אִיטְרוֹן,
אֵיי,
אַייְבּוּ,
אַייְדָא,
אַייְדֵי,
אַייְדִי,
אַייְלוֹנִית,
אַייְלֵן,
אַייַלְתָּא,
אַייְנוֹי,
איינטבלינית,
איינים,
אִייָר,
אַייְרָא,
אַיְירִינוֹן,
אַייְשַׁר,
אֵיךְ,
אֵיכָא,
אִיכָּא,
אִיכָּא דְאַמְרֵי,
אִיכָּא בֵינַייְהוּ,*
אֵיכְדֵין,
אִיכּוּ,
אִיכּוּל,
אִיכּוּמָא,
אִיכּוּף,
איכ״ל,
אֵיכָן,
אִיכְפִּית,
(אִיכְפַּת) מַאי אִיכְפַּת לָךְ,
איכ״ר,
איכרום,
אִילָא,
אִילָאסְרִין,
איל״ב,
אילה״ק,
אִילוּ,
אֵילוּ,
"אילו פילום [אִילְיוֹפּוֹלִיס],",
אֵילוֹגִין,
אִילְווָא,
אֵילוּל,
"אִילוּלָא, אִילוּלֵי",
אַיְלוֹנִית,
אילוסיס,
אילוסריקא,
אילוֹפִיסָה,
אילטיס,
אִילִיוֹס,
אִילְייָא,
אִילֵימָא,
אִילֵין,
אִילִין,
אִילִיס,
אֵילֵךְ,
"אֵילֵךְ וְאֵילֵךְ,",
אֵילָם,
אִילְמָה,
אִילְמוּג,
אִילָן,
"אִילָן סֶרֶק,",
אֵילָס,
אִילָסְרִין,
"אִילְעָא, אִילְעַאי",
אִילְפָא,
אִילְפִי,
אִילְפָּס,
אִילְקְטִי,
אִיֵם,
"אִימָא, אִימָה",
אִימָה,
אֵימְהָן,
אימולוג,
אִימוּם,
אימונים,
אימוס,
אִימוּס,
אֵימוּריִם,
אִימְטִין,
אִימִי,
אִימִיקַנְטְרוֹן,
אִימִירָא,
אִימְלָא,
אִימָמָא,
אימן,
אִימְנוֹן,
אִימַר,
"אִימְרָא, אִימְרָה",
אִימְרָה,
אִימַּרְתָּא,
אֵימַת,
אימת,
אֵימְתָא,
