"['Makkot 7b:2', 'Mishneh Torah, Murderer and the Preservation of Life 6:10']"
"['Shulchan Arukh, Choshen Mishpat 147:4', 'Shulchan Arukh, Choshen Mishpat 46:20']"
"['Genesis 6:9', 'Mizrachi, Genesis 6:9:8']"
"['Mizrachi, Genesis 8:7:2', 'Rashi on Genesis 8:7:2']"
"['Genesis 10:12', 'Mizrachi, Genesis 10:12:1']"
"['Mizrachi, Genesis 13:9:3', 'Rashi on Genesis 13:9:2']"
"['Genesis 13:9', 'Mizrachi, Genesis 13:9:1']"
"['Genesis 14:21', 'Mizrachi, Genesis 14:21:1']"
"['Mizrachi, Genesis 18:19:3', 'Rashi on Genesis 18:19:4']"
"['Genesis 18:22', 'Mizrachi, Genesis 18:22:1']"
"['Mizrachi, Genesis 19:9:2', 'Rashi on Genesis 19:9:1']"
"['Mizrachi, Genesis 19:9:3', 'Rashi on Genesis 19:9:1']"
"['Mizrachi, Genesis 19:17:1', 'Rashi on Genesis 19:17:1']"
"['Mizrachi, Genesis 21:17:2', 'Rashi on Genesis 21:17:2']"
"['Genesis 22:3', 'Mizrachi, Genesis 22:3:3']"
"['Genesis 23:9', 'Mizrachi, Genesis 23:9:3']"
"['Genesis 24:66', 'Mizrachi, Genesis 24:66:1']"
"['Genesis 28:15', 'Mizrachi, Genesis 28:15:3']"
"['Mizrachi, Genesis 28:17:1', 'Rashi on Genesis 28:17:1']"
"['Genesis 30:25', 'Mizrachi, Genesis 30:25:1']"
"['Mizrachi, Genesis 30:26:1', 'Rashi on Genesis 30:26:1']"
"['Genesis 31:40', 'Mizrachi, Genesis 31:40:2']"
"['Mizrachi, Genesis 35:16:2', 'Rashi on Genesis 35:16:1']"
"['Mizrachi, Genesis 39:1:1', 'Rashi on Genesis 39:1:1']"
"['Mizrachi, Genesis 39:16:1', 'Rashi on Genesis 39:16:1']"
"['Mizrachi, Genesis 43:26:1', 'Rashi on Genesis 43:26:1']"
"['Genesis 43:33', 'Mizrachi, Genesis 43:33:1']"
"['Mizrachi, Genesis 47:30:4', 'Rashi on Genesis 47:30:1']"
"['Mizrachi, Genesis 49:13:1', 'Rashi on Genesis 49:13:1']"
"['Mizrachi, Leviticus 1:1:10', 'Rashi on Leviticus 1:1:4']"
"['Mizrachi, Leviticus 1:5:4', 'Rashi on Leviticus 1:5:4']"
"['Leviticus 1:5', 'Mizrachi, Leviticus 1:5:2']"
"['Mizrachi, Leviticus 2:1:1', 'Rashi on Leviticus 2:1:2']"
"['Mizrachi, Leviticus 2:4:1', 'Rashi on Leviticus 2:4:1']"
"['Mizrachi, Leviticus 2:4:2', 'Rashi on Leviticus 2:4:1']"
"['Leviticus 4:8', 'Mizrachi, Leviticus 4:8:2']"
"['Mizrachi, Leviticus 5:15:1', 'Rashi on Leviticus 5:15:1']"
