Ref 1,Ref 2,Found a Better Match?,New Match Ref 1,New Match Ref 2
Tosafot on Niddah 7a:12:1,Bekhorot 27a:8,disambiguator found a better match,Tosafot on Niddah 7a:4:1,Bekhorot 27a:8
Rashi on Meilah 12a:14:2,Chullin 78a:5,disambiguator found a better match,Rashi on Meilah 12a:7:3,Chullin 78a:5
Rashi on Keritot 17b:47:1,Niddah 14a:5,disambiguator found a better match,Rashi on Keritot 17b:18:1,Niddah 14a:5
Rashi on Niddah 42a:37:1,Chullin 71a:17,disambiguator found a better match,Rashi on Niddah 42a:19:1,Chullin 71a:17
Tosafot on Temurah 6b:51:1,Yoma 63b:2,disambiguator found a better match,Tosafot on Temurah 6b:17:1,Yoma 63b:2
Tosafot on Niddah 50a:34:2,Berakhot 40b:14,disambiguator found a better match,Tosafot on Niddah 50a:12:2,Berakhot 40b:14
Rashi on Temurah 19b:31:1,Chullin 81a:5,disambiguator found a better match,Rashi on Temurah 19b:13:1,Chullin 81a:5
Rashi on Temurah 11b:21:1,Chullin 42a:6,disambiguator found a better match,Rashi on Temurah 11b:4:2,Chullin 42a:6
Ktav Yad Rashi on Bekhorot 57b:14:1,Menachot 66b:5,disambiguator found a better match,Ktav Yad Rashi on Bekhorot 57b:5:4,Menachot 66b:5
Tosafot on Arakhin 7a:15:1,Bava Batra 175b:6,disambiguator found a better match,Tosafot on Arakhin 7a:5:1,Bava Batra 175b:6
Tosafot on Niddah 51b:8:1,Eruvin 28b:6,disambiguator found a better match,Tosafot on Niddah 51b:4:1,Eruvin 28b:6
Tosafot on Niddah 24a:51:1,Chullin 60b:7,disambiguator found a better match,Tosafot on Niddah 24a:15:1,Chullin 60b:7
Rashi on Bekhorot 28b:47:1,Chullin 54a:14,disambiguator found a better match,Rashi on Bekhorot 28b:15:1,Chullin 54a:14
Tosafot on Bekhorot 27a:25:1,Pesachim 37a:11,disambiguator found a better match,Tosafot on Bekhorot 27a:10:2,Pesachim 37a:11
Likutei Moharan 99:2,Berakhot 34b:12,disambiguator found no match
"Likutei Moharan, Part II 44:2",Sanhedrin 106b:14,disambiguator found no match
Rashi on Keritot 2a:13:1,Horayot 8a:20,disambiguator found a better match,Rashi on Keritot 2a:4:1,Horayot 8a:20
Rashi on Temurah 28a:25:3,Chullin 114b:9,disambiguator found a better match,Rashi on Temurah 28a:11:2,Chullin 114b:9
Tosafot on Bekhorot 44a:32:1,Niddah 24b:20-21,disambiguator found a better match,Tosafot on Bekhorot 44a:10:1,Niddah 24b:20-21
Tosafot on Niddah 13b:22:1,Kiddushin 70b:13,disambiguator found a better match,Tosafot on Niddah 13b:5:1,Kiddushin 70b:13
Rashi on Meilah 11a:18:1,Yoma 58b:3,disambiguator found a better match,Rashi on Meilah 11a:12:1,Yoma 58b:3
Tosafot on Niddah 44b:19:1,Yevamot 80b:1,disambiguator found a better match,Tosafot on Niddah 44b:8:1,Yevamot 80b:1
