index,versionTitle,replaces number
Weekday Siddur Chabad,Sefaria Community Translation,21
Tzav VeZeruz,Sefaria Community Translation,2
Shulchan Arukh HaRav,Sefaria Community Translation,9
Baal HaSulam's Introduction to Zohar,"Trans. Baruch Cohen, 2019",94
Torah Ohr,Sefaria Community Translation,84
Zohar,Sefaria Community Translation,3
Da'at Tevunoth,Sefaria Community Translation,142
Aggadat Bereshit,Sefaria Community Translation,1
Abarbanel on Jeremiah,Sefaria Community Translation,10
Aderet Eliyahu (Rabbi Yosef Chaim),Sefaria Community Translation,1
The Beginning of Wisdom,"The Beginning of Wisdom, trans. by Rabbi Amiram Markel and Michoel Tzvi Wolkenfeld, 2022",1
Zera Kodesh,Sefaria Community Translation,4
Tzipita L'Yeshuah,Sefaria Community Translation,26
Vayikra Rabbah,Dr. Tziporah Lifshitz,2
Tosafot on Gittin,Tanslation by Rabbi Ephraim Piekarski,1
"Kessef Mishneh on Mishneh Torah, Foundations of the Torah",Sefaria Community Translation,6
Chidushei Chatam Sofer on Sukkah,Sefaria Community Translation,1
