txt file line,Perek running counter,page running counter,Daf,Line,Rambam,Semag,Tur Shulchan Arukh,original,problem
55,נה,ז,12b,9,"[u'Mishneh Torah, Fasts 3:3', u'Mishneh Torah, Fasts 3:4']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:3']","נה ז מיי' פ""ג מהלכות תענית הלכה ג והלכה ד טוש""ע שם סי' תקעה סעיף ג",FALSE
56,נו,ח,12b,10,"[u'Mishneh Torah, Fasts 3:5']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:4']","נו ח מיי' שם הלכה ה טוש""ע שם סעיף ד",FALSE
57,נז,ט,12b,11,"[u'Mishneh Torah, Fasts 3:8']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:7']","נז ט מיי' שם הלכה ח וטוש""ע שם סעיף ז",FALSE
58,נח,י,12b,14,"[u'Mishneh Torah, Fasts 1:17']",,"[u'Tur, Orach Chaim 576', u'Shulchan Arukh, Orach Chayim 576:16']","נח י מיי' פ""א שם הלכה יז טוש""ע א""ח סי' תקעו סעיף טז",FALSE
59,נט,א,13a,2,"[u'Mishneh Torah, Fasts 5:10']","[u""Sefer Mitzvot Gadol, Rabbinic Commandments, Laws of Tisha B'Av 1""]","[u'Tur, Orach Chaim 554', u'Shulchan Arukh, Orach Chayim 554:7']","נט א מיי' פ""ה מהלכות תעניות הלכה י סמג עשין מד""ס ג טוש""ע א""ח סי' תקנד סעיף ז",FALSE
60,ס,ב,13a,2,"[u'Mishneh Torah, Mourning 5:4']","[u""Sefer Mitzvot Gadol, Rabbinic Commandments, Laws of Tisha B'Av 1""]","[u'Tur, Yoreh Deah 381', u""Shulchan Arukh, Yoreh De'ah 381:1""]","ס ב מיי' פ""ה מהלכות אבל הלכה ד סמג שם טוש""ע י""ד סי' שפא סעיף א",FALSE
61,סא,ג,13a,2,"[u'Mishneh Torah, Fasts 3:4']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:3']","סא ג מיי' פ""ג מהלכות תענית הלכה ד טוש""ע א""ח סי' תקעה סעיף ג",FALSE
62,סב,ד,13a,5,"[u'Mishneh Torah, Rest on the Tenth of Tishrei 3:2']",,"[u'Tur, Orach Chaim 554', u'Shulchan Arukh, Orach Chayim 554:8']","סב ד מיי' פ""ג מהלכות שביתת עשור הלכה ב טוש""ע שם סי' תקנד סעיף ח",FALSE
63,סג,ה,13a,8,"[u'Mishneh Torah, Fasts 3:4']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:3']","סג ה ו ז מיי' פ""ג מהלכות תענית הלכה ד טור ש""ע שם סימן תקעה סעיף ג",
63,סג,ו,13a,8,"[u'Mishneh Torah, Fasts 3:4']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:3']","סג ה ו ז מיי' פ""ג מהלכות תענית הלכה ד טור ש""ע שם סימן תקעה סעיף ג",
63,סג,ז,13a,8,"[u'Mishneh Torah, Fasts 3:4']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:3']","סג ה ו ז מיי' פ""ג מהלכות תענית הלכה ד טור ש""ע שם סימן תקעה סעיף ג",FALSE
64,סד,ח,13a,9,"[u'Mishneh Torah, Mourning 5:4']","[u'Sefer Mitzvot Gadol, Positive Commandments 2']","[u'Tur, Yoreh Deah 381', u""Shulchan Arukh, Yoreh De'ah 381:1""]","סד ח מיי' פ""ה מהלכות אבל הלכה ד סמג עשין ב טוש""ע י""ד סי' שפא סעיף א",FALSE
65,סה,ט,13a,11,"[u'Mishneh Torah, Mourning 6:13']",,"[u'Tur, Yoreh Deah 390', u""Shulchan Arukh, Yoreh De'ah 390:3""]","סה ט מיי' שם פ""ו הלכה יג טוש""ע י""ד סי' שצ סעיף ג",FALSE
66,סו,י,13a,11,"[u'Mishneh Torah, Mourning 6:13']",,"[u'Tur, Yoreh Deah 389', u""Shulchan Arukh, Yoreh De'ah 389:1""]","סו י מיי' שם טוש""ע שם סי' שפט סעיף א",FALSE
67,סז,כ,13a,12,"[u'Mishneh Torah, Mourning 6:13']",,"[u'Tur, Yoreh Deah 390', u""Shulchan Arukh, Yoreh De'ah 390:3""]","סז כ מיי' שם טוש""ע שם סי' שצ סעיף ג",FALSE
68,סח,ל,13a,12,"[u'Mishneh Torah, Mourning 6:13']",,"[u'Tur, Yoreh Deah 389', u""Shulchan Arukh, Yoreh De'ah 389:1""]","סח ל מיי' שם טוש""ע שם סי' שפט סעיף א",FALSE
69,סט,א,13b,7,"[u'Mishneh Torah, Mourning 5:1']","[u""Sefer Mitzvot Gadol, Rabbinic Commandments, Laws of Tisha B'Av 1""]","[u'Tur, Yoreh Deah 380', u""Shulchan Arukh, Yoreh De'ah 380:1"", u""Shulchan Arukh, Yoreh De'ah 380:1"", u'Tur, Yoreh Deah 389', u""Shulchan Arukh, Yoreh De'ah 389:1""]","סט א מיי' פ""ה מהלכות אבל הלכה א סמג עשין מד""ס ג טוש""ע י""ד סי' ש""פ סעיף א וסי' שפט סעיף א",FALSE
70,ע,ב,13b,7,"[u'Mishneh Torah, Mourning 5:4']",,"[u'Tur, Yoreh Deah 381', u""Shulchan Arukh, Yoreh De'ah 381:1""]","ע ב מיי' שם הלכה ד טוש""ע שם סי' שפא סעיף א",FALSE
71,עא,ג,13b,7,"[u'Mishneh Torah, Mourning 5:4']",,"[u'Tur, Yoreh Deah 381', u""Shulchan Arukh, Yoreh De'ah 381:2""]","עא ג מיי' שם טוש""ע שם סעיף ב",FALSE
72,עב,ד,13b,9,"[u'Mishneh Torah, Prayer and the Priestly Blessing 2:14']","[u'Sefer Mitzvot Gadol, Positive Commandments 19']","[u'Tur, Orach Chaim 565', u'Shulchan Arukh, Orach Chayim 565:1']","עב ד מיי' פ""ב מהלכות תפלה הלכה יד סמג עשין יט טוש""ע א""ח סי' תקסה סעיף א",FALSE
73,עג,ה,13b,12,"[u'Mishneh Torah, Fasts 3:2']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:2']","עג ה מיי' פ""ג מהלכות תענית הלכה ב טוש""ע א""ח סי' תקעה סעיף ב",FALSE
74,עד,ו,13b,14,"[u'Mishneh Torah, Fasts 3:3']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:3']","עד ו מיי' שם הלכה ג טוש""ע שם סעיף ג",FALSE
75,עה,א,14a,6,"[u'Mishneh Torah, Fasts 3:5']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:5']","עה א מיי' פ""ג מהל' תעניות הלכה ה טוש""ע א""ח סימן תקעה סעיף ה",FALSE
76,עו,ב,14a,7,"[u'Mishneh Torah, Fasts 3:7']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:4']","עו ב מיי' שם הלכה ז טוש""ע שם סעיף ד",FALSE
77,עז,ג,14a,11,"[u'Mishneh Torah, Fasts 2:13']",,"[u'Tur, Orach Chaim 576', u'Shulchan Arukh, Orach Chayim 576:5']","עז ג מיי' שם פ""ב הל' יג טוש""ע שם סימן תקעו סעיף ה",FALSE
78,עח,ד,14a,11,"[u'Mishneh Torah, Fasts 2:10']",,"[u'Tur, Orach Chaim 576', u'Shulchan Arukh, Orach Chayim 576:9']","עח ד מיי' שם הלכה י טוש""ע שם סעיף ט",FALSE
79,עט,ה,14a,11,"[u'Mishneh Torah, Fasts 2:9']",,"[u'Tur, Orach Chaim 576', u'Shulchan Arukh, Orach Chayim 576:7']","עט ה מיי' שם הלכה ט טוש""ע שם סעיף ז",FALSE
80,פ,ו,14a,12,"[u'Mishneh Torah, Fasts 1:6']",,"[u'Tur, Orach Chaim 576', u'Shulchan Arukh, Orach Chayim 576:13']","פ ו מיי' פ""א שם הל' ו טוש""ע שם סימן תקעו סעיף יג",FALSE
81,פא,א,14b,2,"[u'Mishneh Torah, Fasts 2:2']",,"[u'Tur, Orach Chaim 576', u'Shulchan Arukh, Orach Chayim 576:1']","פא א מיי' פ""ב מהל' תענית הלכה ב טור ש""ע א""ח סימן תקעו סעיף א",FALSE
82,פב,ב,14b,4,"[u'Mishneh Torah, Prayer and the Priestly Blessing 2:17']",,"[u'Tur, Orach Chaim 117', u'Shulchan Arukh, Orach Chayim 117:2']","פב ב מיי' פ""ב מהלכות תפלה הלכה יז טוש""ע א""ח סימן קיז סעיף ב",FALSE
83,פג,ג,14b,5,"[u'Mishneh Torah, Fasts 3:10']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:9']","פג ג מיי' פ""ג מהל' תענית הלכה י טור ש""ע א""ח סימן תקעה סעיף ט",FALSE
84,פד,ד,14b,8,"[u'Mishneh Torah, Fasts 3:7']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:4']","פד ד מיי' שם הלכה ז טוש""ע שם סעיף ד",FALSE
