txt file line,Perek running counter,page running counter,Daf,Line,Rambam,Semag,Tur Shulchan Arukh,original,problem
51,נא,ז,7b,13,"[u'Mishneh Torah, Other Sources of Defilement 7:5']",,,"נא ז מיי' פ""ז מהלכות שאר אבות הטומאה הלכה ה",FALSE
52,נב,ח,7b,13,"[u'Mishneh Torah, Other Sources of Defilement 7:6']",,,נב ח מיי' שם הלכה ו,FALSE
53,נג,ט,7b,14,"[u'Mishneh Torah, Other Sources of Defilement 7:1', u'Mishneh Torah, Other Sources of Defilement 7:4']",,,נג ט מיי' שם הלכה א והלכה ד,FALSE
54,נד,י,7b,15,"[u'Mishneh Torah, Other Sources of Defilement 7:1', u'Mishneh Torah, Other Sources of Defilement 7:2']",,,נד י כ מיי' שם הלכה א והלכה ב,
54,נד,כ,7b,16,"[u'Mishneh Torah, Other Sources of Defilement 7:1', u'Mishneh Torah, Other Sources of Defilement 7:2']",,,נד י כ מיי' שם הלכה א והלכה ב,FALSE
55,נו,מ,7b,17,"[u'Mishneh Torah, Other Sources of Defilement 7:3']",,,נו מ נ מיי' שם הלכה ג,
55,נו,נ,7b,17,"[u'Mishneh Torah, Other Sources of Defilement 7:3']",,,נו מ נ מיי' שם הלכה ג,FALSE
56,נז,א,8a,1,"[u'Mishneh Torah, Levirate Marriage and Release 7:15']","[u'Sefer Mitzvot Gadol, Positive Commandments 51']","[u'Tur, Even HaEzer 175', u'Shulchan Arukh, Even HaEzer 175:11']","נז א מיי' פ""ז מהל' יבום הלט""ו סמג עשין נא טוש""ע אה""ע סי' קעה סעיף יא",FALSE
57,נח,ב,8a,2,"[u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 6:16']","[u'Sefer Mitzvot Gadol, Positive Commandments 141']","[u'Tur, Yoreh Deah 325', u""Shulchan Arukh, Yoreh De'ah 325:1""]","נח ב מיי' פ""ו מהל' בכורים הלט""ז סמג עשין קמא טוש""ע יו""ד סי' שכה סעיף א",FALSE
58,נט,ג,8a,6,"[u'Mishneh Torah, Levirate Marriage and Release 5:30', u'Mishneh Torah, Levirate Marriage and Release 7:15']","[u'Sefer Mitzvot Gadol, Positive Commandments 51']","[u'Tur, Even HaEzer 171', u'Shulchan Arukh, Even HaEzer 171:1', u'Shulchan Arukh, Even HaEzer 171:1', u'Tur, Even HaEzer 175', u'Shulchan Arukh, Even HaEzer 175:11']","נט ג מיי' פ""ה מהל' יבום הל' ל ופ""ז שם הלט""ו סמג עשין נא טוש""ע אה""ע סי' קעא סעי' א וסי' קעה סעי' יא",FALSE
59,ס,ד,8a,7,"[u'Mishneh Torah, Divorce 12:15']","[u'Sefer Mitzvot Gadol, Positive Commandments 20']","[u'Tur, Even HaEzer 17', u'Shulchan Arukh, Even HaEzer 17:3']","ס ד מיי' פי""ב מהל' גירושין הלט""ו סמג עשין כ טוש""ע אה""ע סי' יז סעי' ג",FALSE
60,סא,ה,8a,7,"[u'Mishneh Torah, Damages to Property 10:2']","[u'Sefer Mitzvot Gadol, Positive Commandments 67']",,"סא ה מיי' פ""י מהל' נזקי ממון הל""ב סמג עשין סז",FALSE
61,סב,ו,8a,7,"[u'Mishneh Torah, Things Forbidden on the Altar 6:9']","[u'Sefer Mitzvot Gadol, Negative Commandments 319']",,"סב ו מיי' פ""ו מהל' איסורי מזבח הל""ט סמג לאוין שיט",FALSE
62,סג,ז,8a,7,"[u'Mishneh Torah, Daily Offerings and Additional Offerings 1:2']","[u'Sefer Mitzvot Gadol, Positive Commandments 190']",,"סג ז מיי' פ""א מהל' תמידין הל""ב סמג עשין קצ",FALSE
63,סד,ח,8a,11,"[u'Mishneh Torah, Sabbatical Year and the Jubilee 7:19']",,,"סד ח מיי' פ""ז מהל' שמטה ויובל הלי""ט",FALSE
64,סה,א,8b,2,"[u'Mishneh Torah, Prayer and the Priestly Blessing 2:7']",,,"סה א מיי' פ""ב מהל' תפלה הל""ז",FALSE
65,סו,ב,8b,3,"[u'Mishneh Torah, Prayer and the Priestly Blessing 2:4', u'Mishneh Torah, Prayer and the Priestly Blessing 2:12']",,"[u'Tur, Orach Chaim 624', u'Shulchan Arukh, Orach Chayim 624:1']","סו ב מיי' שם פ""ב הלכה ד יב טוש""ע או""ח סי' תרכד סעיף א",FALSE
66,סז,ג,8b,5,"[u'Mishneh Torah, Sabbatical Year and the Jubilee 7:19', u'Mishneh Torah, Sabbatical Year and the Jubilee 7:20', u'Mishneh Torah, Forbidden Foods 16:26']",,,"סז ג ד ה מיי' פ""ז מהל' שמיטין הלי""ט והל' כ ופט""ז מהל' מאכלות אסורות הל' כו",
66,סז,ד,8b,5,"[u'Mishneh Torah, Sabbatical Year and the Jubilee 7:19', u'Mishneh Torah, Sabbatical Year and the Jubilee 7:20', u'Mishneh Torah, Forbidden Foods 16:26']",,,"סז ג ד ה מיי' פ""ז מהל' שמיטין הלי""ט והל' כ ופט""ז מהל' מאכלות אסורות הל' כו",
66,סז,ה,8b,6,"[u'Mishneh Torah, Sabbatical Year and the Jubilee 7:19', u'Mishneh Torah, Sabbatical Year and the Jubilee 7:20', u'Mishneh Torah, Forbidden Foods 16:26']",,,"סז ג ד ה מיי' פ""ז מהל' שמיטין הלי""ט והל' כ ופט""ז מהל' מאכלות אסורות הל' כו",FALSE
67,סח,ו,8b,9,"[u'Mishneh Torah, Forbidden Intercourse 9:5', u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']",,"סח ו מיי' פ""ט מהל' איסורי ביאה הל""ה ופ""ד מהל' משכב ומושב הל""א סמג לאוין קיא",FALSE
68,סט,ז,8b,12,"[u'Mishneh Torah, Sabbatical Year and the Jubilee 1:21', u'Mishneh Torah, Sabbatical Year and the Jubilee 1:22']",,,"סט ז מיי' פ""א מהל' שמיטין הל' כא כב",FALSE
69,ע,ח,8b,17,"[u'Mishneh Torah, Forbidden Intercourse 9:4', u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']","[u'Tur, Yoreh Deah 189', u""Shulchan Arukh, Yoreh De'ah 189:33""]","ע ח מיי' פ""ט מהל' איסורי ביאה הל""ד ופ""ד מהל' משכב ומושב הל""א סמג לאוין קיא טוש""ע יו""ד סי' קפט סעיף לג",FALSE
70,עא,ט,8b,19,"[u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']",,,"עא ט מיי' פ""ד מהל' משכב ומושב הל""א",FALSE
71,עב,י,8b,21,"[u'Mishneh Torah, Forbidden Intercourse 7:1']","[u'Sefer Mitzvot Gadol, Negative Commandments 111', u'Sefer Mitzvot Gadol, Positive Commandments 243']",,"עב י מיי' פ""ז מהל' איסורי ביאה הל""א סמג לאוין קיא ועשין רמג",FALSE
72,עג,א,9a,3,"[u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']",,"עג א מיי' פ""ד מהל' משכב ומושב הל""א סמג לאוין קיא",FALSE
73,עד,ב,9a,6,"[u'Mishneh Torah, Forbidden Intercourse 8:12']",,"[u'Tur, Yoreh Deah 184', u""Shulchan Arukh, Yoreh De'ah 184:8""]","עד ב מיי' פ""ח מהל' איסורי ביאה הלי""ב טוש""ע יו""ד סי' קפד סעי' ח",FALSE
74,עה,ג,9a,7,"[u'Mishneh Torah, Forbidden Intercourse 8:12']",,"[u'Tur, Yoreh Deah 184', u""Shulchan Arukh, Yoreh De'ah 184:7"", u""Shulchan Arukh, Yoreh De'ah 184:7"", u""Shulchan Arukh, Yoreh De'ah 184:9"", u""Shulchan Arukh, Yoreh De'ah 184:9"", u'Tur, Yoreh Deah 189', u""Shulchan Arukh, Yoreh De'ah 189:34""]","עה ג מיי' שם טוש""ע שם סעי' ז וסעי' ט וסי' קפט סעי' לד",FALSE
75,עו,ד,9a,9,"[u'Mishneh Torah, Forbidden Intercourse 9:4', u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']","[u'Tur, Yoreh Deah 189', u""Shulchan Arukh, Yoreh De'ah 189:33""]","עו ד מיי' פ""ט שם הל""ד ופ""ד מהל' משכב ומושב הל""א סמג שם טוש""ע יו""ד סי' קפט סעיף לג",FALSE
76,עז,ה,9a,9,"[u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']",,,"עז ה מיי' פ""ד מהל' משכב ומושב הל""א",FALSE
77,עח,ו,9a,15,"[u'Mishneh Torah, Red Heifer 15:1']",,,"עח ו ז ח מיי' פט""ו מהל' פרה אדומה הלכה א",
77,עח,ז,9a,16,"[u'Mishneh Torah, Red Heifer 15:1']",,,"עח ו ז ח מיי' פט""ו מהל' פרה אדומה הלכה א",
77,עח,ח,9a,17,"[u'Mishneh Torah, Red Heifer 15:1']",,,"עח ו ז ח מיי' פט""ו מהל' פרה אדומה הלכה א",FALSE
78,עט,ט,9a,18,"[u'Mishneh Torah, Red Heifer 10:8']",,,"עט ט מיי' שם פ""י הלכה ח",FALSE
79,פ,י,9a,18,"[u'Mishneh Torah, Red Heifer 15:1']",,,"פ י מיי' שם פט""ו הל""א",FALSE
80,פא,א,9b,1,"[u'Mishneh Torah, Forbidden Intercourse 9:5', u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']","[u'Sefer Mitzvot Gadol, Negative Commandments 101']","[u'Tur, Yoreh Deah 189', u""Shulchan Arukh, Yoreh De'ah 189:29""]","פא א ב מיי' פ""ט מהל' איסורי ביאה הל""ה ופ""ד מהל' משכב ומושב הל""א סמג לאוין קא טוש""ע יו""ד סי' קפט סעי' כט",
80,פא,ב,9b,2,"[u'Mishneh Torah, Forbidden Intercourse 9:5', u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']","[u'Sefer Mitzvot Gadol, Negative Commandments 101']","[u'Tur, Yoreh Deah 189', u""Shulchan Arukh, Yoreh De'ah 189:29""]","פא א ב מיי' פ""ט מהל' איסורי ביאה הל""ה ופ""ד מהל' משכב ומושב הל""א סמג לאוין קא טוש""ע יו""ד סי' קפט סעי' כט",FALSE
81,פב,ג,9b,2,,,"[u'Tur, Yoreh Deah 189', u""Shulchan Arukh, Yoreh De'ah 189:1""]","פב ג טוש""ע יו""ד סי' קפט סעי' א",FALSE
82,פג,ד,9b,3,"[u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']",,"[u'Tur, Yoreh Deah 189', u""Shulchan Arukh, Yoreh De'ah 189:27"", u""Shulchan Arukh, Yoreh De'ah 189:27"", u""Shulchan Arukh, Yoreh De'ah 189:30""]","פג ד ה מיי' פ""ד מהל' משכב ומושב הל""א וע""ש בכ""מ ובטוש""ע יו""ד סי' קפט סעי' כז וסעי' ל",
82,פג,ה,9b,7,"[u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']",,"[u'Tur, Yoreh Deah 189', u""Shulchan Arukh, Yoreh De'ah 189:27"", u""Shulchan Arukh, Yoreh De'ah 189:27"", u""Shulchan Arukh, Yoreh De'ah 189:30""]","פג ד ה מיי' פ""ד מהל' משכב ומושב הל""א וע""ש בכ""מ ובטוש""ע יו""ד סי' קפט סעי' כז וסעי' ל",FALSE
83,פד,ו,9b,12,"[u'Mishneh Torah, Those Who Defile Bed or Seat 4:3']","[u'Sefer Mitzvot Gadol, Negative Commandments 101']","[u'Tur, Yoreh Deah 189', u""Shulchan Arukh, Yoreh De'ah 189:27""]","פד ו מיי' שם הל""ג סמג שם טוש""ע יו""ד סי' קפט סעי' כז",FALSE
84,פה,ז,9b,14,"[u'Mishneh Torah, Those Who Defile Bed or Seat 4:4']","[u'Sefer Mitzvot Gadol, Negative Commandments 101']",,"פה ז מיי' שם הל""ד סמג שם",FALSE
85,פו,א,10a,7,"[u'Mishneh Torah, Forbidden Intercourse 9:5']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']",,"פו א מיי' פ""ט מהלכות איסורי ביאה הל' ה סמג לאוין קיא",FALSE
