Notes,Name,Match Name 1 corrected,Match Name En,Match Name 1,Match Name 2,Match Name 3,Match Name 4,Match Name 5,Match Name 6,Match Name 7,Match Name 8,Match Name 9,Match Name 10,Match Name 11,Match Name 12,Match Name 13,Match Name 14,Match Name 15,Match URL 1,Match URL 2,Match URL 3,Match URL 4,Match URL 5,Match URL 6,Match URL 7,Match URL 8,Match URL 9,Match URL 10,Match URL 11,Match URL 12,Match URL 13,Match URL 14,Match URL 15
,בן זומא,,Shimon b. Zoma,שמעון בן זומא,,,,,,,,,,,,,,,https://www.sefaria.org.il/person/Shimon%20b.%20Zoma,,,,,,,,,,,,,,
,ר אלעזר הקפר,,Rabbi Elazar haKappar,רבי אלעזר הקפר,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20haKappar,,,,,,,,,,,,,,
,אלכסנדר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי אלעזר בן עזריה,,Rabbi Elazar b. Azaryah,רבי אלעזר בן עזריה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Azaryah,,,,,,,,,,,,,,
,ניקנור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ר ישמעאל בר יוסי,,Rabbi Yishmael b. Yose,רבי ישמעאל בן יוסי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yishmael%20b.%20Yose,,,,,,,,,,,,,,
,רבי יוסי בר כיפר,רבי יוסי בן כיפר,Rabbi Yose b. Kippar,רבי וסי בן כיפר,,,,,,,,,,,,,,,https://www.sefaria.org.il/person/Rabbi%20Yose%20b.%20Kippar,,,,,,,,,,,,,,
,יונתן בן עוזיאל,,Rabbi Yonatan b. Uziel,רבי יונתן בן עוזיאל,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yonatan%20b.%20Uziel,,,,,,,,,,,,,,
,ר יעקב בן קרשי,,Rabbi Ya'akov b. Qorshai,רבי יעקב בן קרשי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Ya'akov%20b.%20Qorshai,,,,,,,,,,,,,,
,מונבז,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אנדרינוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ר צדוק,,Rabbi Tzadok,רבי צדוק,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Tzadok%20(I),,,,,,,,,,,,,,
,יוסף בן סימאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שמעון בן שטח,,Shimon b. Shetach,שמעון בן שטח,,,,,,,,,,,,,,,https://www.sefaria.org/person/Shimon%20b.%20Shetach,,,,,,,,,,,,,,
,הלל,,Hillel the Elder,הלל הזקן,,,,,,,,,,,,,,,https://www.sefaria.org/person/Hillel%20the%20Elder,,,,,,,,,,,,,,
,מתתיהו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי פדת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,בני בתירא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
