Topic,English description,Is A Type Of,Is a Type Of (2),Final Topic Name,Final English Translation,Final English Transliteration,Is Translation from External Source,According to:,Additional sources (please use link to Sefaria segment and list multiple sources separated by comma),,,Is Paren Good Description
רבי אלכסנדרי,,talmudic person,,רבי אלכסנדרי,,Rabbi Alexandri,,,,,,
רבי אלעאי,,talmudic person,,רבי אלעאי,,Rabbi Il'ai,,,,,,
רבי אלעזר בן דורדיא,,mishnaic person,,רבי אלעזר בן דורדיא,,Rabbi Elazar b. Dordaya,,,,,,
רבי אלעזר בן דמה,,mishnaic person,,רבי אלעזר בן דמה,,Rabbi Elazar b. Dima,,,,,,
רבי אלעזר בן חסמא,,mishnaic person,,רבי אלעזר בן חסמא,,Rabbi Elazar Hisma,YES,,,,,
רבי אלעזר בן חרסום,,mishnaic person,,רבי אלעזר בן חרסום,,Rabbi Elazar b. Charsum,,,,,,
רבי אלעזר בן עזריה,,mishnaic person,,רבי אלעזר בן עזריה,,Rabbi Elazar b. Azaryah,YES,,,,,
רבי אלעזר בן ערך,,mishnaic person,,רבי אלעזר בן ערך,,Rabbi Elazar b. Arakh,YES,,,,,
רבי אלעזר בן פדת,,talmudic person,,רבי אלעזר בן פדת,,Rabbi Elazar b. Pedat,YES,,,,,
רבי אלעזר בן צדוק,,mishnaic person,,רבי אלעזר בן צדוק,,Rabbi Elazar b. Tzadok,YES,,,,,
רבי אלעזר בן שמוע,,mishnaic person,,רבי אלעזר בן שמוע,,Rabbi Elazar b. Shamu'a,YES,,,,,
רבי אלעזר בן שמעון,,mishnaic person,,רבי אלעזר בן שמעון,,Rabbi Elazar b. Shimon,YES,,,,,
רבי אלעזר בר יוסי,,mishnaic person,,רבי אלעזר בר יוסי,,Rabbi Elazar b. Yose,,,,,,
רבי אלעזר,,talmudic person,,רבי אלעזר,,Rabbi Elazar ,,,,,,
רבי אמי ורבי אסי,,group of people,talmudic person,רבי אמי ורבי אסי,,Rabbi Ami and Rabbi Asi,,,,,,
רבי בון,,talmudic person,,רבי בון,,Rabbi Bon,,,,,,
רבי בנאה,,talmudic person,,רבי בנאה,,Rabbi Banna'ah,YES,,,,,
רבי דוסא בן הרכינס,,mishnaic person,,רבי דוסא בן הרכינס,,Rabbi Dosa b. Harkinas,YES,,,,,
רבי דוסתאי בר ינאי,,talmudic person,,רבי דוסתאי בר ינאי,,Rabbi Dostai b. Yannai,,,,,,
רבי הושעיא,,talmudic person,,רבי הושעיא,,Rabbi Hoshaya [Rabbah],YES,,,,,
רבי זירא,,talmudic person,,רבי זירא,,Rabbi Zera,YES,,,,,
רבי זכאי,,mishnaic person,,רבי זכאי,,Rabbi Zakkai,,,,,,
רבי זכריה בן אבקולס,,mishnaic person,,רבי זכריה בן אבקולס,,Rabbi Zechariah b. Avkolas,,,,,,
רבי זכריה בן הקצב,,mishnaic person,,רבי זכריה בן הקצב,,Rabbi Zechariah b. Hakatzav,,,,,,
רבי זעירא,,talmudic person,,רבי זעירא,,Rabbi Zeira,YES,,,,,
רבי חגי,,talmudic person,,רבי חגי,,Rabbi Haggai,YES,,,,,
רבי חזקיה,,talmudic person,,רבי חזקיה,,Rabbi Hizkiyah,,,,,,
רבי חייא בר אבא,,talmudic person,,רבי חייא בר אבא,,Rabbi Hiyya b. Abba,YES,,,,,
רבי חייא בר בא,,talmudic person,,רבי חייא בר בא,,Rabbi Hiyya b. [Abba],YES,,,,,
רבי חייא בר גמדא,,talmudic person,,רבי חייא בר גמדא,,Rabbi Hiyya b. Gamda,YES,,,,,
רבי חייא בר זרנוקי,,talmudic person,,רבי חייא בר זרנוקי,,Rabbi Hiyya b. Zarnokei,,,,,,
רבי חייא בר יוסף,,talmudic person,,רבי חייא בר יוסף,,[Rav] Hiyya b. Yosef,YES,,,,,
רבי חייא בר רב,,talmudic person,,רבי חייא בר רב,,Rabbi Hiyya b. Abba,YES,,,,,
רבי חייא פרוואה,,talmudic person,,רבי חייא פרוואה,,Rabbi Hiyya Parvaah,,,,,,
רבי חייא,,mishnaic person,,רבי חייא,,Rabbi Hiyya,YES,,,,,
רבי חלבו,,talmudic person,,רבי חלבו,,Rabbi Helbo,YES,,,,,
רבי חמא בר ביסא,,mishnaic person,,רבי חמא בר ביסא,,Rabbi Hama b. Bisa,YES,,,,,
רבי חמא בר רבי חנינא,,mishnaic person,,רבי חמא בר רבי חנינא,,Rabbi Hama b. R. Hanina,YES,,,,,
רבי חמי בר חנינה,,mishnaic person,,רבי חמי בר חנינה,,Rabbi Chami b. Chaninah,,,,,,
רבי חנא בר ביזנא,,talmudic person,,רבי חנא בר ביזנא,,Rabbi Chana b. Bizna,,,,,,
רבי חנא בר חנילאי,,talmudic person,,רבי חנא בר חנילאי,,Rabbi Chana b. Chanilai,,,,,,
רבי חנא פתוראה,,talmudic person,,רבי חנא פתוראה,,Rabbi Chana Petoraah,,,,,,
רבי חנינא בן אחי ר יהושע,,mishnaic person,,רבי חנינא בן אחי ר יהושע,"Rabbi Hanina, the Son of Rabbi Yehoshua's Brother",,,,,,,
רבי חנינא בן אלעזר,,mishnaic person,,רבי חנינא בן אלעזר,,Rabbi Hanina b. Elazar,,,,,,
רבי חנינא בן אנטיגנוס,,mishnaic person,,רבי חנינא בן אנטיגנוס,,Rabbi Hanina b. Antigonos,,,,,,
רבי חנינא בן גמליאל,,talmudic person,,רבי חנינא בן גמליאל,,Rabbi Hanina b. Gamliel,YES,,,,,
רבי חנינא בן דוסא,,mishnaic person,,רבי חנינא בן דוסא,,Rabbi Hanina b. Dosa,YES,,,,,
רבי חנינא בר חמא,,talmudic person,,רבי חנינא בר חמא,,Rabbi Hanina b. Hama,YES,,,,,
רבי חנינא בר יוסף,,talmudic person,,רבי חנינא בר יוסף,,Rabbi Hanina b. Yosef,,,,,,
רבי חנינא בר פפא,,talmudic person,,רבי חנינא בר פפא,,Rabbi Hanina b. Pappa,YES,,,,,
רבי חנינא בר פפי,,talmudic person,,רבי חנינא בר פפי,,Rabbi Hanina b. [Pappa],YES,,,,,
רבי חנינא,,talmudic person,,רבי חנינא,,Rabbi Hanina,YES,,,,,
רבי חנינה בן תרדיון,,mishnaic person,,רבי חנינה בן תרדיון,,Rabbi Hananyah b. Teradyon,YES,,,,,
רבי חנניה בן חכינאי,,mishnaic person,,רבי חנניה בן חכינאי,,Rabbi Hananyah b. Hakhinai,YES,,,,,
רבי חנניה,,mishnaic person,,רבי חנניה,,Rabbi Hananyah,,,,,,
רבי טבלא,,talmudic person,,רבי טבלא,,Rabbi Tavla,,,,,,
רבי טרפון,,mishnaic person,,רבי טרפון,,Rabbi Tarfon,YES,,,,,
רבי יהודה בן בבא,,mishnaic person,,רבי יהודה בן בבא,,Rabbi Yehudah b. Bava,YES,,,,,
רבי יהודה בן בתירא,,mishnaic person,,רבי יהודה בן בתירא,,Rabbi Yehudah b. Betera,YES,,,,,
רבי יהודה בן טבאי,,mishnaic person,,רבי יהודה בן טבאי,,Yehudah b. Tabbai,YES,,,,,
רבי יהודה בר נחמיה,,mishnaic person,,רבי יהודה בר נחמיה,,Rabbi Yehudah b. Nechemiah,,,,,,
רבי יהודה הנדואה,,talmudic person,,רבי יהודה הנדואה,,Rabbi Yehudah Hinduah,,,,,,
רבי יהודה נשיאה,,mishnaic person,,רבי יהודה נשיאה,,Rabbi Yehudah Nesiyah,,,,,,
רבי יהושע בן לוי,,talmudic person,,רבי יהושע בן לוי,,Rabbi Yehoshua b. Levi,YES,,,,,
רבי יהושע בן פתר ראש,,mishnaic person,,רבי יהושע בן פתר ראש,,Rabbi Yehoshua b. Petter Rosh,,,,,,
רבי יהושע בן קרחה,,mishnaic person,,רבי יהושע בן קרחה,,Rabbi Yehoshua b. Korha,YES,,,,,
רבי יודן,,talmudic person,,רבי יודן,,Rabbi Yudan,,,,,,
רבי יוחנן בן גודגדא,,mishnaic person,,רבי יוחנן בן גודגדא,,Rabbi Yohanan b. Gudgada,,,,,,
רבי יוחנן בן נורי,,mishnaic person,,רבי יוחנן בן נורי,,Rabbi Yohanan b. Nuri,YES,,,,,
רבי יוחנן בן תורתה,,mishnaic person,,רבי יוחנן בן תורתה,,Rabbi Yohanan b. Torta,YES,,,,,
רבי יוחנן,,talmudic person,,רבי יוחנן,,Rabbi Yohanan b. Nappaha,YES,,,,,
רבי יונה,,talmudic person,,רבי יונה,,Rabbi Yonah,YES,,,,,
רבי יונתן בן עכמאי,,talmudic person,,רבי יונתן בן עכמאי,,Rabbi Yonatan b. Akhmai,,,,,,
רבי יונתן,,talmudic person,,רבי יונתן,,Rabbi Yonatan,YES,,,,,
רבי יוסי בן קסמא,,mishnaic person,,רבי יוסי בן קסמא,,Rabbi Yose b. Kisma,YES,,,,,
רבי יוסי בר אסיין,,talmudic person,,רבי יוסי בר אסיין,,Rabbi Yose b. Asyan,,,,,,
רבי יוסי בר כיפר,,mishnaic person,,רבי יוסי בר כיפר,,Rabbi Yose b. Kippar,YES,,,,,
רבי יוסי בר ר יהודה,,mishnaic person,,רבי יוסי בר ר יהודה,,Rabbi Yose b. Yehudah,YES,,,,,
רבי יוסי הכהן,,mishnaic person,,רבי יוסי הכהן,,Rabbi Yose haKohen,YES,,,,,
רבי יוסי,,mishnaic person,,רבי יוסי,,Rabbi Yose b. Halafta,YES,,,,,
רבי ינאי בר ישמעאל,,talmudic person,,רבי ינאי בר ישמעאל,,Rabbi Yannai b. Yishmael,,,,,,
רבי ינאי,,talmudic person,,רבי ינאי,,Rabbi Yannai,YES,,,,,
רבי יעקב בר אידי,,talmudic person,,רבי יעקב בר אידי,,Rabbi Ya'akov b. Idi,YES,,,,,
רבי יצחק נפחא,,talmudic person,,רבי יצחק נפחא,,Rabbi Yitzhak Nappaha,YES,,,,,
רבי יצחק,,mishnaic person,,רבי יצחק,,Rabbi Yitzhak,YES,,,,,
רבי ירמיה,,talmudic person,,רבי ירמיה,,Rabbi Yirmeyah,YES,,,,,
רבי ישבב,,mishnaic person,,רבי ישבב,,Rabbi Yeshevav,,,,,,
רבי ישמעאל,,mishnaic person,,רבי ישמעאל,,Rabbi Yishmael b. Elisha,YES,,,,,
רבי כרוספדאי,,talmudic person,,רבי כרוספדאי,,Rabbi Kruspedai,,,,,,
רבי לוי,,talmudic person,,רבי לוי,,Rabbi Levi,YES,,,,,
רבי מאיר,,mishnaic person,,רבי מאיר,,Rabbi Meir,YES,,,,,
רבי מיאשא בר בריה דר יהושע,,talmudic person,,רבי מיאשא בר בריה דר יהושע,,Rabbi Miasha b. b. R. Yehoshua,,,,,,
רבי מנחם בר סימאי,,talmudic person,,רבי מנחם בר סימאי,,Rabbi Menachem b. Simai,,,,,,
רבי מתיא,,mishnaic person,,רבי מתיא,,Rabbi Mattia b. Heresh,YES,,,,,
רבי נהוראי,,mishnaic person,,רבי נהוראי,,Rabbi Nehorai,YES,,,,,
רבי נחוניא בן הקנה,,mishnaic person,,רבי נחוניא בן הקנה,,Rabbi Nehunya b. haKanah,YES,,,,,
רבי נחוניא חופר שיחין,,mishnaic person,,רבי נחוניא חופר שיחין,Rabbi Nehunya the Well-digger,,,,,,,
רבי נחוניא,,mishnaic person,,רבי נחוניא,,Rabbi Nehunya,,,,,,
רבי נחמיה,,mishnaic person,,רבי נחמיה,,Rabbi Nehemiyah,,,,,,
רבי נתן,,mishnaic person,,רבי נתן,,Rabbi Natan [haBavli],YES,,,,,
רבי עזרא,,talmudic person,,רבי עזרא,,Rabbi Ezra,,,,,,
רבי עקיבא,,mishnaic person,,רבי עקיבא,,Rabbi Akiva,YES,,,,,
רבי פדת,,mishnaic person,,רבי פדת,,Rabbi Pedat,,,,,,
רבי פנחס בן יאיר,,mishnaic person,,רבי פנחס בן יאיר,Rabbi Pinehas b. Yair,Rabbi Pinchas b. Yair,YES,,,,,
רבי פנחס בר ערובא,,mishnaic person,,רבי פנחס בר ערובא,,Rabbi Pinchas b. Arova,,,,,,
רבי פנחס,,talmudic person,,רבי פנחס,,Rabbi Pinchas ,,,,,,
רבי פרידא,,talmudic person,,רבי פרידא,,Rabbi Perida,,,,,,
רבי ראובן בן איסטרובלי,,mishnaic person,,רבי ראובן בן איסטרובלי,,Rabbi Reuven b. Itztrobeli,YES,,,,,
רבי רומנוס,,talmudic person,,רבי רומנוס,,Rabbi Romanus,,,,,,
רבי שילא,,talmudic person,,רבי שילא,,Rabbi Sheila,,,,,,
רבי שמואל בן סוסרטיי,,talmudic person,,רבי שמואל בן סוסרטיי,,Rabbi Shmuel b. Sustrai,,,,,,
רבי שמואל בר רבי יוסי,,talmudic person,,רבי שמואל בר רבי יוסי,,Rabbi Shmuel b. Yose,,,,,,
רבי שמלאי,,talmudic person,,רבי שמלאי,,Rabbi Simlai,YES,,,,,
רבי שמעון בן איסי בן לקוניא,,mishnaic person,,רבי שמעון בן איסי בן לקוניא,,Rabbi Shimon b. R. Yose b. Laqonya,YES,,,,,
רבי שמעון בן אליקים,,talmudic person,,רבי שמעון בן אליקים,,Rabbi Shimon b. Eliyakim,,,,,,
רבי שמעון בן אלעזר,,mishnaic person,,רבי שמעון בן אלעזר,,Rabbi Shimon b. Elazar,,,,,,
רבי שמעון בן חלפתא,,mishnaic person,,רבי שמעון בן חלפתא,,Shimon b. Halafta,YES,,,,,
רבי שמעון בן יהוצדק,,talmudic person,,רבי שמעון בן יהוצדק,,Rabbi Shimon b. Yehotsadak,,,,,,
רבי שמעון בן יוחאי,,mishnaic person,,רבי שמעון בן יוחאי,,Rabbi Shimon b. Yohai,YES,,,,,
רבי שמעון בן לקיש,,talmudic person,,רבי שמעון בן לקיש,,Rabbi Shimon b. Lakish,YES,,,,,
רבי שמעון בן נתנאל,,mishnaic person,,רבי שמעון בן נתנאל,,Rabbi Shimon b. Netanel,,,,,,
רבי שמעון בר רבי,,talmudic person,,רבי שמעון בר רבי,,Rabbi Shimon b. Rabbi,,,,,,
רבי תנחום ב,,talmudic person,,רבי תנחום בר חייא,,Rabbi Tanchum b. Chiya,,,,,,
רבי תנחום בן חנילאי,,talmudic person,,רבי תנחום בן חנילאי,,Rabbi Tanchum b. Chanilai,,,,,,
רבי תנחום בר איסבלוסטיקא,,talmudic person,,רבי תנחום בר איסבלוסטיקא,,Rabbi Tanchum b. Isblostika,,,,,,
רבי תנחום,,talmudic person,,רבי תנחום,,Rabbi Tanchum ,,,,,,
רבי תנחומא,,talmudic person,,רבי תנחומא,,Rabbi Tanhuma b. Abba,YES,,,,,
רבי,,mishnaic person,,רבי,Rabbi (Yehudah haNasi),Rabi,YES,,,,,
רביבים,rains/drops,inanimate object,,רביבים,Raindrops,,,,,,,
רביד,necklace,inanimate object,,רביד,A Necklace,,,,,,,
רבים,plural/collective,quality,,רבים,The Many,,,,,,,
רבין חסידא,,talmudic person,,רבין חסידא,Ravin the Pious,,,,,,,
רבין סבא,,talmudic person,,רבין סבא,Ravin the Elder,,,,,,,
רבין,,talmudic person,,רבין,Ravin,,YES,,,,,
רבינא,,talmudic person,,רבינא,Ravina,,YES,,,,,
רביעית,quarter-measurement,material quality,,רביעית,Quarter-measurement (Usually of a Drink),,,,,,,y
רבית,charging interest,halachic process,,רבית,[The Prohibition of] Interest,,,,,,,
רבן גמליאל,,mishnaic person,,רבן גמליאל,,Rabban Gamliel,YES,,,,,
רבן יוחנן בן זכאי,,mishnaic person,,רבן יוחנן בן זכאי,,Rabban Yohanan b. Zakkai,YES,,,,,
רבן שמעון בן גמליאל,,mishnaic person,,רבן שמעון בן גמליאל,,Rabban Shimon b. Gamliel,YES,,,,,
רבנות,authority,quality,,רבנות,Office or Authority (esp. Rabbinic),,,,,,,
רבץ,lying down/nesting,process,,רבץ,To Crouch,,,,,,,
רבקה,,biblical person,,רבקה,Rebecca,Rivkah,YES,,,,,
רבשקה,,biblical person,,רבשקה,,Rabshakeh,YES,,,,,
רגז,angry/upset,emotion,,רגז,To Get Angry,,,,,,,
רגל מזיק,damage by walking,halachic process,,נזקי רגל,Damages Caused by the Walking (or Running) [of One's Animal],,,,,,,
רגל תור,investigate/spy,process,,ריגול,Investigating or Spying,,,,,,,
רגל,leg/event in time,body part,moment in time,רגל,A Foot (or a Pilgrim Holiday),,,,,,,
רגם,stoning,process,,רגם,To Stone,,,,,,,
רגן,talking cynically,process,,רגן,To Scoff,,,,,,,
רגע רוגע,scold/subdue,process,,רגיעה,To Calm,,,,,,,
רגע,moment,span of time,,רגע,An Instant,,,,,,,
רגעי ארץ,the modest/contented of the world,phrase,group of people,רגעי ארץ,Placid People,,,Radak,Psalms 35:20,,,
רגש,en masse,quality,,רגש,Stirring,,,,,,,
רדה,bring down/control,process,,רדה,To Subjugate,,,,Genesis 1:26,,,
רדף,chase,process,,רדף,To Chase,,,,,,,
רהב,arrogance/power,quality,character trait,רהב,To Accroach Power,,,,,,,
רוב,majority,meta halacha,,רוב,Majority,,,,,,,
רוגז רגז,upset/angry,emotion,,רוגז,Anger,,,,,,,
רודוס,,geographic site,,רודוס,Rhodes,,,,,,,
רודף רדף,pursuer/attacker,halachic process,,רדיפה,Pursuit or Attempt to Attack,,,,,,,
רווק,single person,family role,,רווק,A Single Man,,,,,,,
רוח נפש,will/soul,spiritual entity,,רוח,Spirit,,,,,,,
רוח ה,inspiration/prophecy,theological process,,רוח ה',Divine Inspiration or Prophecy,,,,,,,
רוח הקודש,inspiration/prophecy,theological process,,רוח הקודש,Divine Inspiration,,,,,,,
רוח טומאה רעה,impure inspiration/insanity,process,,רוח טומאה,Impure Inspiration (or a Bad Spirit),,,,,,,
רוח,wind/direction/will,object,,רוח,A Wind,,,,,,,
רוחות מזיקין,harmful spirits,spiritual entity,,רוחות מזיקין,Harmful Spirits,,,,,,,
רוחות,directions,quality,,רוחות,Directions,,,,,,,
רוחניות,spirituality,theology,,רוחניות,Spirituality,,,,,,,
רוכל,merchant/vendor,occupation,,רוכל,A Peddler,,,,,,,
רום עינים,arrogance,character trait,phrase,רום עינים,Intellectual Arrogance,,,Malbim,Proverbs 21:4,,,
רומוס ורומולוס,,group of people,,רומוס ורומולוס,Remus and Romulus,,,,,,,
רומי,,nation/ethnicity,,רומי,Rome (The Roman Empire),,,,,,,
רועה רעה,shepherd,occupation,,רעייה,A Shepherd,,,,,,,
רופא,doctor,occupation,,רופא,A Physician,,,,,,,
רוצח,murderer,halachic role of person,,רוצח,A Murderer,,,,,,,
רוק רקיקה,spitting,process,,רקיקה,Spitting,,,,,,,
רות,,biblical person,,רות,Ruth,Rut,,,,,,
רותם,type of tree,plant,,רותם,A Broom Tree,,,,,,,
רחב,,biblical person,,רחב,,Rahab,YES,,,,,
רחבה,,talmudic person,,רחבה,Rahava of Pumbedita,,YES,,,,,
רחבעם,,biblical person,,רחבעם,Rehoboam,Rechav'am,YES,,,,,
רחוב,thoroughfare/street,structure,,רחוב,A [Town] Square,,,,,,,
רחוק,far,quality,,רחוק,Far,,,,,,,
רחיצה,washing,process,,רחיצה,Washing,,,,,,,
רחל,,biblical person,,רחל,Rachel,,YES,,,,,
רחם,womb,body part,,רחם,A Womb,,,,,,,
רחמים,mercy/empathy,emotion,,רחמים,Mercy,,,,,,,
רחש,movement/thought,process,,רחש,To be Moved,,,,,,,
רטפש,tender,quality,,רטפש,To be Softened,,,,,,,
רטש,smash,process,,רטש,To Smash,,,,,,,
ריאה,lung,body part,,ריאה,A Lung,,,,,,,
ריב,fight/debate,process,,ריב,A Dispute or Argument,,,,,,,
ריח,smell,material quality,,ריח,Smell,,,,,,,
ריחים,millstones,inanimate object,,ריחים,Millstones (in Place as a Mill),,,,,,,
רימון,pomegranate,plant,,רימון,A Pomegranate,,,,,,,
רינה רנן,expressive cry/song,process,,רינה,Prayer or Joyful Song,,,,,,,
ריע,friend,role of person,,ריע,A Companion,,,,,,,
ריפות,wheat kernels,plant,,ריפות,Wheat Groats,,,,,,,
ריצה,running,process,,ריצה,Running,,,,,,,
ריש גלותא,exilarch,occupation,,ריש גלותא,Exilarch,,,,,,,
רך לבב,soft-hearted,character trait,,רך לבב,Soft-hearted,,,,,,,
רך,tender/gentle,quality,,רך,Soft or Gentle,,,,,,,
רכוש,property,object,,רכוש,Property,,,,,,,
רכיבה רכב,riding,process,,רכיבה,Riding,,,,,,,
רמי בר חמא,,talmudic person,,רמי בר חמא,,Rami b. Hama,YES,,,,,
רמי בר יחזקאל,,talmudic person,,רמי בר יחזקאל,,Rami b. Yechezkel,,,,,,
רמי בר תמרי,,talmudic person,,רמי בר תמרי,,Rami b. Tamrei,,,,,,
רע עין,stinginess,character trait,,רע עין,Stingy,,,,,,,
רעב,hunger/famine,process,,רעב,Famine or Hunger,,,,,,,
רעה,graze,process,,רעה,To Graze,,,,,,,
רעואל,,biblical person,,רעואל,,Reuel,YES,,,,,
רעידת אדמה,earthquake,process,,רעידת אדמה,An Earthquake,,,,,,,
רעם,thunder,process,,רעם,Thunder,,,,,,,
רעמסס,,geographic site,,רעמסס,Ramses,,,,,,,
רעץ,break,process,,רעץ,To Break,,,,,,,
רפאים,,group of people,,רפאים,A Group of Giants,Refayim,,,,,,
רפאל,,spiritual entity,,רפאל,Raphael,,,,,,,
רפואה,medicine/medical treatment,process,,רפואה,Healing or Medicine,,,,,,,
רפידים,,geographic site,,רפידים,A Group of Giants,Refidim,,,,,,
רפרם בר פפא,,talmudic person,,רפרם בר פפא,,Rafram b. Pappa,,,,,,
רפרם,,talmudic person,,רפרם,,Rafram,YES,,,,,
רצד,dance/ambush,process,,רצד,To Be Hostile,,,,,,,
רצה רצון,want/will,emotion,,רצה רצון,To Want or [Someone's] Will,,,,,,,
רצפה בת איה,,biblical person,,רצפה בת איה,"Rizpah, the Daughter of Aiyah",,,,,,,
רצפה,coal/fire,inanimate object,,רצפה,A Coal,,,Rashi,Isaiah 6:6,,,
רצץ,fracture,process,,רצץ,To Break,,,,,,,
רק,only,word,,רק,Only,,,,,,,
רקד רקידה,dance,artistic process,,ריקוד,A Dance,,,,,,,
רקח,fragrance blend,inanimate object,,רקח,A Compound,,,,,,,
רקיע,sky/atmosphere,geographic site,,רקיע,Firmament,,,,,,,
רקיק,flatbread used in korban,food,halachic role of inanimate object,רקיק,Flatbread (Used in Sacrifices),,,,,,,
רקם,embroidery,artistic process,,רקם,Embroidery,,,,,,,
רש,poor/lacking,quality,,רש,An Indigent Person ,,,,,,,
רשות היחיד הרבים,private/public domains,halachic role,,רשות היחיד ורשות הרבים,A Private and a Public Domain,,,,,,,
רשות,permission/authority,quality,,רשות,Optional or an Authority,,,,,,,
רשימו,,theology,,רשימו,The Trace [of God],,,,,,,
רשע וטוב לו,good things happening to bad people,theology,,רשע וטוב לו,Good Things Happening to an Evildoer,,,,,,,
רשע,evil person,quality,,רשע,An Evildoer,,,,,,,
רשף,intense/fiery/damaging,quality,,רשף,Fiery or Demons,,,,,,,
שילא בר אבינא,,talmudic person,,שילא בר אבינא,,Sheila bar Avina,,,,,,
שמאי,,mishnaic person,,שמאי,,Shammai,YES,,,,,
שמואל הקטן,,mishnaic person,,שמואל הקטן,Shmuel the Little,,YES,,,,,
שמואל,,talmudic person,,שמואל,Samuel,Shmuel,YES,,,,,
שמעון בן שטח,,mishnaic person,,שמעון בן שטח,,Shimon b. Shetach,YES,,,,,
שמעון העמסוני,,mishnaic person,,שמעון העמסוני,,Shimon haAmasoni,,,,,,
שמעון הפקולי,,mishnaic person,,שמעון הפקולי,,Shimon haPaqoli,YES,,,,,
שמעון הצדיק,,mishnaic person,,שמעון הצדיק,Shimon the Righteous,,,,,,,
שמעון התימני,,mishnaic person,,שמעון התימני,,Shimon haTimni,YES,,,,,
שמעיה ואבטליון,,mishnaic person,group of people,שמעיה ואבטליון,,Shamaya and Avtalyon,,,,,,
תודוס,,mishnaic person,,תודוס,Theodosius ,Todos,,,,,,
ש,,letter,,ש,,"The Letter, Shin",,,,,,
שא,lift/rub out,process,,שא,Sharpen,,,Rashi,Genesis 27:3,,,
שאה שאיה,become/make desolate,process,,שאייה,Desolation,,,,,,,
שאול גיהנם,the grave/descent after death,spiritual site,,שאול ,The Grave or Netherworld,Sheol,,,,,,
שאול מלך,,biblical person,,שאול המלך,KIng Saul,Shaul Hamelekh,YES,,,,,
שאור,leaven,inanimate object,,שאור,Leaven,,,,,,,
שאילת שלום,"greeting/""asking [one's] peace""",process,,שאילת שלום,Asking of [one's] Welfare,,,,,,,
שאל שאלה,question,process,,שאלה,Question,,,,,,,
שאנן,calm/unafraid,emotion,,שאנן,Unagitated,,,,,,,
שאף,inhale/draw in,process,,שאף,To Draw in,,,,,,,
שאר,relative/food,quality,,שאר,Flesh (A Man's Obligation to Provide Sustenance for His Wife) ,,,,,,,y
שאת צרעת,type of tzaraas,halachic quality,,שאת,A Sign of Tsara't,,,,,,,
שאת,favor/success,process,,שאת,To be Lifted,,,,Genesis 4:7,,,
שבא מלכת,,biblical person,,מלכת שבא,The Queen of Sheba,,,,,,,
שבואל,,biblical person,,שבואל,,Shevuel,,,,,,
שבוי שבויה שבי,captivity/being hostage,process,,שבי,Captivity or a Captive,,,,,,,
שבוע,week/7 year cycle,span of time,,שבוע,A Week of Seven Days or Seven Years,,,,,,,
שבועה,swear,halachic process,,שבועה,An Oath,,,,,,,
שבועות,,pilgrimage festival,,שבועות,Pentecost,,,,,,,
שבור מלכא,,talmudic person,,שבור מלכא,King Shapur (of Persia),,,,,,,
שבח,praise/appreciation,process,,שבח,Praise,,,,,,,
שבטים,the 12 tribes,group of people,,שבטים,The [Founders of the Twelve] Tribes (The Sons of Jacob),,,,,,,y
שביל,path,structure,,שביל,Path,,,,,,,
שבירת הכלים,,theology,,שבירת הכלים,The Breaking of the Vessels (A Mystical Event Inherent in Creation),,,,,,,y
שבכה,lattice,structure,,שבכה,Lattice,,,,II Kings 1:2,,,
שבלול,snail,animal,,שבלול,A Snail or Other Type of Creature,,,,,,,
שבנא,,biblical person,,שבנא,,Shevna,,,,,,
שבע בן בכרי,,biblical person,,שבע בן בכרי,"Sheva, the Son of Bichri",,,,,,,
שבעה מינים,the 7 species,food,,שבעת המינים,The Seven Species [of Fruit Native to the Land of Israel],,,,,,,
שבעה עמים,the 7 nations,group of people,,שבעת העממים,The Seven [Canaanite] Nations,,,,,,,
שבעה עשר בתמוז,,fast day,,שבעה עשר בתמוז,The [Fast of] the 17th of Tammuz,,,,,,,
שבעה רועים,the 7 shepherds,group of people,theology,שבעה רועים,The Seven Shepherds (of the Jewish People),,,,Micah 5:4,,,
שבעים זקנים,the 70 sages ,group of people,,שבעים זקנים,The 70 Elders (in Egypt and in the Desert),,,,,,,
שבעים נפש,the 70 people who came to egypt,group of people,,שבעים נפש,The 70 People (of Jacob's Family who Went Down to Egypt),,,,,,,
שבעת ימי המשתה,7 days of celebration afrer wedding,halachic process,,שבעת ימי המשתה,The Seven Days of Celebration (after a Wedding),,,,,,,
שבעתים,[seven]sevenfold,number,,שבעתים,Sevenfold,,,,,,,
שבץ,fear,emotion,,שבץ,A Feverish Disease,,,,,,,
שבר וישבר,buy/sell food,process,,שבר,To Buy or Sell Provisions,,,,,,,
שבר יש שבר,produce,food,,יש שבר,"""There are Provisions"" (Available)",,,,,,,
שבר שבירה,break,process,,שבירה,Break,,,,,,,
שבר תשברנה,anticipate,process,,שיבור,Anticipation,,,,,,,
שבת אסורי,prohibitions of Shabbos,halachic process,,איסורי שבת,The Prohibitions of Shabbat,,,,,,,
שבת בגד,clothes for Shabbos,halachic role of inanimate object,,בגדי שבת,Shabbat Clothes,,,,,,,
שבת וישבת,cease,process,,שביתה,Ceasing,,,,,,,
שבת זכור ושמור,remembrance and guarding Shabbos,halachic process,,זכור ושמור,Remember and Guard [the Shabbat],,,,,,,
שבת מוצאי,after Shabbos,span of time,,מוצא שבת,The Conclusion of Shabbat,,,,,,,
