Topic,English description,Is A Type Of,Is a Type Of (2),Final Topic Name,Final English Translation,Final English Transliteration,Is Translation from External Source,According to:,Additional sources (please use link to Sefaria segment and list multiple sources separated by comma),,,Is Paren Good Description
אוד,fire-tongs,inanimate object,,אוד,A Firebrand,,,,,,,
אודות,"""regarding""",preposition,,אודות,Regarding,,,,,,,
אוה,want,emotion,,אוה,Want,,,,,,,
אוהל מועד,"""Tent of Meeting""",structure,,אוהל מועד,The Tent of Meeting,Ohel Moed,,,,,,
אוהל,tent,structure,,אוהל,A Tent,,,,,,,
אוז,type of bird,bird,,אוז,A Goose,,,,,,,
אוזן,ear,body part,,אוזן,An Ear,,,,,,,
אוח,type of bird,bird,,אוח,A Type of Bird,,,Ibn Ezra,Isaiah 23:21,,,
אוי,"""oy"", woe",word,,אוי,Woe,,,,,,,
אויב,enemy,role of person,,אויב,An Enemy,,,,,,,
אויל מרודך,,biblical person,,אויל מרודך,,Evil-merodach,,,,,,
אויל,fool,character trait,,אויל,A Fool,,,,,,,
אויר,air/atmosphere,inanimate object,,אויר,Air,,,,,,,
אוכל,food/eating,food,,אוכל,Food,,,,,,,
אולי,if only,word,,אולי,Maybe,,,,,,,
אולם,hall,structure,,אולם,A Hall,,,,,,,
אולת,foolishness,character trait,,אולת,Foolishness,,,,,,,
אומה,nation,group of people,,אומה,A Nation,,,,,,,
אומות העולם ד מלכויות,the 4 oppressive kingdoms,group of people,theology,ארבע מלכויות,The Four Kingdoms (Great Ancient Empires that Ruled over the Land of Israel),,,,,,,y
אומות העולם וישראל,Israel and the nations,relationship,,אומות העולם וישראל,Israel and the (Other) Nations of the World,,,,,,,
אומות העולם לעתיד לבא,fate of the nations,theology,,אומות העולם לעתיד לבא,The Future (Fate) of the Nations of the World,,,,,,,
אומות העולם מלך צפון ומלך נגב,the northern and southern kings in Daniel,theology,,מלך צפון ומלך נגב,The King of the North and the King of the South (in Daniel),,,,,,,
אומות העולם נבואה,prophecy among the nations,theological process,,נבואה באומות העולם,Prophecy Among the Nations,,,,,,,
אומות העולם תורה,Torah not given to the nations,theology,,אומות העולם והתורה,Torah and the Nations of the World,,,,,,,
אומות העולם,non-Jewish nations of the world,group of people,,אומות העולם,The (Other) Nations of the World,,,,,,,
אומלל,weak/defeated,quality,,אומלל,Weak,,,,,,,
אומן,craftsman,occupation,,אומן,A Craftsman,,,,,,,
אומנות,craft,process,,אומנות,Crafts,,,,,,,
אומנם,in truth,word,,אומנם,Indeed,,,,,,,
אומץ,bravery,character trait,,אומץ,Bravery,,,,,,,
און כח,strength,quality,,כח,Strength or Capability,,,,,,,
און בן פלת,,biblical person,,און בן פלת,"On, the Son of Pelet",,YES,,,,,
און,evil/falsehood,character trait,,און,Wickedness,,,,,,,
אונאה מסחר,monetary interest,halachic process,,אונאה במסחר,Market Overpricing (Fraud),,,,,,,
אונאה,abuse/oppression,halachic process,,אונאה,Abuse,,,,,,,
אונן אבלות,mourner,halachic role of person,family role,אונן,One Bereaving,,,,,,,
אונן,,biblical person,,אונן,,Onan,YES,,,,,
אונס,coercion,meta halacha,,אונס,Coercion,,,,,,,
אונקלוס,,mishnaic person,,אונקלוס,,Onkelos,,,,,,
אופז,jewelry,inanimate object,,אופז,Gold,,,,,,,
אופי,character,character trait,,אופי,Character,,,,,,,
אופל,obscurity,quality,,אופל,Darkness,,,,,,,
אופנים,type of angel,spiritual entity,,אופנים,A Type of Angels,,,,,,,
אוץ,to push/pressure,process,,אוץ,To Pressure,,,,,,,
אוצר,store/treasury,group of inanimate objects,,אוצר,A Storehouse or Treasury,,,,,,,
אוקינוס,ocean/sea,geographic feature,,אוקינוס,The (Great) Ocean ,,,,,,,
אור הראשון,primordial light,spiritual entity,,אור הבריאה,The Light of Creation (of the First Day),,,,,,,
אור ישראל,light protecting Israel,quality,,אור ישראל,The Light of Israel,,,,,,,
אור כשדים,,geographic site,,אור כשדים,Ur of the Chaldeans,Ur Kasdim,,,,,,
אור פנים,light of the face,spiritual entity,,אור פנים,The Light of One's Face,,,,,,,
אור,light,inanimate object,,אור,Light,,,,,,,
אורות,vegetation,plant,,אורות,A Talmudic Plant,Orot,,,,,,
אורז,rice/millet,food,plant,אורז,Rice,,,,,,,
אורח דרך,path,structure,,דרך,A Path,,,,,,,
אורח,guest,role of person,,אורח,A Guest,,,,,,,
אוריה החתי,,biblical person,,אוריה החתי,Uriah the Hittite,,YES,,,,,
אוריה,,biblical person,,אוריה,Uriah (the Prophet),,,,,,,
אורים ותומים,,inanimate object,,אורים ותומים,Urim and Thummim,,,,,,,
אושר,personal acheivement,character trait,,אושר,Happiness,,,,,,,
אות אותיות,letter,letter,,אותיות,The Letters,,,,,,,
אות מופת,sign/proof,quality,,אות ומופת,An Indication and Miraculous Sign,,,,,,,
אותה,her,word,,אותה,Her,,,,,,,
אותו האיש,"""that person""",mishnaic person,,אותו האיש,"""That Man"" (Jesus)",,,,,,,
אותו ואת בנו,prohibition of slaughtering,halachic process,,אותו ואת בנו,(The Prohibition of Slaughtering) It and its Child,,,,,,,
