Topic,English description,Is A Type Of,Is a Type Of (2),According to,About Category,Is Category,About Topic,Notes
הר ההר,,geographic site,,,,,,
הר המוריה,,geographic site,,,,,,
הר חורב,,geographic site,,,,,הר סיני,
הר חושך,mountains of darkness?,geographic site,,,,,,
הר מועד,,geographic site,,,,,,
הר נבו,,geographic site,,,,,,
הר סיני,,geographic site,,,,,,
הר תבור,,geographic site,,,,,,
הר,mountain,geographic feature,,,,,,
הראל,"""Mountain of HaShem""; reference to the altar",geographic site,,תרגום יונתן,,,,
הרבעה,breeding animals,halachic process,,,,,,
הרג,killing,halachic process,,,,,,
הרגל,rote,process,,,,,,
הרדם,fall asleep,process,,,,,,
הרהור,conscious thought,process,,,,,,
הרוגי מלכות,martyrs executed,group of people,,,,,,
הריון,conception,lifecycle process,,,,,,
הרכבה,grafting,halachic process,,,,,,
הרם יד,lifting hand in oath,phrase,,,,,,
הרן,,biblical person,,,,,,
הרנן,sing,musical process,,,,,,
הרס,destroy,process,,,,,,
הרשיע,terrorize,process,,"רד""ק",,,,
השאר,leave over,process,,,,,,
השבת אבדה,returning lost object,halachic process,,,,,,
השבת,cease/get rid of,process,,,,,,
השג,,process,,,,,,
השגחה,providence,theological tenet,theological process,,,,,
השחת,to waste/lay waste,process,,,,,,
השיא השיאני,trick/persuade,process,,,,,,
השיא והשיאו,to put upon oneself/carry,process,,תרגום אונקלוס,,,,
השכיל,to grasp/acheive,process,,,,,,
השכם השכמה,wake up/act early,process,,,,,,
השמר,guard oneself [from doing],process,,,,,,
השקף,look out/scrutinize,process,,,,,,
השתאה,wait,process,,,,,,
השתדלות,making an effort,theological process,,,,,,
השתחוה,prostrate,process,,,,,,
התאוה,desire,emotion,,,,,,
התאונן,blaming/complaining,process,,,,,,
התאמר,insult,process,,תרגום יונתן,,,,"Rashi and Ibn Ezra say ""being praised"", maybe in context ""bragging""?"
התאפק,hold back,process,,,,,,
התבודדות,solitude/meditation,process,,,,,,
התבוללות,assimilation,process,,,,,,
התגולל,to scapegoat,process,,,,,,
התהלך את האלקים,serve/be subsumed in the reality of HaShem,theological process,,,,,,
התהלך,travel/move around,process,,,,,,
התחדשות,renewal,process,,,,,,
התחלה,beginning,process,,,,,,
התיצב,to stand (esp. at a distance/in judgement),process,,,,,,
התך,,biblical person,,,,,,
התלהבות,excitement/passion,process,character trait,,,,,
התמהמה,delay,process,,,,,,
התנחם,decide/regret,process,,,,,,
התנכל,to scheme,process,,,,,,
התעוררות,awakening/initiation,process,,,,,,
התעלל,make fun/joke,process,,תרגום אונקלוס,,,,
התעלף,wrap/faint,process,,,,,,
התעמר,to make use of [a person],process,,,,,,
התענינות,interest,process,character trait,,,,,
התעשת,think,process,,,,,,
התפלל,pray,theological process,,,,,,
התפתחות,development,process,,,,,,
התראה,warning,halachic process,,,,,,
ו,,letter,,,,,,
ואלה,and these,phrase,,,,,,
ואני,and I,phrase,,,,,,
ואתה,and you,phrase,,,,,,
והב,,geographic site,,,,,,
והיה,and it was,word,,,,,,
והלאה,and beyond,preposition,,,,,,
ויאמר,and he said,word,,,,,,
וידוי,confession,halachic process,,,,,,
ויהי אחרי,and it was after,phrase,,,,,,
ויהי איש,and there was a man,phrase,,,,,,
ויהי,and it was,word,,,,,,
ויניציאה,venice,geographic site,,,,,,
וכוח,argument,process,,,,,,
ומעלה,and above/further,preposition,,,,,,
ועד,forever,span of time,,,,,,
ועתה,and now,word,,,,,,
ושט,esophagus,body part,,,,,,
ושתי,,biblical person,,,,,,
ותור ותרנות,be agreeable/yield to others,character trait,process,,,,,
ותיק ותיקין,genius/rigorous,character trait,,,,,,
ז,,letter,,,,,,
זאב,wolf,mammal,,,,,,
זאת,this,word,,,,,,
זב,one with leaking/clouded urine,material quality,,,,,,
זבה,one with leaking/clouded urine,material quality,,,,,,
זבוב,fly,arthropod,,,,,,
זבולון,,biblical person,,,,,,
זבח,slaughter/sacrifice,halachic process,,,,,,
זבל זבול,home,structure,,,,,,
זבת חלב ודבש,flowing with milk and honey,phrase,quality,,,,,
זד,mean person/purposeful sinner,character trait,,,,,,
זדון,purposeful [sin],theological process,,,,,,
זה,this,word,,,,,,
זהב,gold,inanimate object,,,,,,
זהירות,caution/care,character trait,,,,,,
זהר,,source,inanimate object,,,,,also a type of light
זוגות,pairs,quality,,,,,,quality?
זווג,connection,process,,,,,,also in marriage
זוועות,earthquakes,process,,,,,,
זונה,prostitute,halachic role of person,,,,,,
זיו,"radiance, esp. one of character",quality,,,,,,
זיז,wild rooster,animal,,תרגום יונתן,,,,"also interpreted as small creatures, light, and dried figs"
זיעה,moisture/sweat,inanimate object,,,,,,
זיקין,comets/shooting stars?,inanimate object,,,,,,
זית,olive,plant,food,,,,,
זכוכית,glass,inanimate object,,,,,,
זכור,homosexual act,halachic process,,,,,,
זכות,merit/right,freedom,,,,,,
זכר זכירה,remembering,process,,,,,,
זכר,male,material quality,,,,,,
זכריה בית ראשון,,biblical person,,,,,,
זכריה בית שני,,biblical person,,,,,,
זלפה,,biblical person,,,,,,
זמה,"idea, esp. of forbidden relations",process,,תרגום אונקלוס,,,,
זמן,time,span of time,,,,,,
זמננו,our time,span of time,,,,,,
זמר זמירות,music,musical process,,,,,,
זמרי,,biblical person,,,,,,
זנות,sexual immorality,halachic process,,,,,,
זעוה,fear [of person's circumstance?],emotion,,,,,,
זעם,displaying anger,process,,,,,,
זעף,upset,emotion,,,,,,
זעק,yell,process,,,,,,
זקן זקנה,quality of being old/sage,quality,,,,,,
זקן ממרא,a rebelling sage,occupation,,,,,,
זקן,beard,body part,,,,,,
זר,foreigner,role of person,,,,,,
זרא,object of disgust,quality,,"רש""י",,,,
זרובבל,,biblical person,,,,,,
זרוע נטויה,outstretched arm,phrase,quality,,,,,
זרוע,arm,body part,,,,,,
זריזות,alacrity,character trait,,,,,,
זרע,seed,inanimate object,,,,,,
זרש,,biblical person,,,,,,
זרת,measure of length,quality,,,,,,
ח,,letter,,,,,,
חבה,love,emotion,,,,,,
חבורה,wound,fiat object part,,,,,,
חבל גורל,lot/portion,continuant fiat boundary,,,,,,
חבל לידה,birthing pains,lifecycle process,,,,,,
חבל,rope,inanimate object,,,,,,
חבצלת,type of flower,plant,,,,,,"identified as rose, lily, other fragrant plant"
חבק,hug,process,,,,,,
חבקוק,,biblical person,,,,,,
חבר אדם,friend/fellow,role of person,,,,,,
חבר תלמיד חכם,committed/learned Jew,halachic role of person,,,,,,
חברה חבורה,group,group of people,,,,,,
חולדה נביאה,,biblical person,,,,,,
חולדה,weasel?,mammal,,,,,,
חולה בקור,caring for sick,halachic process,,,,,,
חולה,sick person,quality,,,,,,
חום,heat,material quality,,,,,,
חומץ,vinegar,food,,,,,,
חומר,substance,inanimate object,,,,,,
חומרה,stringency,meta halacha,,,,,,
חומש,extra payment of fifth,halachic process,,,,,,
חוס,taking pity,emotion,,,,,,
חוסן,security/resource,quality,,,,,,
חוף,harbor/shore,geographic feature,,,,,,
חופה,covering/chuppah,structure,,,,,,
חופש,freedom,freedom,,,,,,
חוץ לארץ,outside of Israel,geographic site,,,,,,
חוץ,outside/road,structure,,,,,,
חוצן,[display of] power/honor,quality,,,,,,
חוצפה,audacity,character trait,,,,,,
חוק,rule,meta halacha,,,,,,
חוקות הגוי,non-Jewish practices,halachic process,,,,,,
חור,,biblical person,,,,,,
חורב,,geographic site,,,,,,
חורבה,ruin,structure,,,,,,
חורבן,the destruction [of Jerusalem],biblical historical event,,,,,,
חורי סלי,white bread,inanimate object,,,,,,
חורי שבעה עמים,,nation/ethnicity,,,,,,
חורף,deep winter,season,,,,,,
חושי,,biblical person,,,,,,
חושים אדם,senses,disposition,,,,,,
חושים בן דן,,biblical person,,,,,,
חושך,darkness,quality,,,,,,maybe a machlokes if darkness is an entity or lack thereof but i think this is more accurate
חותן,father-in-law,family role,,,,,,
חזאל,,biblical person,,,,,,
חזון חזה,vision,theological process,,,,,,
חזיר,pig,mammal,,,,,,
חזן,overseer/communal representative,occupation,,,,,,
חזק ואמץ,be strong and resilient,phrase,,,,,,
חזקיה,,biblical person,,,,,,
חח,type of jewelry/metal ring,inanimate object,,,,,,
חטא חסר,"demoted, lacking",quality,,תרגום יונתן,,,,
חטא מחטיא,cause to sin,theological process,,,,,,
חטא פעולה,effect of sin,theology,,,,,,
חטא,sin,theological process,,,,,,
חטה,wheat,plant,,,,,,
חיאל,,biblical person,,,,,,
חיה,wild animal,mammal,,,,,,
חיך,palate/back of mouth,body part,,,,,,
חיל כח,capability/wealth/power,quality,,,,,,
חיל חומה,small wall/moat,structure,,,,,,
חימה,anger,emotion,,,,,,
חירם,,biblical person,,,,,,
חכם,sage,quality,,,,,,
חכמה,wisdom,knowledge,,,,,,
"חכמינו ז""ל",Chazal,group of people,,,,,,fixed missing letter
חלב קרבן,type of fat,body part,,,,,,
חלב,milk,food,,,,,,
חלד,term for the earth,inanimate object,,,,,,
חלה מתנות כהונה,portion from dough given to kohanim,halachic role of inanimate object,,,,,,
חלה פנים,to pray/beseech [before someone],phrase,process,,,,,
חלול השם,defaming HaShem,halachic process,,,,,,
חלום,dream,knowledge,,,,,,
חלון,window,structure,,,,,,
חלוקא דרבנן,"""the rabbinic cloak""",spiritual entity,,,,,,"described as the experience of the soul when it's ""clothed"" in holiness"
חלזון,snail/mollusk?,animal,,,,,,
חליל,flute,inanimate object,,,,,,
חלילה,"""[it would be] below [you]""",phrase,,,,,,
חליצה,,halachic process,,,,,,
חלל,familially unfit kohen,halachic role of person,,,,,,
חלק,portion,fiat object part,,,,,,
חלקיה,,biblical person,,,,,,
חם,,biblical person,,,,,,
חמד חמדה,want/object of desire,emotion,,,,,,
חמה,anger,emotion,,,,,,
חמור,donkey,mammal,,,,,,
חמי חמות,father/mother-in-law,family role,,,,,,
חמל חמלה,sympathize,process,,,,,,
חמנים,type of idolatry (to the sun?),theurgy,,,,,,
חמס,petty crime,process,,,,,,
חמץ בדיקה וביעור,checking and removing chametz,halachic process,,,,,,
חמץ,leavened bread,inanimate object,,,,,,
חמריות,materiality,quality,,,,,,
חמש,five,number,,,,,,
חמשה עשר באב,15th of Av,day,,,,,,
חמשה עשר בשבט,15th of Shvat,day,,,,,,
חן,altruism/grace,quality,,,,,,
חנה ושבעת בניה,,group of people,,,,,,
חנה,,biblical person,,,,,,
חנוך אב ובן,chinuch,process,,,,,,
חנוך בן ירד,,biblical person,,,,,,
חנכה,chanukah,rabbinic holiday,,,,,,
חנניה מישאל ועזריה,,biblical person,,,,,,
חנק,strangulation,halachic process,,,,,,
חסד,giving,character trait,,,,,,
חסיד חסידות,piety,quality,,,,,,
חסידים הראשונים,the original pious people,group of people,,,,,,
חסכון,taking pity on,process,,,,,,
חפה,covering/chuppah,structure,,,,,,
חפזון,haste,process,,,,,,
חפני ופנחס,,group of people,,,,,,
חפץ,desire,character trait,,,,,,alternative definitions brought there in Iyov
חפצי בה,,biblical person,,,,,,
חפר בושה,embarassed,emotion,,,,,,
חפר כרה,dig,process,,,,,,
חפש,search,process,,,,,,
חצוצרה,trumpet,inanimate object,,,,,,
חצות,midday/midnight,moment in time,,,,,,
חצר מות,,spiritual site,,,,,,really a state of being or expression for death
חצר,yard/common area,structure,,,,,,
חקלאות,agriculture,science,process,,,,,
חקר חקירה,research/analyze,process,,,,,,
חרב המתהפכת,"""turning sword""",spiritual entity,,,,,,
חרב,sword,inanimate object,,,,,,
חרבונה,,biblical person,,,,,,
חרד,tremble/get excited,process,,,,,,
חרון,getting angry,process,,,,,,
חרוץ חריצות,strong/resolute,quality,,,,,,
חרוץ,cut off,material quality,,תרגום אונקלוס,,,,
חרות,freedom,freedom,,,,,,
חרטה,regret,emotion,,,,,,
חרטומים,sorcerers,group of people,,,,,,
חרם,destroy/give over completely,process,,,,,,
חרמון,,geographic site,,,,,,
חרף חרפה,disgrace/given over,process,,,,,,"alt., strength"
חרש ומסגר,craftsmen and guards,group of people,,תרגום יונתן,,,,
חרש,deaf,quality,,,,,,
חשבון,calculation,process,,,,,,
חשד,suspicion,process,,,,,,
חשון,month of cheshvan,month,,,,,,
חשמונאים,hasmoneans,group of people,,,,,,
חשמל,type of angel,spiritual entity,,,,,,
חשק,intrinsic love,emotion,,,,,,also: an overlay (of metal)
חתה,fear/submission,emotion,,,,,,
חתול,cat,mammal,,,,,,
חתי,,nation/ethnicity,,,,,,
חתימה,sealing/ending,process,,,,,,
חתן,groom,family role,,,,,,
ט,,letter,,,,,,
טבור,navel,body part,,,,,,
טבח,butchering/cooking,process,,,,,,
טבי,,mishnaic person,,,,,,
טבילה,immersing,halachic process,,,,,,
טביעות עין,identifying item visually,halachic process,,,,,,
טבע לפני ואחרי המבול,nature before & after flood,theology,historical event,,,,,
טבע לפני ואחרי חטא אדם הראשון,nature before & after sin of Adam,theology,historical event,,,,,
טבע,nature,quality,,,,,,
טבעת,ring,inanimate object,,,,,,
טבריה,,geographic site,,,,,,
טבת,month of Teves,month,,,,,,
טהור טהרה,purity,halachic quality,,,,,,
טוב טובה,good,quality,,,,,,
טוב עין,generous,character trait,,,,,,
טוב,,biblical person,,,,,,
טוטפות,tefillin or other adornment on the forehead,halachic role of inanimate object,,,,,,
טומאה אוכלין ומשקין,impurity of food/liquid,halachic quality,,,,,טומאה,
טומאה הכשר,facilitation of impurity ,halachic process,,,,,טומאה,
טומאה כלים,impurity of items,halachic quality,,,,,טומאה,
טומאה לידה,impurity of birthing,halachic quality,,,,,טומאה,
טומאה מקדש וקדשיו,impurity eating korban/entering Beis HaMikdash,halachic quality,,,,,טומאה,
טומאה משקין,impurity of liquids,halachic quality,,,,,טומאה,
טומאה מת,impurity of death,halachic quality,,,,,טומאה,
טומאה נבלה,impurity of dead unslaughtered animal,halachic quality,,,,,טומאה,
טומאה ספק,uncertain impurity,halachic quality,,,,,טומאה,
טומאה שלוח,sending out impure,halachic process,,,,,טומאה,
טומאה שרץ,impurity of dead creature,halachic quality,,,,,טומאה,
טומאה,impurity ,halachic quality,,,,,,
טומטום ואנדרוגינוס,uncertain gender/androgynous,material quality,,,,,,
טוס,peacock?,bird,,,,,,
טורח,imposition,process,,,,,,
טורנוס רופוס,,mishnaic person,,,,,,
טחול,spleen,body part,,,,,,
טטפות,tefillin or other adornment on the forehead,halachic role of inanimate object,,,,,,
טיטוס,,mishnaic person,,,,,,
טירה,palace/shrine,structure,,,,,,
טל,dew,weather,inanimate object,,,,,
טלית,shawl,inanimate object,,,,,,
טעון,carrying/loaded,process,,,,,,
טעות,mistake,process,,,,,,
טעם,taste,process,,,,,,
טעמים,cantillation,language entity,,,,,,
טף,children,family role,,,,,,
טפש,stupid,quality,,,,,,
טרד טרדה,busy,process,,,,,,
טרח טרחה,imposition,process,,,,,,
טרם,before/while,preposition,,,,,,
טרף טרפה,sick/mauled animal,halachic quality,,,,,,
טרף,food,food,,,,,,
טרקלין,hall/parlor,structure,,,,,,
י,,letter,,,,,,
יאהרצייט,anniversary of death,day,,,,,,
יאור,pool/Nile,geographic feature,,,,,,
יאיר,,biblical person,,,,,,
יאשיה,,biblical person,,,,,,
יבול,produce,food,,,,,,
יבום,yibum,halachic process,,,,,,
יבוס,,geographic site,,,,,,
יבוסי,,nation/ethnicity,,,,,,
יבוק,,geographic site,,,,,,
יבנה,,geographic site,,,,,,
יבש גלעד,,geographic site,,,,,,
יבשה,dry land,geographic feature,,,,,,
יגע,weary,quality,,,,,,
יד חזקה,"""strong arm""",phrase,,,,,,
יד,hand/arm,body part,,,,,,
ידותון,,biblical person,,"רד""ק",,,,
ידיעה,knowledge,disposition,,,,,,
ידיעת ה,knowledge of HaShem,knowledge,,,,,,
ידעוני,type of sorcery,halachic process,,,theurgy,,,
יהא שמיה רבא מברך,"""may His great name be magnified""",phrase,,,,,,
יהדות,Judaism,theology,,,,,,
יהוא,,biblical person,,,,,,
יהואחז,,biblical person,,,,,,
יהודה ארץ,land of Yehudah,geographic site,,,,,יהודה,
יהודה בניו,Yehudah and his children,specific biblical person relationship,,,,,יהודה,
יהודה ברכה,blessing of Yehudah,theology,,,,,יהודה,
יהודה ויוסף,,specific biblical person relationship,,,,,יהודה,
יהודה ועשרת השבטים,Yehudah and 10 tribes,relationship,,,,,יהודה,I guess about the difference between the 10 tribes and the 2?
יהודה ותמר,Yehudah and Tamar,specific biblical person relationship,,,,,יהודה,
יהודה מלכות,kingdom of Yehudah,nation/ethnicity,,,,,יהודה,"maybe should be ""group of ppl""?"
יהודה בן גרים,,mishnaic person,,,,,,
יהודה המכבי,,mishnaic person,,,,,,
יהודה,,biblical person,,,,,,
יהודי,Jew,nation/ethnicity,,,,,,
יהודית,,mishnaic person,,,,,,
יהוידע,,biblical person,,,,,,
יהויכין,,biblical person,,,,,,
יהויקים,,biblical person,,,,,,
יהונדב בן רכב,,biblical person,,,,,,
יהונתן בן גרשם,,biblical person,,,,,,
יהונתן בן שאול,,biblical person,,,,,,
יהורם מלך יהודה,,biblical person,,,,,,
יהורם מלך ישראל,,biblical person,,,,,,
יהושע כבוש יריחו,Yehoshua conquering Jericho,biblical historical event,,,,,,
יהושע כהן גדול,,biblical person,,,,,,
יהושע מעבר הירדן,Yehoshua crossing Jordan river,biblical historical event,,,,,,
יהושע מרגלים,Yehoshua sending spies,biblical historical event,,,,,,
יהושע עמידת השמש,Yehoshua stopping sun,biblical historical event,,,,,,
יהושע,,biblical person,,,,,,
יהושפט,,biblical person,,,,,,
יהי,it should/will be,word,,,,,,
יהרג ואל יעבר,mitzvos that require giving life over transgression,halachic process,,,,,,
יואב,,biblical person,,,,,,
יואל,,biblical person,,,,,,
יואש מלך יהודה,,biblical person,,,,,,
יואש מלך ישראל,,biblical person,,,,,,
יובל,yovel,span of time,,,,,,
יוכבד,,biblical person,,,,,,
יולדת,woman who's given birth,halachic quality,,,,,,
יום ב,monday,day,,,,,,
יום ג,tuesday,day,,,,,,
יום ד,wednesday,day,,,,,,
יום ה,thursday,day,,,,,,
יום הדין,day of judgement,moment in time,,,,,,
יום הולדת,birthday,day,,,,,,
יום השם,"""the day of HaShem""",moment in time,,,,,,
יום חול,mundane days of the week,quality,,,,,,
יום טוב אסורי,prohibitions of yomtov,halachic process,,,,,,
יום טוב שני,2nd day of yomtov,rabbinic holiday,,,,,,
יום טוב,holiday,span of time,,,,,,
יום כפורים אסורי,prohibitions of yom kippur,halachic process,,,,,,
יום כפורים כפרה,atonement of yom kippur,theological process,,,,,,
יום כפורים עבודה,service of yom kippur,halachic process,,,,,,
יום כפורים ערב,eve of yom kippur,day,,,,,,
יום כפורים,yom kippur,high holiday,,,,,,
יום,day,span of time,,,,day,,
יון חכמת לשון,Greek code,language,,,,,,
יון,,nation/ethnicity,,,,,,
יונדב בן רכב,,biblical person,,,,,,
יונה הנביא,,biblical person,,,,,,
יונה עוף,dove,bird,,,,,,
יוסף ארון,coffin of Yosef,inanimate object,,,,,יוסף,
יוסף ברכה,blessing of Yosef,theology,,,,,יוסף,
יוסף ואחיו,Yosef and brothers,specific biblical person relationship,,,,,יוסף,
יוסף ואשת פוטיפר,Yosef and wife of potifar,biblical historical event,,,,,יוסף,
יוסף ובניו,Yosef and sons,group of people,,,,,יוסף,
יוסף ובנימין,Yosef and Binyamin,specific biblical person relationship,,,,,יוסף,
יוסף ומצרים,Yosef in Egypt,biblical historical event,,,,,יוסף,
יוסף ופוטיפר,Yosef and Potifar,biblical historical event,,,,,יוסף,
יוסף ופרעה,Yosef and Pharaoh,specific biblical person relationship,,,,,יוסף,
יוסף ושר המשקים,Yosef and the butler,biblical historical event,,,,,יוסף,
יוסף חלום,Yosef dream,biblical historical event,,,,,יוסף,
יוסף מכירת,sale of Yosef,biblical historical event,,,,,יוסף,
יוסף צפנת פענח,Yosef as interpreter of mysteries,role of person,historical event,,,,יוסף,
יוסף בן סימאי,,mishnaic person,,,,,,
יוסף הכהן,,mishnaic person,,,,,,
יוסף מוקיר שבת,,talmudic person,,,,,,
יוסף,,biblical person,,,,,,
יופי,beauty/virtue,quality,,,,,,
יוקר,inflation,process,,,,,,
יורה,first rains,weather,,,,,,
יורש עצר,heir,role of person,,,,,,"unsure why ""atzar"" is here"
יושר,integrity,character trait,,,,,,
יותם,,biblical person,,,,,,
יותרת הכבד,organ/membrane attached to liver,body part,,,,,,
יזם,think/plot,process,,,,,,
יחדיו,together,relationship,,,,,,
יחוד,seclusion of opposite genders,halachic process,,,,,,
יחוס,pedigree,relationship,,,,,,
יחזקאל נבואה,prophecy of yechezkel,theological process,,,,,,
יחזקאל,,biblical person,,,,,,
יחי,"""long live/may he succeed""",phrase,,,,,,
יחיד,individual,quality,,,,,,
יחידה,highest degree of the soul,spiritual entity,,,,,,
יחל,anticipate/yearn,process,,,,,,
יחסיות,relativity,quality,,,,,,
יין המשומר,the Edenic wine,spiritual entity,,,,,,
יין נסך,,halachic role of inanimate object,,,,,,
יין,wine/spirits,food,,,,,,
יכל,acheive,process,,,,,,
ילד ילדות,child/juvenile,quality,,,,,,
ילתא,,talmudic person,,,,,,
ים מים,sea/ocean,geographic feature,,,,,,
ים המלח,,geographic site,,,,,,
ים טבריה,,geographic site,,,,,,
ים סוף,,geographic site,,,,,,
ים,west,quality,,,,,,
ימים,type of giants,group of people,,אונקלוס,,,,
ימין,right side,fiat object part,,,,,,
ינאי,,mishnaic person,,,,,,
ינוס וימברוס,,group of people,,,,,,*according to apocryphal or external sources they were the sorcerers of Pharaoh
ינק,nurse,lifecycle process,,,,,,
יסודות,the 4 elements,philosophy,,,philosophy,,,
יסורין,adversities,theological process,,,,,,
יעבץ,,biblical person,,,,,,
יעד,arrange/designate,process,,,,,,
יעל אשת חבר הקיני,,biblical person,,,,,,
יעל,mountain goat?,mammal,,"רד""ק",,,,
יען,because/for,preposition,,,,,,
יענה,non-kosher animal,mammal,,,,,,
יעקב אלוקי,the God of Yaakov,specific biblical person relationship,,,,,יעקב,
יעקב בכורה,Yaakov and birthright,theology,,,,,יעקב,
יעקב ברכה,blessing of Yaakov,biblical historical event,,,,,יעקב,
יעקב הבאר,Yaakov and the well,biblical historical event,,,,,יעקב,
יעקב הבטחה,promise to Yaakov,theology,,,,,יעקב,
יעקב החלום,dream of Yaakov,biblical historical event,,,,,יעקב,
יעקב ובניו,Yaakov and children,group of people,,,,,יעקב,
יעקב והמלאך,Yaakov and angel,specific biblical person relationship,historical event,,,,יעקב,
יעקב והמקלות,Yaakov and the breeding sticks,biblical historical event,,,,,יעקב,
יעקב ויוסף,,specific biblical person relationship,,,,,יעקב,
יעקב ולבן,,specific biblical person relationship,,,,,יעקב,
יעקב ומצרים,Yaakov in Egypt,biblical historical event,,,,,יעקב,
יעקב ועשו,,specific biblical person relationship,,,,,יעקב,
יעקב ופרעה,,specific biblical person relationship,,,,,יעקב,
יעקב ושכם,,biblical historical event,,,,,יעקב,
יעקב מיתה,death of Yaakov,biblical historical event,,,,,יעקב,
יעקב נדרו,oath of Yaakov,biblical historical event,,,,,יעקב,
יעקב נשיו,,group of people,,,,,יעקב,
יעקב פחדו,fear of Yaakov,theology,,,,,יעקב,
יעקב קבורה,burial of Yaakov,biblical historical event,,,,,יעקב,
יעקב שם,name of Yaakov,quality,,,,,יעקב,
יעקב תורה,Yaakov and Torah,theology,,,,,יעקב,
יעקב תפלה,prayer of Yaakov,theological process,,,,,יעקב,
יעקב,,biblical person,,,,,,
יער,forest/brush,group of plants,,,,,,
יפו,,geographic site,,,,,,
יפת תאר,,halachic role of person,,,,,,
יפת,,biblical person,,,,,,
יפתח,,biblical person,,,,,,
יצא,go out,process,,,,,,
יצב,stand/establish,process,,,,,,
יצחק בארות,Yitzchak wells,biblical historical event,,,,,יצחק,
יצחק ברכת,Yitzchak blessings,biblical historical event,,,,,יצחק,
יצחק ואבימלך,,specific biblical person relationship,,,,,יצחק,
יצחק ויעקב,,specific biblical person relationship,,,,,יצחק,
יצחק וישמעאל,,specific biblical person relationship,,,,,יצחק,
יצחק ועשו,,specific biblical person relationship,,,,,יצחק,
יצחק ורבקה,,specific biblical person relationship,,,,,יצחק,
יצחק זכות,Yitzchak merit,theology,,,,,יצחק,
יצחק נסיון,"Yitzchak test, binding",biblical historical event,,,,,יצחק,
יצחק תפלה,Yitzchak prayer,biblical historical event,theological process,,,,יצחק,
יצחק,,biblical person,,,,,,
יציאה,using the bathroom,process,,,,,,
יציאת מצרים אותות,the exodus signs,biblical historical event,,,,,יציאת מצרים,
יציאת מצרים ארבעה לשונות גאולה,the exodus 4 terms of salvation,theology,,,,,יציאת מצרים,
יציאת מצרים דם פסח,the exodus blood of pesach,biblical historical event,,,,,יציאת מצרים,
יציאת מצרים זכות,the exodus merit to be saved,theology,,,,,יציאת מצרים,
יציאת מצרים זכר,remembrance of the exodus ,halachic process,,,,,יציאת מצרים,
יציאת מצרים פקד יפקד,the exodus assurance,phrase,,,,,יציאת מצרים,
יציאת מצרים שאלת הרכוש,the exodus asking for wealth,biblical historical event,,,,,יציאת מצרים,
יציאת מצרים שפטים,the exodus punishments,biblical historical event,,,,,יציאת מצרים,
יציאת מצרים,the exodus ,biblical historical event,,,,,,
יצירה,formation,process,,,,,,
יצק,pour,process,,,,,,
יצר ברא,formation in creation,theological process,,,,,,
יצר רצון,"""yetzer"" inclination/disposition",spiritual entity,,,disposition,,,
יצר הטוב,good inclination,spiritual entity,,,,,,"might be a spiritual entity insomuch as the mind is a spiritual entity, but possibly more than that"
יצר הרע,evil inclination,spiritual entity,,,,,,"might be a spiritual entity insomuch as the mind is a spiritual entity, but possibly more than that"
יצת,ignite,process,,,,,,
יקד,burn,process,,,,,,
יקהת,obey,process,,תרגום אונקלוס,,,,
יקום איש צרורות,,mishnaic person,,,,,,
יקום פורקן,,source,,,,,,
יקום,wealth,quality,,"רש""י",,,,
יקטן,,biblical person,,,,,,
יקץ,awaken,process,,,,,,
יקר,precious,quality,,,,,,
ירא יראה,fear/awe,emotion,,,,,,
ירבעם בן יואש,,biblical person,,,,,,
ירבעם בן נבט,,biblical person,,,,,,
ירד משה,"Yered, name of Moshe",biblical person,,,,,,
ירד,descend,process,,,,,,
ירדן מעבר ואבני,crossing Jordan river and stones of,biblical historical event,,,,,,
ירדן,,geographic site,,,,,,
ירה,cast,process,,,,,,
ירוק,greenish,color,,,,,,
ירושה,inheritance,halachic process,,,,,,
ירושלים אבלות,mourning Jerusalem,halachic process,,,,,,
ירושלים חורבן,destruction of Jerusalem,biblical historical event,,,,,,
ירושלים לעתיד לבא,future Jerusalem,theology,,,,,,
ירושלים,,geographic site,,,,,,
ירח לבנה,moon,inanimate object,,,,,,
ירח האיתנים,month of the ancients (Tishrei),month,,,,,,
ירח,month,span of time,,,,,,
ירט,twist (to wrong/turn sharply),process,,,,,,
יריחו כבוש,,biblical historical event,,,,,,
יריחו,,geographic site,,,,,,
ירך,side/thigh,body part,,,,,,
ירכתי צפון,,geographic site,,,,,,
ירכתי,far reaches/borders,geographic feature,,,,,,
ירמיה,,biblical person,,,,,,
ירקות,vegetables,group of plants,,,,,,
ירקרק,light/strong green,color,,אבן עזרא,,,,"some say the unusual binyan is adding emphasis, others detracting"
יש אם למקרא,,meta halacha,,,,,,
יש,substance,object,,,,,,
ישב,sit/settle,process,,,,,,
ישבי,,biblical person,,,,,,
ישוב,human settlement,structure,,,,,,
ישועה,salvation,process,,,,,,
ישורון,Yeshurun (name for the Jewish people) ,nation/ethnicity,,,,,,
ישי,,biblical person,,,,,,
ישיבה,sitting/yeshiva,process,,,,,,
ישימון,desolate desert,geographic feature,,,,,,
ישמעאל בן נתניה,,biblical person,,,,,,
ישמעאל בן פיאבי,,mishnaic person,,,,,,
ישמעאל,,biblical person,,,,,,
ישן,sleep,process,,,,,,
ישעיה,,biblical person,,,,,,
ישר,straight/righteous/honest,character trait,,,,,,
ישראל אחדות,unity of Jewish people,quality,,,,,ישראל,
