sefaria_key,bonayich,bonayich_name,comments,Slug
Rabbi Il'ai (I),367,אילעאי [א] (הזקן),,rabbi-ilai-(i)
Akavyah b. Mahalal'el,2462,עקביא בן מהללאל,,akavyah-b-mahalalel
Rabbi Akiva,2465,עקיבא [א] (בן יוסף),,rabbi-akiva
Rabbi Pinehas b. Yair,2508,פנחס בן יאיר,,rabbi-pinchas-b-yair
Rabbi Pinehas b. Hama,2498,פנחס,,rabbi-pinehas-b-hama
Rav Pappa,2518,פפא,,rav-pappa
Rav Pappai,2533,פפי [ב],,rav-pappai
Rabbi Tzadok (II),2547,צדוק [ב],"Sefaria has as T5, which is close enough to A1 aleph, I suppose",rabbi-tzadok-(ii)
Rabbi Tzadok (I),2546,צדוק [א],,rabbi-tzadok-(i)
Rav Ketina,2556,קטינא,,rav-ketina
Karna,2572,קרנא,,karna
Rav,2578,רב,,rav
Rava,2582,רבא [א],,rava
Rabbah b. Avuha,2586,רבה בר אבוה,,rabbah-b-avuha
Rabbah b. b. Hanah,2594,רבה בר בר חנה,,rabbah-bar-bar-chanah
Rabbah b. Hanah,2600,רבה בר חנה,,rabbah-b-hanah
Rabbah b. Nahmani,2581,רבה (בר נחמני),,rabbah-b-nachmani
Rabbah b. Rav Huna,2596,רבה בר רב הונא,,rabbah-b-rav-huna
Rabbah Tosafa'ah,2639,רבא תוספאה,,rabbah-tosafaah
Ravin,139,רבין (אבין [א]),,ravin
Ravina (I),2646,רבינא [א],,
Ravina (II) b. Huna,2647,רבינא [ב],,ravina-b-huna-(ii)
Rahava of Pumbedita,2668,רחבא [א] (דפומבדיתא),,rahava
Rami b. Hama,2681,רמי בר חמא,,rami-b-hama
Rafram (I),2690,רפרם [א],,
Rafram (II),2691,רפרם [ב],,
Rav Shela,2722,שילא [א],,rav-shela
Rav Shesha b. Rav Idi,2744,שישא בריה דרב אידי,,rav-shesha-b-rav-idi
Shammai,2758,שמאי,,shammai
Shmuel,2763,שמואל [ב],,shmuel-(amora)
Rabbi Shmuel b. Yitzhak,2795,שמואל בר רב יצחק,,rabbi-shmuel-b-yitzhak
Rabbi Shmuel b. Nahmani,2800,שמואל בר נחמני,,rabbi-shmuel-b-nahmani
Rabbi Shmuel b. Yose b. Boon,2791,שמואל בריה דרבי יוסי בי רבי בון,,rabbi-shmuel-b-yose-b-boon
Shmuel haKatan,2814,שמואל הקטן,,shmuel-the-little
Rabbi Shimon b. Elazar,2846,שמעון בן אלעזר,,rabbi-shimon-b-elazar
Rabbi Simlai,2824,שמלאי (הדרומי),,rabbi-simlai
Rabbi Shimon b. Abba,2839,שמעון בר אבא,,rabbi-shimon-b-abba
Rabban Shimon b. Gamliel (II),2852,שמעון בן גמליאל [ב],,rabban-shimon-b-gamliel-(ii)
Rabban Shimon b. Gamliel (I),2851,שמעון בן גמליאל [א],,rabban-shimon-b-gamliel-(i)
Shimon b. Zoma,2856,(שמעון) בן זומא,,shimon-b-zoma
Shimon b. Halafta,2861,שמעון בן חלפתא,,shimon-b-chalafta
Rabbi Shimon b. Yehudah,2864,שמעון בן יהודה (איש כפר עכו),,rabbi-shimon-b-yehudah
Rabbi Shimon b. Lakish,2879,שמעון בן לקיש/ ריש לקיש,,rabbi-shimon-b-lakish
Rabbi Shimon b. Menasya,2881,שמעון בן מנסיא,,rabbi-shimon-b-menasya
Rabbi Shimon b. Nannas,2885,(שמעון) בן ננס,,rabbi-shimon-b-nannas
Shimon b. Azzai,2888,(שמעון) בן עזאי,,shimon-b-azzai
