"_id",generated_by,source_text_oid,availableLangs.0.0,availableLangs.0.1,availableLangs.1.0,availableLangs.1.1,refs.0,refs.1,type,auto
5d075db5ecfd7d299fe2df9c,Rosh_on_Nedarim,,he,en,he,,Nedarim 19b:1,Commentary of the Rosh on Nedarim 19b:1,commentary,true
5d075db5ecfd7d299fe2dfaa,Rosh_on_Nedarim,,he,en,he,,Nedarim 19b:6,Commentary of the Rosh on Nedarim 19b:10,commentary,true
5d075db6ecfd7d299fe2dfac,Rosh_on_Nedarim,,he,en,he,,Nedarim 19b:7,Commentary of the Rosh on Nedarim 19b:11,commentary,true
5d075db6ecfd7d299fe2dfae,Rosh_on_Nedarim,,he,en,he,,Nedarim 19b:7,Commentary of the Rosh on Nedarim 19b:12,commentary,true
5d075db6ecfd7d299fe2dfb0,Rosh_on_Nedarim,,he,en,he,,Nedarim 19b:7,Commentary of the Rosh on Nedarim 19b:13,commentary,true
5d075db6ecfd7d299fe2dfb2,Rosh_on_Nedarim,,he,en,he,,Nedarim 19b:9,Commentary of the Rosh on Nedarim 19b:14,commentary,true
5d075db6ecfd7d299fe2dfb4,Rosh_on_Nedarim,,he,en,he,,Nedarim 19b:11,Commentary of the Rosh on Nedarim 19b:15,commentary,true
5d075db6ecfd7d299fe2dfb6,Rosh_on_Nedarim,,he,en,he,,Nedarim 19b:11,Commentary of the Rosh on Nedarim 19b:16,commentary,true
5d075db5ecfd7d299fe2df9e,Rosh_on_Nedarim,,he,en,he,,Nedarim 19b:2,Commentary of the Rosh on Nedarim 19b:3,commentary,true
5d075db5ecfd7d299fe2dfa0,Rosh_on_Nedarim,,he,en,he,,Nedarim 19b:3,Commentary of the Rosh on Nedarim 19b:4,commentary,true
5d075db5ecfd7d299fe2dfa2,Rosh_on_Nedarim,,he,en,he,,Nedarim 19b:4,Commentary of the Rosh on Nedarim 19b:5,commentary,true
5d075db5ecfd7d299fe2dfa4,Rosh_on_Nedarim,,he,en,he,,Nedarim 19b:5,Commentary of the Rosh on Nedarim 19b:7,commentary,true
5d075db5ecfd7d299fe2dfa6,Rosh_on_Nedarim,,he,en,he,,Nedarim 19b:6,Commentary of the Rosh on Nedarim 19b:8,commentary,true
5d075db5ecfd7d299fe2dfa8,Rosh_on_Nedarim,,he,en,he,,Nedarim 19b:6,Commentary of the Rosh on Nedarim 19b:9,commentary,true
5d00f692ecfd7d299fe2cfbf,add_links_from_text,5d00f68decfd7d299fe2c8c3,he,,he,en,Commentary of the Rosh on Nedarim 20a:1,Ecclesiastes 7,,true
5d075db6ecfd7d299fe2dfb8,Rosh_on_Nedarim,,he,en,he,,Nedarim 20a:1,Commentary of the Rosh on Nedarim 20a:1,commentary,true
5d075db6ecfd7d299fe2dfc8,Rosh_on_Nedarim,,he,en,he,,Nedarim 20a:10,Commentary of the Rosh on Nedarim 20a:11,commentary,true
5d075db6ecfd7d299fe2dfca,Rosh_on_Nedarim,,he,en,he,,Nedarim 20a:12,Commentary of the Rosh on Nedarim 20a:13,commentary,true
5d075db6ecfd7d299fe2dfcc,Rosh_on_Nedarim,,he,en,he,,Nedarim 20a:13,Commentary of the Rosh on Nedarim 20a:14,commentary,true
5d075db6ecfd7d299fe2dfba,Rosh_on_Nedarim,,he,en,he,,Nedarim 20a:2,Commentary of the Rosh on Nedarim 20a:2,commentary,true
5d075db6ecfd7d299fe2dfbc,Rosh_on_Nedarim,,he,en,he,,Nedarim 20a:3,Commentary of the Rosh on Nedarim 20a:3,commentary,true
5d075db6ecfd7d299fe2dfbe,Rosh_on_Nedarim,,he,en,he,,Nedarim 20a:4,Commentary of the Rosh on Nedarim 20a:4,commentary,true
5d075db6ecfd7d299fe2dfc0,Rosh_on_Nedarim,,he,en,he,,Nedarim 20a:6,Commentary of the Rosh on Nedarim 20a:5,commentary,true
5d075db6ecfd7d299fe2dfc2,Rosh_on_Nedarim,,he,en,he,,Nedarim 20a:6,Commentary of the Rosh on Nedarim 20a:7,commentary,true
5d075db6ecfd7d299fe2dfc4,Rosh_on_Nedarim,,he,en,he,,Nedarim 20a:7,Commentary of the Rosh on Nedarim 20a:8,commentary,true
5d075db6ecfd7d299fe2dfc6,Rosh_on_Nedarim,,he,en,he,,Nedarim 20a:7-8,Commentary of the Rosh on Nedarim 20a:9,commentary,true
5d075db6ecfd7d299fe2dfce,Rosh_on_Nedarim,,he,en,he,,Nedarim 20b:1,Commentary of the Rosh on Nedarim 20b:1,commentary,true
5d075db6ecfd7d299fe2dfde,Rosh_on_Nedarim,,he,en,he,,Nedarim 20b:9,Commentary of the Rosh on Nedarim 20b:10,commentary,true
5d075db6ecfd7d299fe2dfe0,Rosh_on_Nedarim,,he,en,he,,Nedarim 20b:9,Commentary of the Rosh on Nedarim 20b:11,commentary,true
5d075db6ecfd7d299fe2dfe2,Rosh_on_Nedarim,,he,en,he,,Nedarim 20b:9,Commentary of the Rosh on Nedarim 20b:12,commentary,true
5d075db7ecfd7d299fe2dfe4,Rosh_on_Nedarim,,he,en,he,,Nedarim 20b:9,Commentary of the Rosh on Nedarim 20b:13,commentary,true
5d075db7ecfd7d299fe2dfe6,Rosh_on_Nedarim,,he,en,he,,Nedarim 20b:9,Commentary of the Rosh on Nedarim 20b:14,commentary,true
5d075db7ecfd7d299fe2dfe8,Rosh_on_Nedarim,,he,en,he,,Nedarim 20b:9,Commentary of the Rosh on Nedarim 20b:15,commentary,true
5d075db7ecfd7d299fe2dfea,Rosh_on_Nedarim,,he,en,he,,Nedarim 20b:9,Commentary of the Rosh on Nedarim 20b:16,commentary,true
5d075db7ecfd7d299fe2dfec,Rosh_on_Nedarim,,he,en,he,,Nedarim 20b:9,Commentary of the Rosh on Nedarim 20b:17,commentary,true
5d075db7ecfd7d299fe2dfee,Rosh_on_Nedarim,,he,en,he,,Nedarim 20b:12,Commentary of the Rosh on Nedarim 20b:18,commentary,true
