book type,tractate,chapter,halakha,image start,image end,manuscript,im run,file name,library,description,extended description,manuscript id,library id
תוספתא,ברכות,ד,יז,ברכות ד:יז,ברכות ה:ב ,Or. fol. 1220,11,..\MnuImages\N1484\w\0010.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,יח,ברכות ד:יז,ברכות ה:ב ,Or. fol. 1220,11,..\MnuImages\N1484\w\0010.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,יט,ברכות ד:יז,ברכות ה:ב ,Or. fol. 1220,11,..\MnuImages\N1484\w\0010.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,כ,ברכות ד:יז,ברכות ה:ב ,Or. fol. 1220,11,..\MnuImages\N1484\w\0010.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,כא,ברכות ד:יז,ברכות ה:ב ,Or. fol. 1220,11,..\MnuImages\N1484\w\0010.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,א,ברכות ד:יז,ברכות ה:ב ,Or. fol. 1220,11,..\MnuImages\N1484\w\0010.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,ב,ברכות ד:יז,ברכות ה:ב ,Or. fol. 1220,11,..\MnuImages\N1484\w\0010.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,ב,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,ג,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,ד,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,ה,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,ו,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,ז,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,ח,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,ט,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,י,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
