chinukh,smk,rambam,smg,mishneh,shulchanArukh
184,[],"[u'Negative Commandments', 68]","[u'Negative Commandments', 303]","[u'Mishneh Torah, Admission into the Sanctuary 2:1-4']",[]
185,[],"[u'Positive Commandments', 49]","[u'Positive Commandments', 209]","[u'Mishneh Torah, Service on the Day of Atonement']",[]
186,[],"[u'Negative Commandments', 90]","[u'Negative Commandments', 333]","[u'Mishneh Torah, Sacrificial Procedure 18']",[]
187,[156],"[u'Positive Commandments', 147]","[u'Positive Commandments', 64]","[u'Mishneh Torah, Ritual Slaughter 14']","[u""Shulchan Arukh, Yoreh De'ah 28""]"
188,[],"[u'Negative Commandments', 353]","[u'Negative Commandments', 126]","[u'Mishneh Torah, Forbidden Intercourse 21']","[u'Shulchan Arukh, Even HaEzer']"
189,[],"[u'Negative Commandments', 351]","[u'Negative Commandments', 89]",[],[]
190,[313],"[u'Negative Commandments', 330]","[u'Negative Commandments', 92]","[u'Mishneh Torah, Forbidden Intercourse 2:1-2']","[u'Shulchan Arukh, Even HaEzer 15']"
191,[],"[u'Negative Commandments', 331]","[u'Negative Commandments', 91]","[u'Mishneh Torah, Forbidden Intercourse 2:1']","[u'Shulchan Arukh, Even HaEzer 15']"
192,[199],"[u'Negative Commandments', 332]","[u'Negative Commandments', 104]","[u'Mishneh Torah, Forbidden Intercourse 2:3']","[u'Shulchan Arukh, Even HaEzer 15']"
193,[309],"[u'Negative Commandments', 334]","[u'Negative Commandments', 98]","[u'Mishneh Torah, Forbidden Intercourse 2:7']","[u'Shulchan Arukh, Even HaEzer 15']"
194,[310],"[u'Negative Commandments', 334, 335]","[u'Negative Commandments', 99]","[u'Mishneh Torah, Forbidden Intercourse 2:7']","[u'Shulchan Arukh, Even HaEzer 15']"
195,[308],"[u'Negative Commandments', 336]","[u'Negative Commandments', 100]","[u'Mishneh Torah, Forbidden Intercourse 2:6']","[u'Shulchan Arukh, Even HaEzer 15']"
196,[],"[u'Negative Commandments', 333]","[u'Negative Commandments', 104]","[u'Mishneh Torah, Forbidden Intercourse 2:3']","[u'Shulchan Arukh, Even HaEzer 15']"
197,[300],"[u'Negative Commandments', 340]","[u'Negative Commandments', 106]",,"[u'Shulchan Arukh, Even HaEzer 15']"
198,[300],"[u'Negative Commandments', 341]","[u'Negative Commandments', 107]",,"[u'Shulchan Arukh, Even HaEzer 15']"
199,[],"[u'Negative Commandments', 352]","[u'Negative Commandments', 90]","[u'Mishneh Torah, Forbidden Intercourse 2:2']","[u'Shulchan Arukh, Even HaEzer 15']"
200,[303],"[u'Negative Commandments', 342]","[u'Negative Commandments', 110]","[u'Mishneh Torah, Forbidden Intercourse 2:2']","[u'Shulchan Arukh, Even HaEzer 15']"
201,[314],"[u'Negative Commandments', 343]","[u'Negative Commandments', 93]",,"[u'Shulchan Arukh, Even HaEzer 15']"
202,[302],"[u'Negative Commandments', 344]","[u'Negative Commandments', 109]","[u'Mishneh Torah, Forbidden Intercourse 2:1']","[u'Shulchan Arukh, Even HaEzer 15']"
203,[305],"[u'Negative Commandments', 337]","[u'Negative Commandments', 101]","[u'Mishneh Torah, Forbidden Intercourse 2:7']","[u'Shulchan Arukh, Even HaEzer 15']"
204,[306],"[u'Negative Commandments', 338]","[u'Negative Commandments', 102]","[u'Mishneh Torah, Forbidden Intercourse 2:7']","[u'Shulchan Arukh, Even HaEzer 15']"
205,[307],"[u'Negative Commandments', 339]","[u'Negative Commandments', 103]","[u'Mishneh Torah, Forbidden Intercourse 1']","[u'Shulchan Arukh, Even HaEzer 15']"
206,[301],"[u'Negative Commandments', 345]","[u'Negative Commandments', 108]","[[u'Mishneh Torah, Forbidden Intercourse 2:9'], [u'Mishneh Torah, Marriage']]","[u'Shulchan Arukh, Even HaEzer 15']"
207,"[287, 288, 200]","[u'Negative Commandments', 346]","[u'Negative Commandments', 111]","[u'Mishneh Torah, Forbidden Intercourse 4-11']","[u""Shulchan Arukh, Yoreh De'ah 183-200""]"
208,[64],"[u'Negative Commandments', 7]","[u'Negative Commandments', 40]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 6:3-5']",[]
209,[],"[u'Negative Commandments', 350]","[u'Negative Commandments', 94]","[u'Mishneh Torah, Forbidden Intercourse 1:11-15']","[u'Shulchan Arukh, Even HaEzer 24']"
210,[],"[u'Negative Commandments', 348]","[u'Negative Commandments', 95]","[u'Mishneh Torah, Forbidden Intercourse 1:16-18']","[u'Shulchan Arukh, Even HaEzer 24']"
211,[],"[u'Negative Commandments', 349]","[u'Negative Commandments', 96]","[u'Mishneh Torah, Forbidden Intercourse 1:16-18']","[u'Shulchan Arukh, Even HaEzer 24']"
212,[7],"[u'Positive Commandments', 211]","[u'Positive Commandments', 113]","[u'Mishneh Torah, Rebels 6']","[u""Shulchan Arukh, Yoreh De'ah 240""]"
213,[],"[u'Negative Commandments', 10]","[u'Negative Commandments', 14]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 2:3']",[]
214,[161],"[u'Negative Commandments', 3]","[u'Negative Commandments', 21]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 3:9-11']","[u""Shulchan Arukh, Yoreh De'ah 141""]"
215,[],"[u'Negative Commandments', 131]","[u'Negative Commandments', 336]","[u'Mishneh Torah, Sacrifices Rendered Unfit 18']",[]
216,[],"[u'Positive Commandments', 120]","[u'Positive Commandments', 56]","[u'Mishneh Torah, Gifts to the Poor 1-3']","[u""Shulchan Arukh, Yoreh De'ah 332""]"
217,[],"[u'Negative Commandments', 210]","[u'Negative Commandments', 284]","[u'Mishneh Torah, Gifts to the Poor 1:3']","[u""Shulchan Arukh, Yoreh De'ah 332""]"
218,[],"[u'Positive Commandments', 121]","[u'Positive Commandments', 157]","[u'Mishneh Torah, Gifts to the Poor 1']","[u""Shulchan Arukh, Yoreh De'ah 332""]"
219,[],"[u'Negative Commandments', 211]","[u'Negative Commandments', 285]","[u'Mishneh Torah, Gifts to the Poor 1']","[u""Shulchan Arukh, Yoreh De'ah 332""]"
220,[],"[u'Positive Commandments', 123]","[u'Positive Commandments', 159]","[u'Mishneh Torah, Gifts to the Poor 1:17-27']","[u""Shulchan Arukh, Yoreh De'ah 332""]"
221,[],"[u'Negative Commandments', 212]","[u'Negative Commandments', 287]","[u'Mishneh Torah, Gifts to the Poor 1:17-27']","[u""Shulchan Arukh, Yoreh De'ah 332""]"
222,[],"[u'Positive Commandments', 124]","[u'Positive Commandments', 160]","[u'Mishneh Torah, Gifts to the Poor 1']","[u""Shulchan Arukh, Yoreh De'ah 332""]"
223,[],"[u'Negative Commandments', 213, u'Positive Commandments', 124]","[u'Negative Commandments', 287]","[u'Mishneh Torah, Gifts to the Poor 1:15-16']","[u""Shulchan Arukh, Yoreh De'ah 332""]"
224,[261],"[u'Negative Commandments', 244]","[u'Negative Commandments', 155]","[u'Mishneh Torah, Theft 1-6']","[u'Shulchan Arukh, Choshen Mishpat 348']"
225,[],"[u'Negative Commandments', 248]","[u'Negative Commandments', 240]","[u'Mishneh Torah, Oaths 1']","[u'Shulchan Arukh, Choshen Mishpat 294']"
226,[],"[u'Negative Commandments', 249]","[u'Negative Commandments', 241]","[u'Mishneh Torah, Oaths 7-8']","[u'Shulchan Arukh, Choshen Mishpat 294']"
227,[128],"[u'Negative Commandments', 61]","[u'Negative Commandments', 239]","[u'Mishneh Torah, Oaths 1-6']","[u""Shulchan Arukh, Yoreh De'ah 236""]"
228,[],"[u'Negative Commandments', 247]","[[u'Negative Commandments', 156], []]","[u'Mishneh Torah, Robbery and Lost Property 1:4']","[u'Shulchan Arukh, Choshen Mishpat 359']"
229,[270],"[u'Negative Commandments', 245]","[u'Negative Commandments', 157]","[u'Mishneh Torah, Robbery and Lost Property 1']","[u'Shulchan Arukh, Choshen Mishpat 359']"
230,[260],"[u'Negative Commandments', 238]","[u'Negative Commandments', 181]","[u'Mishneh Torah, Hiring 11']","[u'Shulchan Arukh, Choshen Mishpat 339']"
231,[123],"[u'Negative Commandments', 317]","[[u'Negative Commandments', 211], []]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 26']","[u'Shulchan Arukh, Choshen Mishpat 27']"
232,[171],"[u'Negative Commandments', 299]","[u'Negative Commandments', 168]","[u'Mishneh Torah, Murderer and the Preservation of Life 12:12-14']","[u""Shulchan Arukh, Yoreh De'ah 151""]"
233,[231],"[u'Negative Commandments', 273]","[u'Negative Commandments', 205]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 20']","[u'Shulchan Arukh, Choshen Mishpat 17']"
234,[228],[u'Negative Commandments'],"[u'Negative Commandments', 204]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 21']","[u'Shulchan Arukh, Choshen Mishpat 17']"
235,[224],"[u'Positive Commandments', 177]","[u'Positive Commandments', 106]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 21']","[u'Shulchan Arukh, Choshen Mishpat 17']"
236,[124],"[u'Negative Commandments', 301]","[u'Negative Commandments', 9]","[u'Mishneh Torah, Human Dispositions 7:1-6']",[]
237,[78],"[u'Negative Commandments', 297]","[u'Negative Commandments', 165]","[u'Mishneh Torah, Murderer and the Preservation of Life 1:14']","[u'Shulchan Arukh, Choshen Mishpat 426']"
238,[17],"[u'Negative Commandments', 302]","[u'Negative Commandments', 5]","[u'Mishneh Torah, Human Dispositions 6:5']",[]
239,[112],"[u'Positive Commandments', 205]","[u'Positive Commandments', 11]","[u'Mishneh Torah, Human Dispositions 6:6-9']",[]
240,[126],"[u'Negative Commandments', 303]","[u'Negative Commandments', 6]","[u'Mishneh Torah, One Who Injures a Person or Property 3']",[]
241,[130],"[u'Negative Commandments', 304]","[u'Negative Commandments', 11]","[u'Mishneh Torah, Human Dispositions 7:7']",[]
242,[131],"[u'Negative Commandments', 305]","[u'Negative Commandments', 12]","[u'Mishneh Torah, Human Dispositions 7:8']",[]
243,[8],"[u'Positive Commandments', 206]","[u'Positive Commandments', 9]","[u'Mishneh Torah, Human Dispositions 6:3']",[]
244,[165],"[u'Negative Commandments', 217]","[u'Negative Commandments', 281]","[u'Mishneh Torah, Diverse Species 9:1-6']","[u""Shulchan Arukh, Yoreh De'ah 297""]"
245,[],[],"[u'Negative Commandments', 279]",[],"[u""Shulchan Arukh, Yoreh De'ah""]"
246,[215],"[u'Negative Commandments', 192]","[u'Negative Commandments', 146]",[],"[u""Shulchan Arukh, Yoreh De'ah""]"
247,[249],"[u'Positive Commandments', 119]","[u'Positive Commandments', 137]","[u""Mishneh Torah, Second Tithes and Fourth Year's Fruit 9""]","[u""Shulchan Arukh, Yoreh De'ah""]"
248,[218],"[u'Negative Commandments', 195]","[u'Negative Commandments', 220]","[u'Mishneh Torah, Rebels 7']",[]
249,[137],"[u'Negative Commandments', 33]","[u'Negative Commandments', 51]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 11:4-5']","[u""Shulchan Arukh, Yoreh De'ah 179""]"
250,[136],"[u'Negative Commandments', 32]","[u'Negative Commandments', 53]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 11:8-9']",
251,[71],"[u'Negative Commandments', 43]","[u'Negative Commandments', 57]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 12:1-6']","[u""Shulchan Arukh, Yoreh De'ah 181""]"
252,[70],"[u'Negative Commandments', 44]","[u'Negative Commandments', 58]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 12:7-8']","[u""Shulchan Arukh, Yoreh De'ah 181""]"
253,[72],"[u'Negative Commandments', 41]","[u'Negative Commandments', 61]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 12:11']","[u""Shulchan Arukh, Yoreh De'ah 180""]"
254,[6],"[u'Positive Commandments', 21]","[u'Positive Commandments', 164]","[u'Mishneh Torah, The Chosen Temple 7:1-10']","[[u'Shulchan Arukh, Orach Chayim 151'], [u""Shulchan Arukh, Yoreh De'ah 151""]]"
255,[139],"[u'Negative Commandments', 36]","[u'Negative Commandments', 31]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 6:1']","[u""Shulchan Arukh, Yoreh De'ah 179""]"
256,[140],"[u'Negative Commandments', 9]","[u'Negative Commandments', 37]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 6:1-2']","[u""Shulchan Arukh, Yoreh De'ah 179""]"
257,[],"[u'Positive Commandments', 209]","[u'Positive Commandments', 13]","[u'Mishneh Torah, Torah Study 5-6']","[u""Shulchan Arukh, Yoreh De'ah 240-244""]"
258,[263],"[u'Negative Commandments', 271]","[u'Negative Commandments', 151]","[u'Mishneh Torah, Theft 7-8']","[u'Shulchan Arukh, Choshen Mishpat 231']"
259,[263],"[u'Positive Commandments', 208]","[u'Positive Commandments', 72]","[u'Mishneh Torah, Theft 8']","[u'Shulchan Arukh, Choshen Mishpat 231']"
260,[],"[u'Negative Commandments', 318]","[u'Negative Commandments', 218]","[u'Mishneh Torah, Rebels 5']","[u""Shulchan Arukh, Yoreh De'ah 241""]"
261,[],"[u'Positive Commandments', 228]","[u'Positive Commandments', 105]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 15:3']",[]
262,[],"[u'Negative Commandments', 30]","[u'Negative Commandments', 50]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 11:1-3']","[u""Shulchan Arukh, Yoreh De'ah 178""]"
263,[89],"[u'Negative Commandments', 166]","[u'Negative Commandments', 234]","[u'Mishneh Torah, Mourning 3']","[u""Shulchan Arukh, Yoreh De'ah 369""]"
264,[59],"[u'Positive Commandments', 37]","[u'Positive Commandments', 58]","[u'Mishneh Torah, Mourning 1-2']","[u""Shulchan Arukh, Yoreh De'ah 373""]"
265,[],"[u'Negative Commandments', 76]","[u'Negative Commandments', 306]","[u'Mishneh Torah, Admission into the Sanctuary 4:4']",[]
266,[190],"[u'Negative Commandments', 158]","[u'Negative Commandments', 121]","[u'Mishneh Torah, Forbidden Intercourse']","[u'Shulchan Arukh, Even HaEzer 6']"
267,[191],"[u'Negative Commandments', 159]","[u'Negative Commandments', 122]","[u'Mishneh Torah, Forbidden Intercourse 19']","[u'Shulchan Arukh, Even HaEzer 6']"
268,[191],"[u'Negative Commandments', 160]","[u'Negative Commandments', 123]","[u'Mishneh Torah, Forbidden Intercourse 17']","[u'Shulchan Arukh, Even HaEzer 6']"
269,[],"[u'Positive Commandments', 32]","[u'Positive Commandments', 171]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 4']","[u'Shulchan Arukh, Orach Chayim 135']"
270,[89],"[u'Negative Commandments', 167]","[u'Negative Commandments', 237]","[u'Mishneh Torah, Mourning 3:10']","[u""Shulchan Arukh, Yoreh De'ah 371""]"
