chinukh,smk,rambam,smg,mishneh,shulchanArukh,pasuk
123,[]," מצוות עשה ע""ב"," עשין רט""ז","רמב""ם הלכות שגגות פרק י' ופרק יא'",[],"ויקרא ה, ז."
123,[],"[u'Positive Commandments', 72]","[u'Positive Commandments', 216]","[u'Mishneh Torah, Offerings for Unintentional Transgressions 10']",[],[u'Leviticus 5:7']
124,[]," לא תעשה קי""ב"," לאוין שכ""ז","רמב""ם הלכות מעשה הקרבנות פרק ז' הלכות ו-ט",[],"ויקרא ה, ח."
124,[],"[u'Negative Commandments', 112]","[u'Negative Commandments', 327]","[u'Mishneh Torah, Sacrificial Procedure 7:6-9']",[],[u'Leviticus 5:8']
125,[]," לא תעשה ק""ב"," לאוין שכ""ח","רמב""ם הלכות מעשה הקרבנות פרק י""ב הלכות ז-ח",[],"ויקרא ה, ו."
125,[],"[u'Negative Commandments', 102]","[u'Negative Commandments', 328]","[u'Mishneh Torah, Sacrificial Procedure 12:7-8']",[],[u'Leviticus 5:6']
126,[]," לא תעשה ק""ג"," לאוין שכ""ט","רמב""ם הלכות מעשה הקרבנות פרק י""ב",[],"ויקרא ה, יא."
126,[],"[u'Negative Commandments', 103]","[u'Negative Commandments', 329]","[u'Mishneh Torah, Sacrificial Procedure 12']",[],[u'Leviticus 5:11']
127,[]," מצוות עשה קי""ח"," עשין ר""י","רמב""ם הלכות מעילה פרק א' ופרק ה'",[],"ויקרא ה, טז."
127,[],"[u'Positive Commandments', 118]","[u'Positive Commandments', 210]","[u'Mishneh Torah, Trespass 1']",[],[u'Leviticus 5:16']
128,[]," מצוות עשה ע""א"," עשין רט""ו","רמב""ם הלכות שגגות פרק ח'",[],"ויקרא ה, יז-יח."
128,[],"[u'Positive Commandments', 71]","[u'Positive Commandments', 215]","[u'Mishneh Torah, Offerings for Unintentional Transgressions 8']",[],[u'Leviticus 5:17-18']
129,[]," מצוות עשה ע""א"," עשין רס""ו",[],[],"ויקרא ה, כה."
129,[],"[u'Positive Commandments', 71]","[u'Positive Commandments', 266]",[],[],[u'Leviticus 5:25']
130," סימן רמ""ו."," מצוות עשה קצ""ד"," עשין ע""ג","רמב""ם הלכות גזלה ואבדה פרקים א'-ח'"," חושן משפט סימנים ש""ס, שס""ו, שס""ז וע""ש דין גוזל לרבים","ויקרא ה, כג."
130,[246],"[u'Positive Commandments', 194]","[u'Positive Commandments', 73]","[u'Mishneh Torah, Robbery and Lost Property 1-8']","[u'Shulchan Arukh, Choshen Mishpat 360']",[u'Leviticus 5:23']
131,[], מצוות עשה ל'," עשין קצ""ב","רמב""ם הלכות תמידין ומוספין פרק ב' הלכות י'-טו'",[],"ויקרא ו, ג."
