Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments	Talmud	Rambam	SMG	ShuA	Tur
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
3a:36		נזקי ממון	2.2	עשין	67	ח"מ	389.1	ח"מ	389	http://www.sefaria.org/Bava_Kamma.3a:36	sefaria.org/Mishneh_Torah,_Damages_to_Property.2.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.1	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.3a:36	Mishneh_Torah,_Damages_to_Property.2.2	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.389.1	Tur,_Choshen_Mishpat.389
3a:40		נזקי ממון	1.10			ח"מ	389.1	ח"מ	389	http://www.sefaria.org/Bava_Kamma.3a:40	sefaria.org/Mishneh_Torah,_Damages_to_Property.1.10		sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.1	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.3a:40	Mishneh_Torah,_Damages_to_Property.1.10		Shulchan_Arukh,_Choshen_Mishpat.389.1	Tur,_Choshen_Mishpat.389
3a:40						ח"מ	389.18	ח"מ	389	http://www.sefaria.org/Bava_Kamma.3a:40			sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.18	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.3a:40			Shulchan_Arukh,_Choshen_Mishpat.389.18	Tur,_Choshen_Mishpat.389
3a:45		נזקי ממון	12.10	עשין	68	ח"מ	410.10	ח"מ	410	http://www.sefaria.org/Bava_Kamma.3a:45	sefaria.org/Mishneh_Torah,_Damages_to_Property.12.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.68	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.410.10	sefaria.org/Tur,_Choshen_Mishpat.410		Bava_Kamma.3a:45	Mishneh_Torah,_Damages_to_Property.12.10	Sefer_Mitzvot_Gadol,_Volume_Two.68	Shulchan_Arukh,_Choshen_Mishpat.410.10	Tur,_Choshen_Mishpat.410
3a:47		נזקי ממון	13:2	עשין	68	ח"מ	411.1	ח"מ	411	http://www.sefaria.org/Bava_Kamma.3a:47	sefaria.org/Mishneh_Torah,_Damages_to_Property.13:2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.68	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.411.1	sefaria.org/Tur,_Choshen_Mishpat.411		Bava_Kamma.3a:47	Mishneh_Torah,_Damages_to_Property.13:2	Sefer_Mitzvot_Gadol,_Volume_Two.68	Shulchan_Arukh,_Choshen_Mishpat.411.1	Tur,_Choshen_Mishpat.411
3a:47		נזקי ממון	13:3						0	http://www.sefaria.org/Bava_Kamma.3a:47	sefaria.org/Mishneh_Torah,_Damages_to_Property.13:3					Bava_Kamma.3a:47	Mishneh_Torah,_Damages_to_Property.13:3			
3b:7		נזקי ממון	13.2	עשין	68	ח"מ	410.1	ח"מ	410	http://www.sefaria.org/Bava_Kamma.3b:7	sefaria.org/Mishneh_Torah,_Damages_to_Property.13.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.68	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.410.1	sefaria.org/Tur,_Choshen_Mishpat.410		Bava_Kamma.3b:7	Mishneh_Torah,_Damages_to_Property.13.2	Sefer_Mitzvot_Gadol,_Volume_Two.68	Shulchan_Arukh,_Choshen_Mishpat.410.1	Tur,_Choshen_Mishpat.410
3b:7						ח"מ	411.1	ח"מ	411	http://www.sefaria.org/Bava_Kamma.3b:7			sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.411.1	sefaria.org/Tur,_Choshen_Mishpat.411		Bava_Kamma.3b:7			Shulchan_Arukh,_Choshen_Mishpat.411.1	Tur,_Choshen_Mishpat.411
3b:13		חובל ומזיק	1.11	עשין	70	ח"מ	421.3	ח"מ	421	http://www.sefaria.org/Bava_Kamma.3b:13	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.11	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.421.3	sefaria.org/Tur,_Choshen_Mishpat.421		Bava_Kamma.3b:13	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.1.11	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.421.3	Tur,_Choshen_Mishpat.421
3b:16		חובל ומזיק	6.10	עשין	70	ח"מ	384.1	ח"מ	384	http://www.sefaria.org/Bava_Kamma.3b:16	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.6.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.384.1	sefaria.org/Tur,_Choshen_Mishpat.384		Bava_Kamma.3b:16	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.6.10	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.384.1	Tur,_Choshen_Mishpat.384
