Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	siman.seif	siman.seif						comments
16b:4				עשין	42			א"ח	585	Rosh_Hashanah.16b:4		Sefer_Mitzvot_Gadol,_Volume_Two.42		Tur,_Orach_Chaim.585	
16b:18		תשובה	2.4	עשין	16	י"ד	247.4	י"ד	247	Rosh_Hashanah.16b:18	Mishneh_Torah,_Repentance.2.4	Sefer_Mitzvot_Gadol,_Volume_Two.16	Shulchan_Arukh,_Yoreh_De'ah.247.4	Tur,_Yoreh_Deah.247	
16b:18		תשובה	2.4	עשין	16	י"ד	335.10	י"ד	335	Rosh_Hashanah.16b:18	Mishneh_Torah,_Repentance.2.4	Sefer_Mitzvot_Gadol,_Volume_Two.16	Shulchan_Arukh,_Yoreh_De'ah.335.10	Tur,_Yoreh_Deah.335	
16b:24		תלמוד תורה	5.7						0	Rosh_Hashanah.16b:24	Mishneh_Torah,_Torah_Study.5.7				
16b:26		טומאת אוכלים	16.10	עשין	247				0	Rosh_Hashanah.16b:26	Mishneh_Torah,_Defilement_of_Foods.16.10	Sefer_Mitzvot_Gadol,_Volume_Two.247			
16b:28		טומאת אוכלים	16.9	עשין	248				0	Rosh_Hashanah.16b:28	Mishneh_Torah,_Defilement_of_Foods.16.9	Sefer_Mitzvot_Gadol,_Volume_Two.248			
16b:33-35		תשובה	3.3	עשין	47				0	Rosh_Hashanah.16b:33-35	Mishneh_Torah,_Repentance.3.3	Sefer_Mitzvot_Gadol,_Volume_Two.47			
16b:41-43		תשובה	3.5						0	Rosh_Hashanah.16b:41-43	Mishneh_Torah,_Repentance.3.5				
17a:6		תשובה	3.6						0	Rosh_Hashanah.17a:6	Mishneh_Torah,_Repentance.3.6				
17a:20		תשובה	3.5						0	Rosh_Hashanah.17a:20	Mishneh_Torah,_Repentance.3.5				
17a:33		סנהדרין והעונשין המסורין להם	25.1	לאוין	208	ח"מ	8.4	ח"מ	8	Rosh_Hashanah.17a:33	Mishneh_Torah,_The_Sanhedrin_and_the_Penalties_within_their_Jurisdiction.25.1	Sefer_Mitzvot_Gadol,_Volume_One.208	Shulchan_Arukh,_Choshen_Mishpat.8.4	Tur,_Choshen_Mishpat.8	
17b:26		תשובה	2.6	עשין	17				0	Rosh_Hashanah.17b:26	Mishneh_Torah,_Repentance.2.6	Sefer_Mitzvot_Gadol,_Volume_Two.17			
18a:40		תשובה	2.6	עשין	16				0	Rosh_Hashanah.18a:40	Mishneh_Torah,_Repentance.2.6	Sefer_Mitzvot_Gadol,_Volume_Two.16			
18a:62-64		קידוש החודש	3.9						0	Rosh_Hashanah.18a:62-64	Mishneh_Torah,_Sanctification_of_the_New_Month.3.9				
18b:11		תעניות	5.3	עשין דרבנן ג	1			א"ח	549	Rosh_Hashanah.18b:11	Mishneh_Torah,_Fasts.5.3	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Tisha_B'Av.1		Tur,_Orach_Chaim.549	
