Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
8b.3		חגיגה	2.10						0	http://www.sefaria.org/Chagigah.8b.3	sefaria.org/Mishneh_Torah,_Festival_Offering.2.10					Chagigah.8b.3	Mishneh_Torah,_Festival_Offering.2.10			
8b.7		שביתת יום טוב	7.16	לאוין	75	א"ח	546.1	א"ח	546	http://www.sefaria.org/Chagigah.8b.7	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.7.16	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75	sefaria.org/Shulchan_Arukh,_Orach_Chayim.546.1	sefaria.org/Tur,_Orach_Chaim.546		Chagigah.8b.7	Mishneh_Torah,_Rest_on_a_Holiday.7.16	Sefer_Mitzvot_Gadol,_Volume_One.75	Shulchan_Arukh,_Orach_Chayim.546.1	Tur,_Orach_Chaim.546
8b.7						א"ח	546.2			http://www.sefaria.org/Chagigah.8b.7						Chagigah.8b.7			Shulchan_Arukh,_Orach_Chayim.546.2	
8b.7		אישות	10.14			אה"ע	64.6	אה"ע	64	http://www.sefaria.org/Chagigah.8b.7	sefaria.org/Mishneh_Torah,_Marriage.10.14		sefaria.org/Shulchan_Arukh,_Even_HaEzer.64.6	sefaria.org/Tur,_Even_HaEzer.64		Chagigah.8b.7	Mishneh_Torah,_Marriage.10.14		Shulchan_Arukh,_Even_HaEzer.64.6	Tur,_Even_HaEzer.64
8b.8		חגיגה	1.2						0	http://www.sefaria.org/Chagigah.8b.8	sefaria.org/Mishneh_Torah,_Festival_Offering.1.2					Chagigah.8b.8	Mishneh_Torah,_Festival_Offering.1.2			
8b.27		חגיגה	2.8							http://www.sefaria.org/Chagigah.8b.27	sefaria.org/Mishneh_Torah,_Festival_Offering.2.8					Chagigah.8b.27	Mishneh_Torah,_Festival_Offering.2.8			
8b.31		חגיגה	2.7						0	http://www.sefaria.org/Chagigah.8b.31	sefaria.org/Mishneh_Torah,_Festival_Offering.2.7					Chagigah.8b.31	Mishneh_Torah,_Festival_Offering.2.7			
8b.36		חגיגה	2.7						0	http://www.sefaria.org/Chagigah.8b.31	sefaria.org/Mishneh_Torah,_Festival_Offering.2.7					Chagigah.8b.36	Mishneh_Torah,_Festival_Offering.2.7			
9a.5		חגיגה	1.7						0	http://www.sefaria.org/Chagigah.9a.5	sefaria.org/Mishneh_Torah,_Festival_Offering.1.7					Chagigah.9a.5	Mishneh_Torah,_Festival_Offering.1.7			
9a.6		חגיגה	1.6						0	http://www.sefaria.org/Chagigah.9a.6	sefaria.org/Mishneh_Torah,_Festival_Offering.1.6					Chagigah.9a.6	Mishneh_Torah,_Festival_Offering.1.6			
9a.23		חגיגה	1.7						0	http://www.sefaria.org/Chagigah.9a.23	sefaria.org/Mishneh_Torah,_Festival_Offering.1.7					Chagigah.9a.23	Mishneh_Torah,_Festival_Offering.1.7			
9a.29		חגיגה	1.4						0	http://www.sefaria.org/Chagigah.9a.29	sefaria.org/Mishneh_Torah,_Festival_Offering.1.4					Chagigah.9a.29	Mishneh_Torah,_Festival_Offering.1.4			
9a.29		חגיגה	2.5						0	http://www.sefaria.org/Chagigah.9a.29	sefaria.org/Mishneh_Torah,_Festival_Offering.2.5					Chagigah.9a.29	Mishneh_Torah,_Festival_Offering.2.5			
9a.35		חגיגה	2.5						0	http://www.sefaria.org/Chagigah.9a.35	sefaria.org/Mishneh_Torah,_Festival_Offering.2.5					Chagigah.9a.35	Mishneh_Torah,_Festival_Offering.2.5			
9b.1		קרבן פסח	5.1	עשין	224				0	http://www.sefaria.org/Chagigah.9b.1	sefaria.org/Mishneh_Torah,_Paschal_Offering.5.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.224				Chagigah.9b.1	Mishneh_Torah,_Paschal_Offering.5.1	Sefer_Mitzvot_Gadol,_Volume_Two.224		
9b.7		מחוסרי כפרה	3.5						0	http://www.sefaria.org/Chagigah.9b.7	sefaria.org/Mishneh_Torah,_Offerings_for_Those_with_Incomplete_Atonement.3.5					Chagigah.9b.7	Mishneh_Torah,_Offerings_for_Those_with_Incomplete_Atonement.3.5			
9b.9		מחוסרי כפרה	3.4						0	http://www.sefaria.org/Chagigah.9b.9	sefaria.org/Mishneh_Torah,_Offerings_for_Those_with_Incomplete_Atonement.3.4					Chagigah.9b.9	Mishneh_Torah,_Offerings_for_Those_with_Incomplete_Atonement.3.4			
