Name,Match Name 1,Match Name 2,Match Name 3,Match URL 1,Match URL 2,Match URL 3
עמרם,עמרם,,,https://www.wikidata.org/wiki/Q477527,,
פרעה,,,,,,
עמרי,עמרי,,,https://www.wikidata.org/wiki/Q313221,,
איזבל,איזבל,,,https://www.wikidata.org/wiki/Q721295,,
מרדכי,מרדכי היהודי,,,https://www.wikidata.org/wiki/Q1136380,,
שלמה,שלמה,,,https://www.wikidata.org/wiki/Q37085,,
ברוך בן נריה,ברוך בן נריה,,,https://www.wikidata.org/wiki/Q599907,,
חירם,,,,,,
ארונה,,,,,,
רבקה,רבקה,,,https://www.wikidata.org/wiki/Q40520,,
אמון,,,,,,
נחום,,,,,,
איתיאל,,,,,,
יוסף,,,,,,
דבורה מינקת רבקה,דבורה הנביאה,,,https://www.wikidata.org/wiki/Q213633,,
לאה,לאה,,,https://www.wikidata.org/wiki/Q128847,,
סיסרא,סיסרא,,,https://www.wikidata.org/wiki/Q976765,,
בת שבע,בת שבע,בת פרעה (אשת שלמה),בת יפתח,https://www.wikidata.org/wiki/Q272277,https://www.wikidata.org/wiki/Q7180687,https://www.wikidata.org/wiki/Q16131373
שמעיה,,,,,,
יואש מלך יהודה,יואש,,,https://www.wikidata.org/wiki/Q313229,,
רחבעם,רחבעם,,,https://www.wikidata.org/wiki/Q211663,,
נחור,נחור,נחור אחי אברהם,,https://www.wikidata.org/wiki/Q888890,https://www.wikidata.org/wiki/Q6323112,
אלעזר,אלעזר הכהן,,,https://www.wikidata.org/wiki/Q159443,,
קהת,קהת,,,https://www.wikidata.org/wiki/Q2914557,,
שלתיאל,,,,,,
יששכר,יששכר,,,https://www.wikidata.org/wiki/Q651256,,
פיכול,,,,,,
יונה הנביא,,,,,,
בלשאצר,בלשאצר,,,https://www.wikidata.org/wiki/Q225198,,
איתמר,איתמר הכהן,,,https://www.wikidata.org/wiki/Q1675214,,
מרודך בלאדן,,,,,,
דריוש,,,,,,
עובדיה,עובדיה,,עובדיהו,https://www.wikidata.org/wiki/Q479645,,https://www.wikidata.org/wiki/Q7074556
עוזיאל,,,,,,
מנשה,מנשה,,,https://www.wikidata.org/wiki/Q156328,,
אלימלך,אלימלך,,,https://www.wikidata.org/wiki/Q363660,,
פלטי בן ליש,,,,,,
גדליה,גדליהו בן אחיקם,,,https://www.wikidata.org/wiki/Q1497453,,
צפורה,צפורה,,,https://www.wikidata.org/wiki/Q205523,,
בלהה,בלהה,,,https://www.wikidata.org/wiki/Q794991,,
שמעי,,,,,,
שבואל,,,,,,
יואש מלך ישראל,יואש,,,https://www.wikidata.org/wiki/Q313229,,
אוריה,אוריה החתי,,,https://www.wikidata.org/wiki/Q71267,,
מפיבושת,מפיבושת,,,https://www.wikidata.org/wiki/Q851686,,
שגוב,,,,,,
ישי,ישי,,,https://www.wikidata.org/wiki/Q45090,,
צדקיה בן כנענה,,,,,,
אמציה,אמציה,,,https://www.wikidata.org/wiki/Q313237,,
יותם,יותם,,,https://www.wikidata.org/wiki/Q109920,,
תרח,תרח,,,https://www.wikidata.org/wiki/Q586541,,
יהונדב בן רכב,,,,,,
צור חירם,,,,,,
יתרו,יתרו,,,https://www.wikidata.org/wiki/Q62788,,
אבצן,אבצן,,,https://www.wikidata.org/wiki/Q645796,,
קנז,,,,,,
