item,itemLabel,present_in_work,present_in_workLabel
http://www.wikidata.org/entity/Q43600,Matthew the Apostle,http://www.wikidata.org/entity/Q39939,Gospel of Luke
http://www.wikidata.org/entity/Q43600,Matthew the Apostle,http://www.wikidata.org/entity/Q40309,Acts of the Apostles
http://www.wikidata.org/entity/Q43600,Matthew the Apostle,http://www.wikidata.org/entity/Q107388,Gospel of Mark
http://www.wikidata.org/entity/Q43600,Matthew the Apostle,http://www.wikidata.org/entity/Q392302,Gospel of Matthew
http://www.wikidata.org/entity/Q43982,Bartholomew the Apostle,http://www.wikidata.org/entity/Q6766420,Mark 3
http://www.wikidata.org/entity/Q43982,Bartholomew the Apostle,http://www.wikidata.org/entity/Q6789826,Matthew 10
http://www.wikidata.org/entity/Q43982,Bartholomew the Apostle,http://www.wikidata.org/entity/Q12491745,Acts 1
http://www.wikidata.org/entity/Q43982,Bartholomew the Apostle,http://www.wikidata.org/entity/Q12495536,Luke 6
http://www.wikidata.org/entity/Q43999,James,http://www.wikidata.org/entity/Q39939,Gospel of Luke
http://www.wikidata.org/entity/Q43999,James,http://www.wikidata.org/entity/Q107388,Gospel of Mark
http://www.wikidata.org/entity/Q43999,James,http://www.wikidata.org/entity/Q392302,Gospel of Matthew
http://www.wikidata.org/entity/Q44015,John the Apostle,http://www.wikidata.org/entity/Q39939,Gospel of Luke
http://www.wikidata.org/entity/Q44015,John the Apostle,http://www.wikidata.org/entity/Q40309,Acts of the Apostles
http://www.wikidata.org/entity/Q44015,John the Apostle,http://www.wikidata.org/entity/Q107388,Gospel of Mark
http://www.wikidata.org/entity/Q44015,John the Apostle,http://www.wikidata.org/entity/Q392302,Gospel of Matthew
http://www.wikidata.org/entity/Q44203,Naboth,http://www.wikidata.org/entity/Q131066,1 Kings
http://www.wikidata.org/entity/Q44203,Naboth,http://www.wikidata.org/entity/Q209746,2 Kings
http://www.wikidata.org/entity/Q45090,Jesse,http://www.wikidata.org/entity/Q80038,Ruth
http://www.wikidata.org/entity/Q45090,Jesse,http://www.wikidata.org/entity/Q131066,1 Kings
http://www.wikidata.org/entity/Q45090,Jesse,http://www.wikidata.org/entity/Q209719,2 Samuel
http://www.wikidata.org/entity/Q45090,Jesse,http://www.wikidata.org/entity/Q1975029,1 Samuel
http://www.wikidata.org/entity/Q45090,Jesse,http://www.wikidata.org/entity/Q9813916,1 Chronicles
http://www.wikidata.org/entity/Q51676,Aaron,http://www.wikidata.org/entity/Q428,Quran
http://www.wikidata.org/entity/Q51676,Aaron,http://www.wikidata.org/entity/Q9190,Exodus
http://www.wikidata.org/entity/Q51676,Aaron,http://www.wikidata.org/entity/Q41490,Leviticus
http://www.wikidata.org/entity/Q51676,Aaron,http://www.wikidata.org/entity/Q42614,Deuteronomy
http://www.wikidata.org/entity/Q51676,Aaron,http://www.wikidata.org/entity/Q43099,Numbers
http://www.wikidata.org/entity/Q51676,Aaron,http://www.wikidata.org/entity/Q245227,The Prince of Egypt
http://www.wikidata.org/entity/Q62788,Jethro,http://www.wikidata.org/entity/Q9190,Exodus
http://www.wikidata.org/entity/Q62788,Jethro,http://www.wikidata.org/entity/Q245227,The Prince of Egypt
http://www.wikidata.org/entity/Q63070,Mary Magdalene,http://www.wikidata.org/entity/Q39939,Gospel of Luke
http://www.wikidata.org/entity/Q63070,Mary Magdalene,http://www.wikidata.org/entity/Q107388,Gospel of Mark
http://www.wikidata.org/entity/Q70899,Adam,http://www.wikidata.org/entity/Q28754,Paradise Lost
http://www.wikidata.org/entity/Q70899,Adam,http://www.wikidata.org/entity/Q34990,Torah
http://www.wikidata.org/entity/Q70899,Adam,http://www.wikidata.org/entity/Q12490446,Genesis 4
http://www.wikidata.org/entity/Q70899,Adam,http://www.wikidata.org/entity/Q14566195,Genesis 5
http://www.wikidata.org/entity/Q71267,Uriah the Hittite,http://www.wikidata.org/entity/Q6789821,Matthew 1
http://www.wikidata.org/entity/Q71267,Uriah the Hittite,http://www.wikidata.org/entity/Q12470158,1 Kings 15
http://www.wikidata.org/entity/Q71267,Uriah the Hittite,http://www.wikidata.org/entity/Q12470195,1 Chronicles 11
http://www.wikidata.org/entity/Q71267,Uriah the Hittite,http://www.wikidata.org/entity/Q12470304,2 Samuel 23
http://www.wikidata.org/entity/Q71267,Uriah the Hittite,http://www.wikidata.org/entity/Q16159961,2 Samuel 11
http://www.wikidata.org/entity/Q71267,Uriah the Hittite,http://www.wikidata.org/entity/Q16160075,2 Samuel 12
http://www.wikidata.org/entity/Q74891,Jonathan,http://www.wikidata.org/entity/Q728702,Saul
http://www.wikidata.org/entity/Q74891,Jonathan,http://www.wikidata.org/entity/Q1975029,1 Samuel
http://www.wikidata.org/entity/Q81422,Noah,http://www.wikidata.org/entity/Q428,Quran
http://www.wikidata.org/entity/Q81422,Noah,http://www.wikidata.org/entity/Q39939,Gospel of Luke
http://www.wikidata.org/entity/Q81422,Noah,http://www.wikidata.org/entity/Q128608,Epistle to the Hebrews
http://www.wikidata.org/entity/Q81422,Noah,http://www.wikidata.org/entity/Q131119,First Epistle of Peter
http://www.wikidata.org/entity/Q81422,Noah,http://www.wikidata.org/entity/Q131178,Second Epistle of Peter
http://www.wikidata.org/entity/Q81422,Noah,http://www.wikidata.org/entity/Q131458,Isaiah
http://www.wikidata.org/entity/Q81422,Noah,http://www.wikidata.org/entity/Q131737,Book of Tobit
http://www.wikidata.org/entity/Q81422,Noah,http://www.wikidata.org/entity/Q155980,Sirach
http://www.wikidata.org/entity/Q81422,Noah,http://www.wikidata.org/entity/Q178390,Ezekiel
http://www.wikidata.org/entity/Q81422,Noah,http://www.wikidata.org/entity/Q392302,Gospel of Matthew
http://www.wikidata.org/entity/Q81422,Noah,http://www.wikidata.org/entity/Q14566193,Genesis 6
http://www.wikidata.org/entity/Q81422,Noah,http://www.wikidata.org/entity/Q14566195,Genesis 5
http://www.wikidata.org/entity/Q107626,Seth,http://www.wikidata.org/entity/Q205388,Zohar
http://www.wikidata.org/entity/Q107626,Seth,http://www.wikidata.org/entity/Q393148,Aggadah
http://www.wikidata.org/entity/Q107626,Seth,http://www.wikidata.org/entity/Q843946,Jubilees
http://www.wikidata.org/entity/Q107626,Seth,http://www.wikidata.org/entity/Q1232616,Antiquities of the Jews
http://www.wikidata.org/entity/Q107626,Seth,http://www.wikidata.org/entity/Q1810885,Life of Adam and Eve
http://www.wikidata.org/entity/Q313216,Uzziah,http://www.wikidata.org/entity/Q209720,2 Chronicles
http://www.wikidata.org/entity/Q313216,Uzziah,http://www.wikidata.org/entity/Q209746,2 Kings
http://www.wikidata.org/entity/Q313219,Jeroboam,http://www.wikidata.org/entity/Q17997448,1 Kings 16
http://www.wikidata.org/entity/Q313221,Omri,http://www.wikidata.org/entity/Q17997448,1 Kings 16
http://www.wikidata.org/entity/Q313224,Baasha,http://www.wikidata.org/entity/Q17997448,1 Kings 16
http://www.wikidata.org/entity/Q313228,Josiah,http://www.wikidata.org/entity/Q131066,1 Kings
http://www.wikidata.org/entity/Q313228,Josiah,http://www.wikidata.org/entity/Q131590,Jeremiah
http://www.wikidata.org/entity/Q313228,Josiah,http://www.wikidata.org/entity/Q155980,Sirach
http://www.wikidata.org/entity/Q313228,Josiah,http://www.wikidata.org/entity/Q209720,2 Chronicles
http://www.wikidata.org/entity/Q313228,Josiah,http://www.wikidata.org/entity/Q209746,2 Kings
http://www.wikidata.org/entity/Q313228,Josiah,http://www.wikidata.org/entity/Q9813916,1 Chronicles
http://www.wikidata.org/entity/Q313229,Jehoash of Judah,http://www.wikidata.org/entity/Q209720,2 Chronicles
