Name,Match Name 1,Match Name 2,Match Name 3,Match Name 4,Match Name 5,Match Name 6,Match Name 7,Match Name 8,Match Name 9,Match Name 10,Match Name 11,Match Name 12,Match Name 13,Match Name 14,Match Name 15,Match URL 1,Match URL 2,Match URL 3,Match URL 4,Match URL 5,Match URL 6,Match URL 7,Match URL 8,Match URL 9,Match URL 10,Match URL 11,Match URL 12,Match URL 13,Match URL 14,Match URL 15
רבי אלעזר בן חסמא,רבי אלעזר בן ערך,רבי אלעזר בן צדוק,רבי אלעזר איש ברתותא,רבי אלעזר בן עזריה,רבי אלעזר המודעי,רבי אלעזר בן יהודה איש ברתותא,רבי אלעזר בן צדוק,רבי אלעזר בן שמוע,רבי אלעזר בן שמעון,רבי אלעזר הקפר,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Arakh,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Tzadok%20(I),https://www.sefaria.org/person/Rabbi%20Eliezar%20of%20Bertota,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Azaryah,https://www.sefaria.org/person/Rabbi%20Elazar%20haModa'i,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Yehudah%20of%20Bartota,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Tzadok%20(II),https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Shamu'a,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Shimon,https://www.sefaria.org/person/Rabbi%20Elazar%20haKappar,,,,,
רבי שמעון בן נתנאל,שמעון בן שטח,רבן שמעון בן גמליאל,שמעון הפקולי,שמעון בן זומא,רבי שמעון בן ננס,שמעון בן עזאי,שמעון התימני,רבי שמעון השקמוני,רבן שמעון בן גמליאל,רבי שמעון בר יוחאי,שמעון בן חלפתא,רבי שמעון בן יהודה,רבי שמעון בן מנסיא,רבי שמעון ברבי יוסי בן לקוניא,רבי שמעון בן רבי,https://www.sefaria.org/person/Shimon%20b.%20Shetach,https://www.sefaria.org/person/Rabban%20Shimon%20b.%20Gamliel%20(I),https://www.sefaria.org/person/Shimon%20haPaqoli,https://www.sefaria.org/person/Shimon%20b.%20Zoma,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Nannas,https://www.sefaria.org/person/Shimon%20b.%20Azzai,https://www.sefaria.org/person/Shimon%20haTimni,https://www.sefaria.org/person/Rabbi%20Shimon%20haShiqmoni,https://www.sefaria.org/person/Rabban%20Shimon%20b.%20Gamliel%20(II),https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Yohai,https://www.sefaria.org/person/Shimon%20b.%20Halafta,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Yehudah,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Menasya,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20R'%20Yose%20b.%20Laqonya,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Rabbi
טבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי פנחס בן יאיר,רבי פנחס בן יאיר,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Pinehas%20b.%20Yair,,,,,,,,,,,,,,
רבי טרפון,רבי טרפון‎,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Tarfon,,,,,,,,,,,,,,
רבי יוחנן בן נורי,רבי יוחנן בן נורי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Nuri,,,,,,,,,,,,,,
טורנוס רופוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בר קפרא,בר קפרא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Bar%20Kappara,,,,,,,,,,,,,,
רבי דוסא בן הרכינס,רבי דוסא בן הרכינס,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Dosa%20b.%20Harkinas,,,,,,,,,,,,,,
רבי חמא בר רבי חנינא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נקדימון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אבא חלפתא,אבא שאול,אבא יוסי בן דוסתאי,אבא חנן,,,,,,,,,,,,,https://www.sefaria.org/person/Abba%20Shaul,https://www.sefaria.org/person/Abba%20Yose%20b.%20Dostai,https://www.sefaria.org/person/Abba%20Hanan,,,,,,,,,,,,
שמעון הפקולי,שמעון הפקולי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Shimon%20haPaqoli,,,,,,,,,,,,,,
רבי שמעון בן אלעזר,שמעון בן שטח,רבן שמעון בן גמליאל,שמעון הפקולי,שמעון בן זומא,רבי שמעון בן ננס,שמעון בן עזאי,שמעון התימני,רבי שמעון השקמוני,רבן שמעון בן גמליאל,רבי שמעון בר יוחאי,שמעון בן חלפתא,רבי שמעון בן יהודה,רבי שמעון בן מנסיא,רבי שמעון ברבי יוסי בן לקוניא,רבי שמעון בן רבי,https://www.sefaria.org/person/Shimon%20b.%20Shetach,https://www.sefaria.org/person/Rabban%20Shimon%20b.%20Gamliel%20(I),https://www.sefaria.org/person/Shimon%20haPaqoli,https://www.sefaria.org/person/Shimon%20b.%20Zoma,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Nannas,https://www.sefaria.org/person/Shimon%20b.%20Azzai,https://www.sefaria.org/person/Shimon%20haTimni,https://www.sefaria.org/person/Rabbi%20Shimon%20haShiqmoni,https://www.sefaria.org/person/Rabban%20Shimon%20b.%20Gamliel%20(II),https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Yohai,https://www.sefaria.org/person/Shimon%20b.%20Halafta,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Yehudah,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Menasya,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20R'%20Yose%20b.%20Laqonya,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Rabbi
עקביא בן מהללאל,עקביא בן מהללאל,,,,,,,,,,,,,,,https://www.sefaria.org/person/Akavyah%20b.%20Mahalal'el,,,,,,,,,,,,,,
ינאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סומכוס,סומכוס,,,,,,,,,,,,,,,https://www.sefaria.org/person/Summakhos,,,,,,,,,,,,,,
אנשי כנסת הגדולה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהודה המכבי,יהודה בן טבאי,רבי יהודה בן בתירא,רבי יהודה בן בבא,רבי יהודה בן בתירא,יהודה בן תימא,רבי יהודה ברבי אילעאי,רבי יהודה הנשיא,,,,,,,,,https://www.sefaria.org/person/Yehudah%20b.%20Tabbai,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(I),https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Bava,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(II),https://www.sefaria.org/person/Yehudah%20b.%20Tema,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20R'%20II'ai,https://www.sefaria.org/person/Rabbi%20Yehudah%20haNasi,,,,,,,,
ר יוסי קטנתא,יוסי בן יועזר,יוסי בן יוחנן‎,רבי יוסי הכהן,רבי יוסי בן קסמא,רבי יוסי הגלילי,רבי יוסי בן דורמסקית,רבי יוסי בן חלפתא,רבי יוסי בר יהודה איש כפר הבב,רבי יוסי בן יסיאן,רבי יוסי בן יהודה,רבי יוסי בן המשולם,,,,,https://www.sefaria.org/person/Yose%20b.%20Yoezer,https://www.sefaria.org/person/Yose%20b.%20Yochanan,https://www.sefaria.org/person/Rabbi%20Yose%20haKohen,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Kisma,https://www.sefaria.org/person/Rabbi%20Yose%20haGelili,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Dormasqit,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Halafta,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah%20of%20Kefar%20haBavli,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yasyan,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20haMeshullam,,,,
רבי ישבב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נחום איש גם זו,נחום המדי,נחום איש גמזו,,,,,,,,,,,,,,https://www.sefaria.org/person/Nahum%20haMedi,https://www.sefaria.org/person/Nahum%20of%20Gamzo,,,,,,,,,,,,,
בן תמליון,בן הא הא,בן בג בג,,,,,,,,,,,,,,https://www.sefaria.org/person/Ben%20He%20He,https://www.sefaria.org/person/Ben%20Bag%20Bag,,,,,,,,,,,,,
חנן הנחבא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי יהודה בר נחמיה,יהודה בן טבאי,רבי יהודה בן בתירא,רבי יהודה בן בבא,רבי יהודה בן בתירא,יהודה בן תימא,רבי יהודה ברבי אילעאי,רבי יהודה הנשיא,,,,,,,,,https://www.sefaria.org/person/Yehudah%20b.%20Tabbai,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(I),https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Bava,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(II),https://www.sefaria.org/person/Yehudah%20b.%20Tema,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20R'%20II'ai,https://www.sefaria.org/person/Rabbi%20Yehudah%20haNasi,,,,,,,,
רבי חייא,רבי חייא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hiyya,,,,,,,,,,,,,,
