masechet,בבלי,מקבילות,ספ' תנאים,מקרא,תח' ציטוט,מקום בירו'
13,,,,"תהילים ק, א",מזמור לתודה,"שבו' א, ח )לג ע""ב (24,"
14,,"הש' מת""ה צ, ג ;(387)",,,על שם,"שבו' א, ח )לג ע""ב (25,"
15,,"פד""כ וזאת הברכה",,,,
16,,"442)(; הש' מת""ה ק, ב",,,,
17,,-425,,,,
18,,"יומא מה ע""ב",,,לא הן,"שבו' א, ט )לג ע""ב (26,"
19,,,"מ' כר' ו, ד",,חטאות,"שבו' א, ט )לג ע""ב (32,"
20,,"ו""ר קנג; תנ""ו לך לך י",,,העולה,"שבו' א, ט )לג ע""ב (42,"
21,,"55)(; תנ""ב לך לך יג",,,,
22,,"71)(; תנ""ו תצוה טו",,,,
23,,"298)(; תנ""ו צו יג",,,,
24,,"385)(; תנ""ב צו ב (17)",,,,
25,,,,"יחזקאל כ, לב",והעולה,"שבו' א, ט )לג ע""ב (43,"
26,,,,"איוב א, ה",אולי חטאו,"שבו' א, ט )לג ע""ב (44,"
27,,,"ת' יומא ד, ט",,יום מיתה,"שבו' א, ט )לג ע""ב (50,"
28,,,(49:253),,,
29,,,"מ' יומא ח, ח",,מיתה,"שבו' א, ט )לג ע""ב (50,"
30,,"יומא מה ע""ב; סנ' כז ע""ג",,,ר' מתיה,"שבו' א, ט )לג ע""ב (51,"
31,,,"ת' יומא ד, ו (35:251)",,ארבעה,"שבו' א, ט )לג ע""ב (52,"
32,,,,"ירמיהו ג, כב",שובו בנים,"שבו' א, ט )לג ע""ב (53,"
33,,,,"ויקרא טז, ל",כי ביום,"שבו' א, ט )לג ע""ב (53,"
34,,,,"תהילים פט, לג",ופקדתי,"שבו' א, ט )לג ע""ב (54,"
35,,,,"ישעיהו כב, יד",אם יכופר,"שבו' א, ט )לג ע""ב (55,"
36,,,"ת' יומא ד, טז",,חומר בשעיר,"שבו' א, ט )לג ע""ג (4,"
37,,,(81:255),,,
38,,"סנ' כז ע""ג וש""נ",,,רבי ירמיה,"שבו' א, ט )לג ע""ג (8,"
39,,,,"משלי יג, ו",צדקה תצר,"שבו' א, ט )לג ע""ג (9,"
40,,,,"משלי יג, כא",חטאים,"שבו' א, ט )לג ע""ג (9,"
,,,,,,
,,,,,,
,,Unnamed: 0,"מ' ב""ק ז, ו",Unnamed: 1,היה מושכו,"שבו' ח, א )לח ע""ב (38,"
0,,,"מ' ב""מ ג, יב",,בית שמאי,"שבו' ח, א )לח ע""ב (43,"
1,,,,"שמות כב, ט",כי יתן,"שבו' ח, א )לח ע""ב (47,"
2,,,,"שמות כב, ו",וגונב,"שבו' ח, א )לח ע""ב (50,"
3,,,"מדרשב""י 200",,ולא מראש,"שבו' ח, א )לח ע""ב (50,"
4,,,"מדרשב""י 6:207",,התחתונה,"שבו' ח, א )לח ע""ב (53,"
5,,,"מדר""י 304",,והאמצעית,"שבו' ח, א )לח ע""ב (54,"
6,,,,"שמות כב, ז",ואם לא,"שבו' ח, א )לח ע""ב (59,"
7,,,,"שמות כב, ט",כי יתן,"שבו' ח, א )לח ע""ב (59,"
8,,,,"שמות כב, י",שבועת,"שבו' ח, א )לח ע""ב (60,"
9,,,"הש' מדר""י ;305",,גנובה,"שבו' ח, א )לח ע""ב (60,"
10,,,"מדרשב""י 206",,,
11,,,"מדרשב""י 26:206",,מה אם,"שבו' ח, א )לח ע""ב (62,"
12,,,"מדרשב""י 25:206",,אין כתיב,"שבו' ח, א )לח ע""ב (63,"
13,,,"מדרשב""י 5:206",,הרי זה,"שבו' ח, א )לח ע""ג (2,"
14,,,"מדרשב""י 5:206",,שבויה,"שבו' ח, א )לח ע""ג (2,"
15,,,,"שמות כב, יג",ונשבר,"שבו' ח, א )לח ע""ג (3,"
16,,,,"שמות כב, ט",ומת,"שבו' ח, א )לח ע""ג (3,"
17,,"הש' שבו' לה ע""ג (31)",,,"וכר""מ","שבו' ח, א )לח ע""ג (5,"
18,,,,"שמות כב, יד",אם בעליו,"שבו' ח, א )לח ע""ג (14,"
19,,"ב""מ ט ע""ב",,,ומה טעמ',"שבו' ח, א )לח ע""ג (30,"
20,,,,"שמות כב, ח",על כל,"שבו' ח, א )לח ע""ג (31,"
21,,,"ת' ב""ק י, לד",,נשברה,"שבו' ח, א )לח ע""ג (33,"
22,,,(24:369),,,
23,,"ב""ק ד ע""ג",,,רבי אבהו,"שבו' ח, א )לח ע""ג (39,"
24,,,,"שמות כב, ו",שמירה,"שבו' ח, א )לח ע""ג (40,"
25,,,,"שמות כב, י",שמירה,"שבו' ח, א )לח ע""ג (40,"
26,,"סנ' כא ע""ג",,,רב אמר,"שבו' ח, ב )לח ע""ד (1,"
27,,,"מ' שבו' ח, ג",,אמר לשואל,"שבו' ח, ז )לח ע""ד (8,"
28,,,"ת' ב""ק ח, ז (18:361)",,טענו,"שבו' ח, ז )לח ע""ד (9,"
29,,,"ת' ב""ק ח, ח",,טענו,"שבו' ח, ז )לח ע""ד (11,"
30,,,(21:361),,,
31,,,,"ויקרא ה, כד",ושלם אותו,"שבו' ח, ז )לח ע""ד (15,"
,,,,,,
,,,,,,
Nedarim,,,,,,
,,Unnamed: 0,Unnamed: 1,"שמות ב, כד",ויואל משה,"נד' א, ב )לז ע""א (8,"
0,,,,"שמ""א יד, כד",ויואל שאול,"נד' א, ב )לז ע""א (9,"
1,,,,"דניאל יב, ז",וירם ימינו,"נד' א, ב )לז ע""א (10,"
2,,"ב""ר 607",,,כאימרא ר',"נד' א, ב )לז ע""א (16,"
3,,,"הש' מ' יומא ב, ה",,בשני גיזירי,"נד' א, ג )לז ע""א (21,"
4,,,"ת' נד' א, ד (25:102)",,כתורה הרי,"נד' א, ג )לז ע""א (25,"
5,,"שבו' לו ע""ב",,,אמר רבי,"נד' א, ג )לז ע""א (27,"
6,,,"ת' נד' א, ג (21:102)",,לחולין שאוכל,"נד' א, ד )לז ע""א (36,"
7,,"הש' ער' כא ע""ב",,,רבי מאיר,"נד' א, ד )לז ע""א (37,"
8,,,,"במדבר ל, ג",לה',"נד' ב, א )לז ע""ב (15,"
9,,"נד' לז ע""ב (27)","ת' נד' ד, ו (15:111)",,מניין לנדרים,"נד' ב, א )לז ע""ב (16,"
10,,,,"במדבר ל, ג",לא יחל,"נד' ב, א )לז ע""ב (18,"
11,,,,"במדבר ל, ג",לאסור אסר,"נד' ב, א )לז ע""ב (20,"
12,,,"מ' נד' ב, א",,האומר לאשתו,"נד' ב, א )לז ע""ב (25,"
13,,"נד' לז ע""ב (16)","ת' נד' ד, ו (15:111)",,מניין לנדרים,"נד' ב, א )לז ע""ב (27,"
14,,,,"במדבר ל, ג",לא יחל,"נד' ב, א )לז ע""ב (28,"
15,,"סוכה נה ע""ב",,,שבועה שלא,"נד' ב, א )לז ע""ב (29,"
16,,,"מ' נד' ב, ב",,חומר בשבועות,"נד' ב, ב )לז ע""ב (32,"
17,,,"ספ' כג ע""ג","ויקרא ה, ד",או נפש,"נד' ב, ב )לז ע""ב (36,"
18,,"שבו' לד ע""ג",,,להרע או,"נד' ב, ב )לז ע""ב (36,"
19,,,,"במדבר ל, ג",ככל היוצא,"נד' ב, ב )לז ע""ב (38,"
,,,,,,
,,,,,,
,,Unnamed: 0,Unnamed: 1,"דברים כה, ה",יבמה יבא,"נד' ג, ב )לז ע""ד (54,"
0,,,,"במדבר לו, ט",ולא תסוב,"נד' ג, ב )לז ע""ד (55,"
1,,,,"במדבר לו, ח",וכל בת,"נד' ג, ב )לז ע""ד (55,"
2,,,,"דברים כב, יב",גדילים תעשה,"נד' ג, ב )לז ע""ד (56,"
3,,,,"דברים כב, יא",לא תלבש,"נד' ג, ב )לז ע""ד (56,"
4,,"במ""ר יא, ז )מה ע""א(","מדרשב""י 92",,וכן הוא,"נד' ג, ב )לז ע""ד (57,"
5,,,,"תהלים סב, יב",אחת דיבר,"נד' ג, ב )לז ע""ד (57,"
6,,,,"ירמיה כג, כט",הלא כה,"נד' ג, ב )לז ע""ד (58,"
7,,,"מ' שבו' ג, ח",,שבועת שוא,"נד' ג, ב )לז ע""ד (58,"
8,,,"ת' נד' ב, א (5:104)",,שבועות הבאי,"נד' ג, ב )לח ע""א (3,"
9,,"פס""ר כב )קיב ע""ב(",,,חזקיה אמר,"נד' ג, ב )לח ע""א (9,"
10,,,,"ירמיה ב, ל",לשוא הכיתי,"נד' ג, ב )לח ע""א (13,"
11,,"שבו' לד ע""ד","מ' שבו' ג, ז",,שבועה שלא,"נד' ג, ב )לח ע""א (13,"
12,,,"מ' שבו' ג, ה",,אחד דברים,"נד' ג, ב )לח ע""א (15,"
13,,,"ת' נזיר א, ז (31:126)",,זה חומר,"נד' ג, ב )לח ע""א (17,"
14,,,"מ' נד' ט, ו",,עד שבא,"נד' ג, ב )לח ע""א (19,"
15,,,"מ' נד' ח, ז",,דר' מאיר,"נד' ג, ג )לח ע""א (24,"
16,,"נד' מא ע""א",,,כיי דמר,"נד' ג, ג )לח ע""א (25,"
17,,,"ת' נד' ב, ב (5:104)",,תולים בגוים,"נד' ג, ה )לח ע""א (32,"
18,,"שבי' לט ע""ב",,,שבעלי זרוע,"נד' ג, ה )לח ע""א (32,"
19,,,"מ' נד' ג, ה",,בית שמאי,"נד' ג, ה )לח ע""א (33,"
20,,,,"ויקרא יט, יב",לא תשבעו,"נד' ג, ה )לח ע""א (36,"
,,,,,,
,,,,,,
,,Unnamed: 0,"מ' נד' ד, ג",Unnamed: 1,ותרום תרומתו,"נד' ד, ג )לח ע""ג (53,"
0,,"ו""ר תרכח",,"דברים ד, ה",ראה לימדתי,"נד' ד, ג )לח ע""ג (54,"
1,,,,"דברים ד, ה",חקים ומשפטי',"נד' ד, ג )לח ע""ג (56,"
2,,"ו""ר תרפח; פד""כ 402",,,שכר בטילן,"נד' ד, ג )לח ע""ג (57,"
3,,"נד' לח ע""ד 7)(; נד' ל",,,רבי שמעון,"נד' ד, ד )לח ע""ג (62,"
4,,"ע""א (41)",,,,
5,,,"ת' נד' ב, ז (27:106)",,רוחץ עמו,"נד' ד, ד )לח ע""ד (1,"
6,,"נד' לח ע""ג 62)(; נד'",,,רבי שמעון,"נד' ד, ו )לח ע""ד (7,"
7,,"לט ע""א (41)",,,,
8,,,"ת' נד' ב, ט (33:106)",,דו רבי,"נד' ד, ו )לח ע""ד (14,"
9,,"שבת טו ע""ד",,,ביומוי דרבי,"נד' ד, ט )לח ע""ד (21,"
10,,,"ת' שבת טו, טו (68:73)",,כל דבר,"נד' ד, ט )לח ע""ד (24,"
11,,"יומא מה ע""ב","ת' שבת יג, ט (46:60)",,מעשה שנפלה,"נד' ד, ט )לח ע""ד (25,"
12,,"פאה יט ע""ב; דמאי כג",,,רבי מאיר,"נד' ד, י )לח ע""ד (33,"
13,,"ע""ב",,,,
14,,"מע' מח ע""ג",,"דברים יד, כט",ובא הלוי,"נד' ד, י )לח ע""ד (40,"
15,,"פאה יט ע""ב",,,עד כדון,"נד' ד, י )לח ע""ד (42,"
,,,,,,
,,,,,,
,,Unnamed: 0,Unnamed: 1,"מל""ב ד, מב",ואיש בא,"נד' ו, יג )לט ע""ד (53,"
0,,,,"מל""ב ד, מב",תן לעם,"נד' ו, יג )לט ע""ד (56,"
1,,"פס' לו ע""ג","ת' סנ' ב, יא (24:417)",,אין מעברין,"נד' ו, יג )לט ע""ד (57,"
2,,,,"דה""ב ל, יח",כי מרבית,"נד' ו, יג )לט ע""ד (59,"
3,,,,"דה""ב ל, יח",כי אכלו,"נד' ו, יג )לט ע""ד (62,"
4,,"פס' לו ע""ג; סוטה כ",,,דמר רבי,"נד' ו, יג )לט ע""ד (64,"
5,,"ע""ב; סנ' יח ע""ד",,,,
6,,"פס' לו ע""ג; סנ' יח ע""ד",,"דה""ב ל, יט",בכל לבבו,"נד' ו, יג )מ ע""א (1,"
7,,,,"דה""ב כט, יז",ויכלו באחד,"נד' ו, יג )מ ע""א (4,"
8,,,,"דה""ב כט, יז",וביום ששה,"נד' ו, יג )מ ע""א (4,"
,,,,,,
,,,,,,
Sotah,,,,,,
,,"ב""ר 1046",Unnamed: 0,"שמ""א ב, כב",ועלי זקן,"סוטה א, ד )טז ע""ד (60,"
0,,,,"שמ""א ב, כט",למה תבעטון,"סוטה א, ד )טז ע""ד (62,"
1,,,,"שמ""א ח, ג",ולא הלכו,"סוטה א, ד )טז ע""ד (64,"
2,,,,"במדבר ה, יח",והעמיד הכהן,"סוטה א, ה )יז ע""א (3,"
3,,"במ""ר ט, לג )לא ע""ד(",,"שמ""א ב, כה",אם יחטא,"סוטה א, ה )יז ע""א (4,"
4,,"ב""ר 248; ו""ר תקלט;",,,אמר ר',"סוטה א, ה )יז ע""א (9,"
5,,"תנ""ו בראשית יב 25)",,,,
6,,,,"במדבר ה, יח",והעמיד,"סוטה א, ה )יז ע""א (11,"
7,,,,"במדבר ה, טז",והעמידה,"סוטה א, ה )יז ע""א (11,"
8,,"סנ' כג ע""ג",,,מחלפה שיטתיה,"סוטה א, ה )יז ע""א (12,"
9,,,"מ' סנ' ו, ג",,האיש מכסין,"סוטה א, ה )יז ע""א (13,"
10,,,"הש' ת' סוטה א, ז",,ויתגרו בה,"סוטה א, ה )יז ע""א (15,"
11,,,,"ויקרא יט, יח",ואהבת לרעך,"סוטה א, ה )יז ע""א (16,"
12,,,,"יחזקאל כג, מח",וניוסרו כל,"סוטה א, ה )יז ע""א (17,"
13,,,"הש' מ' סוטה ב, א",,כפיפה מצרית,"סוטה א, ו )יז ע""א (21,"
14,,,"מ' שק' ד, ב",,אמת המים,"סוטה א, ו )יז ע""א (22,"
15,,"פד""כ יא 179)(; פד""כ","ת' סוטה ב, א",,תני בשם,"סוטה א, ז )יז ע""א (24,"
,,,,,,
,,,,,,
,,Unnamed: 0,"מ' סוטה ג, ד; הש'",Unnamed: 1,אינה מספקת,"סוטה ג, ב )יח ע""ד (23,"
0,,,"ס""ב ח (15)",,,
1,,,"ת' סוטה ב, ב",,מגילתה נגנזת,"סוטה ג, ג )יח ע""ד (25,"
2,,,(11:155),,,
3,,,"ת' סוטה ב, ב",,אין בהן,"סוטה ג, ג )יח ע""ד (27,"
4,,,(11:155),,,
5,,,"מ' סוטה ג, ו",,שבעלה בעלה,"סוטה ג, ג )יח ע""ד (31,"
6,,"סוטה יח ע""א",,,כמה ימחוק,"סוטה ג, ג )יח ע""ד (33,"
7,,,"ת' סוטה ב, ג",,אמר לו,"סוטה ג, ג )יח ע""ד (34,"
8,,,"מ' סוטה ב, ג",,מערערים אותה,"סוטה ג, ג )יח ע""ד (37,"
9,,"סוטה יח ע""ד )ג, ב (9,",,,כולהן ולא,"סוטה ג, ד )יח ע""ד (39,"
10,,,"ס""ב (15)",,יש זכות,"סוטה ג, ד )יח ע""ד (41,"
11,,,,"דניאל ד, כו",לקצת ירחין,"סוטה ג, ד )יח ע""ד (41,"
12,,,,"שמ""ב יג, כג",ויהי לשנתים,"סוטה ג, ד )יח ע""ד (42,"
13,,,,"מל""א כב, א",וישבו שלש,"סוטה ג, ד )יח ע""ד (43,"
14,,,,"מל""א כב, א",וישבו שלש,"סוטה ג, ד )יח ע""ד (45,"
15,,"במ""ר ט, לא )לא ע""ב(","ס""ב ח (14)","במדבר ה, טו",מנחת זכרון,"סוטה ג, ד )יח ע""ד (46,"
16,,,,"במדבר ה, טו",מזכרת עון,"סוטה ג, ד )יח ע""ד (51,"
17,,"במ""ר ט, מא )לב ע""ג(;","ת' סוטה ב, ג",,רבי יודה,"סוטה ג, ד )יח ע""ד (52,"
18,,"תנ""ו נשא א (498)",(23:156),,,
19,,,,"במדבר ה, טו",ואם לא,"סוטה ג, ד )יח ע""ד (53,"
20,,,"ס""ב יט (20:23)",,שאם היתה,"סוטה ג, ד )יח ע""ד (55,"
21,,,"ס""ב יט (18:23)",,אמר לו,"סוטה ג, ד )יח ע""ד (57,"
22,,,,"במדבר ה, טו",ונקתה ונזרעה,"סוטה ג, ד )יח ע""ד (58,"
23,,"חג' עה ע""ד; במ""ר יד,","ת' סוטה ז, ט",,מעשה בר',"סוטה ג, ד )יח ע""ד (60,"
24,,"ד )נח ע""ב(; אדר""נ יח",,,,
25,,"נו""א (67)",,,,
26,,,,"דברים לא, יב",הקהל את,"סוטה ג, ד )יח ע""ד (64,"
,,,,,,
,,,,,,
,,Unnamed: 0,Unnamed: 1,"דברים יז, כ",למען יאריך,"סוטה ח, ג )כב ע""ג (36,"
0,,,,"דברים יח, א",לא יהיה,"סוטה ח, ג )כב ע""ג (37,"
1,,,,"דה""ב ג, טו",הבכור יוחנן,"סוטה ח, ג )כב ע""ג (38,"
2,,,,"דה""ב ג, טו",השלישי צדקיהו,"סוטה ח, ג )כב ע""ג (39,"
3,,,,"מל""ב כד, יז",וימלך מלך,"סוטה ח, ג )כב ע""ג (42,"
4,,,"מ' כלים יז, י",,רבי מאיר,"סוטה ח, ג )כב ע""ג (44,"
5,,,,"שמות כה, י",אמתים וחצי,"סוטה ח, ג )כב ע""ג (46,"
6,,,,"דברים י, ב",אשר שברת,"סוטה ח, ג )כב ע""ג (48,"
7,,"תע' סח ע""ג; ש""ר כח,",,,והלוחות היו,"סוטה ח, ג )כב ע""ג (48,"
8,,"א )מט ע""ד(; ש""ר מז,",,,,
9,,"ו )עז ע""ב(; במ""ר ד, כ",,,,
10,,")יד ע""א(; דבר""ל וילך",,,,
11,,"122)(; תנ""ו תשא לז",,,,
12,,"330)(; תנ""ו עקב יא",,,,
13,,-634,,,,
14,,"דבר""ל 122",,,ששה טפחים,"סוטה ח, ג )כב ע""ג (49,"
15,,"שהש""ר א, יא )יא ע""ד(",,,לאיסטווה,"סוטה ח, ג )כב ע""ג (50,"
16,,,,"שמות כה, י",אמה וחצי,"סוטה ח, ג )כב ע""ג (50,"
17,,,,"דברים י, ב",אשר שברת,"סוטה ח, ג )כב ע""ג (52,"
18,,"שק' מט ע""ד; תע' סח",,,והלוחות היה,"סוטה ח, ג )כב ע""ג (52,"
19,,"ע""ג",,,,
20,,"שק' ו, א )מט ע""ד (26,","מ' כלים יז, י",,ר' יודה,"סוטה ח, ג )כב ע""ג (56,"
21,,,,"שמות כה, י",אמתים וחצי,"סוטה ח, ג )כב ע""ג (59,"
22,,,,"דברים י, ב",אשר שברת,"סוטה ח, ג )כב ע""ג (61,"
,,,,,,
,,,,,,
,,Unnamed: 0,"ס""ד רה (241)",Unnamed: 1,טעמא דרבי,"סוטה ט, א )כג ע""ג (25,"
0,,,,"דברים כא, ב",ויצאו זקיניך,"סוטה ט, א )כג ע""ג (25,"
1,,,,"ויקרא ד, טו",וסמכו,"סוטה ט, א )כג ע""ג (27,"
2,,,,"דברים כא, ב",ויצאו,"סוטה ט, א )כג ע""ג (28,"
3,,,,"דברים כא, ב",זקיניך ושופטיך,"סוטה ט, א )כג ע""ג (30,"
4,,,"ת' סוטה ט, א; ס""ד",,רבי אליעזר,"סוטה ט, ב )כג ע""ג (32,"
5,,,רה (240),,,
6,,,,"דברים כא, א",נופל,"סוטה ט, ב )כג ע""ג (34,"
7,,"סוטה כג ע""ד (40)",,,דהדא דרבי,"סוטה ט, ב )כג ע""ג (37,"
8,,,"ת' סוטה ט, א",,נמצא בעליל,"סוטה ט, ב )כג ע""ג (39,"
9,,"פאה יט ע""ג",,,רב נחת,"סוטה ט, ב )כג ע""ג (40,"
10,,,,"דברים כא, א",כי ימצא,"סוטה ט, ב )כג ע""ג (43,"
11,,,,"דברים כא, א",באדמה,"סוטה ט, ב )כג ע""ג (43,"
12,,"פאה יט ע""ד; ב""ק ה",,,מחלפא שיטתון,"סוטה ט, ב )כג ע""ג (44,"
13,,"ע""ג",,,,
14,,,"ס""ד רפג (299)",,פרט לטמון,"סוטה ט, ב )כג ע""ג (45,"
15,,,,"דברים כד, יט",שדך,"סוטה ט, ב )כג ע""ג (46,"
16,,,,"דברים כא, א",באדמ',"סוטה ט, ב )כג ע""ג (47,"
17,,,,"דברים כא, ז",ידינו לא,"סוטה ט, ב )כג ע""ג (49,"
18,,,,"דברים כא, ג",והית' העיר,"סוטה ט, ב )כג ע""ג (50,"
19,,,,"דברים כא, ב",ומדדו את,"סוטה ט, ב )כג ע""ג (50,"
20,,"מע""ש נה ע""ד ;(10)",,,למחלוקת ניתנו,"סוטה ט, ב )כג ע""ג (51,"
21,,"מכות לב ע""א (16)",,,,
22,,"יב' טו ע""ג",,,ואתייא כיי,"סוטה ט, ג )כג ע""ג (54,"
23,,,,"ישעיה ג, ט",הכרת פניהם,"סוטה ט, ג )כג ע""ג (55,"
24,,,,"יחזקאל כא, לד",לתת אותה,"סוטה ט, ג )כג ע""ג (59,"
25,,,,"דברים כא, ג",אשר לא,"סוטה ט, ה )כג ע""ד (2,"
26,,"פאה טז ע""ג","ספ' ב ע""ד",,כל דבר,"סוטה ט, ה )כג ע""ד (6,"
27,,,,"דברים כא, ג",אשר לא,"סוטה ט, ה )כג ע""ד (8,"
28,,,,"דברים כא, ג",אשר לא,"סוטה ט, ה )כג ע""ד (13,"
29,,"הש' סוטה כג ע""ד (50)",,,אמ' ליה,"סוטה ט, ה )כג ע""ד (14,"
30,,,,"דברים כא, ג",אשר לא,"סוטה ט, ה )כג ע""ד (15,"
31,,,,"דברים כא, ג",עול (1),"סוטה ט, ה )כג ע""ד (16,"
32,,,,"במדבר יט, ב",עול (2),"סוטה ט, ה )כג ע""ד (16,"
,,,,,,
,,,,,,
Sheviit,,,,,,
,"ר""ה יג ע""ב; מנ'",Unnamed: 0,Unnamed: 1,,רבי בא,"שבי' ב, ח )לד ע""א (27,"
0,"ל ע""ב",,,,,
1,,,"הש' ת' שבי' ב, ה",,שש מידות,"שבי' ב, ח )לד ע""א (29,"
2,,,(20:170),,,
3,,"דמאי כא ע""ד",,,זרעו לזרע,"שבי' ב, ח )לד ע""א (34,"
4,,"שבי' לד ע""א 24)(; מע'",,,זרעו לירק,"שבי' ב, ח )לד ע""א (35,"
5,,"נא ע""ב",,,,
6,,,"הש' ת' שבי' ב, ד",,מנע ממנו,"שבי' ב, ח )לד ע""א (36,"
7,,,(13:170),,,
8,,,"ת' שבי' ב, ו (26:171)",,ועשה כולו,"שבי' ב, ח )לד ע""א (38,"
9,"ר""ה יג ע""ב; מנ'","שבי' לד ע""א  ,16,11)","הש' ת' שבי' ב, ה",,צובר גורנו,"שבי' ב, ח )לד ע""א (40,"
10,"ל ע""ב",(20,(17:170),,,
11,,"נד' מ ע""ב",,,רבי יונה,"שבי' ב, י )לד ע""ב (2,"
12,"מ""ק ו ע""א",,"מ' מ""ק א, ג",,מושכין את,"שבי' ב, י )לד ע""ב (6,"
13,,"מ""ק פ ע""ג",,,רבי מנא,"שבי' ב, י )לד ע""ב (7,"
14,,"מ""ק פ ע""א",,,מה בין,"שבי' ב, י )לד ע""ב (15,"
15,,"מע""ש נו ע""ב",,,והורי על,"שבי' ג, א )לד ע""ג (4,"
16,,"הש' כל' לא ע""ב; שבי' לג","הש' ת' שבי' א, א",,באיסור שני,"שבי' ג, א )לד ע""ג (8,"
17,,"ע""א 44)(; שבי' לד ע""ד",(5:165),,,
18,,-20,,,,
19,,,"ת' שבי' א, ד (17:166)",,מוכרין ומוציאין,"שבי' ג, א )לד ע""ג (9,"
,,,,,,
,,,,,,
,"ב""מ סה ע""א",Unnamed: 0,Unnamed: 1,,בשכר שכיר,"שבי' י, א )לט ע""ב (59,"
0,"ר""ה יט ע""ב;","ר""ה נח ע""ג; נד' מ ע""א;",,,ר' או',"שבי' י, ב )לט ע""ב (60,"
1,"ר""ה לב ע""א;","סנ' יח ע""ד",,,,
2,"ביצה ו ע""א;",,,,,
3,"ביצה כב ע""",,,,,
4,,,"מ' שק' ד, ה; הש' ת' שק'",,אם בא,"שבי' י, ב )לט ע""ב (60,"
5,,,"ב, ז (35:208)",,,
6,,,"מ' שבי' י, ב",,אם היה,"שבי' י, ב )לט ע""ב (61,"
7,"ר""ה לב ע""א","ר""ה נט ע""ג","ת' ר""ה ב, יא ;(48:316)",,וכשקידשו את,"שבי' י, ב )לט ע""ב (62,"
8,,,"ספ' קא ע""ד",,,
9,"ר""ה כה ע""א",,"ת' ר""ה ב, א ;(3:312)",,קידשוהו קודם,"שבי' י, ב )לט ע""ג (3,"
,,,,,,
,,,,,,
Chagigah,,,,,,
,"חג'  ד ע""א",,"מדר""י 333","שמות כג,  יז )ועוד(",כל זכורך (1),"חג'  א,  א )עו ע""א  (30,"
0,"חג'  ד ע""א",,"ס""ד קמג (196)","שמות כג,  יז )ועוד(",כל זכורך (2),"חג'  א,  א )עו ע""א  (30,"
1,"חג'  ד ע""א",,,"שמות כג,  יז )ועוד(",שלש פעמים,"חג'  א,  א )עו ע""א  (31,"
,,,,,,
,,,,,,
,,,,,,
0,"יב'  סה ע""ב",";(43, תר'  ה,  ט )מג ע""ד",,,ר'  אחא,"חג'  א,  ח )עו ע""ד  (40,"
1,,"סוטה ח,  ב )כב ע""ב ,",,,,
2,,(45,,,,
3,,";(45, תר'  ה,  ט )מג ע""ד","הש'  מ'  בכורות,  ד,  ד;","הש'  מ'  בכורות,  ד,  ד;","א""ר לעזר","חג'  א,  ח )עו ע""ד  (41,"
4,,"סוטה ח,  ב )כב ע""ב ,",ספ'  במ'  קיט  ;(143:22),ספ'  במ'  קיט,,
5,,"46(;  הש'  מ'  שמ'  דר""ח ,","ס""ד,  מח  ;(109:8)","143:22)(;  ס""ד,  מח",,
6,,"ד,  ד 1:228)(; ו""ר,  יב ,","מת""ד,  יא,  כב (34:41)","109:8)(;  מת""ד,  יא ,",,
7,,"א )רמד 1:( ;  במ""ר,  י,  ב",,כב (34:41),,
8,,")לב ע""ג  18,(;  מדמ""ש",,,,
9,,"א,  ז (23:43)",,,,
10,"סנ'  נד ע""ב","הש'  סנ'  כב ע""א (1)",,,אזהרה לשוכב,"חג'  ב,  א )עז ע""א  (15,"
11,,"חג'  עז ע""ג 18)(;  הש'",,,בתחילה היה,"חג'  ב,  א )עז ע""א  (18,"
12,,"מת""ה צג,  ב",,,,
13,,,,"בראשית א,  ב",ורוח אלהים,"חג'  ב,  א )עז ע""א  (19,"
14,,,,"תהלים קמז,  יז",משליך קרחו,"חג'  ב,  א )עז ע""א  (20,"
15,,"ב""ר 4;  פד""א ג )יא(;",,,חזר ועשאו,"חג'  ב,  א )עז ע""א  (20,"
16,,"תנ""ב בראשית יא  ;(8)",,,,
17,,"תנ""ב מקץ טז (202)",,,,
18,,,,"איוב לז,  ו",כי לשלג,"חג'  ב,  א )עז ע""א  (21,"
19,"חג'  יב ע""ב",,,,והארץ עומדת,"חג'  ב,  א )עז ע""א  (21,"
20,,,,"תהלים קלו,  ו",לרוקע הארץ,"חג'  ב,  א )עז ע""א  (21,"
21,,,,"תהלים קד,  ו",על הרים,"חג'  ב,  א )עז ע""א  (22,"
22,,,,"עמוס ד,  יג",כי הנה,"חג'  ב,  א )עז ע""א  (22,"
23,,,,"תהלים קמח,  ח",רוח סערה,"חג'  ב,  א )עז ע""א  (23,"
24,,,,"דברים לג,  כז",ומתחת זרועות,"חג'  ב,  א )עז ע""א  (24,"
25,,,,"עמוס ד,  יג",כי הנה,"חג'  ב,  א )עז ע""א  (24,"
26,"הש'  חג'  ד ע""ב","ו""ר תרב;  איכ""ר  ;133",,,זה אחד,"חג'  ב,  א )עז ע""א  (25,"
27,,"מד""ש כד,  ה  ;(119)",,,,
28,,"ק""ר יב,  יד )לא ע""ב(;",,,,
29,,"תנ""ו אמור ב  ;(449)",,,,
30,,"תנ""ב אמור ד (82)",,,,
31,,,,"צפניה ב,  ג",בקשו את,"חג'  ב,  א )עז ע""א  (25,"
32,,,,"עמוס ה,  טו",שנאו רע,"חג'  ב,  א )עז ע""א  (26,"
