refs_before,vectors,accurated,changed
"{'Pesachim 102b', 'JTmock Berakhot 8:1:6'}",{'Tosefta Berakhot (Lieberman) 5.30'},set(),True
"{'JTmock Berakhot 8:1:7', 'Pesachim 103a'}",{'Tosefta Berakhot (Lieberman) 5.30'},set(),True
"{'JTmock Berakhot 8:2:7', 'Chullin 105a'}",{'Tosefta Berakhot (Lieberman) 5.13'},set(),True
"{'JTmock Berakhot 8:2:7', 'Eruvin 17b'}",{'Tosefta Berakhot (Lieberman) 5.13'},set(),True
"{'Berakhot 43b', 'JTmock Berakhot 8:5:3'}",{'Tosefta Berakhot (Lieberman) 5.29'},set(),True
"{'Pesachim 54a', 'JTmock Berakhot 8:5:6'}",{'Genesis 36.24'},set(),True
"{'Yoma 49a', 'JTmock Berakhot 8:5:7'}",{'Chullin 7b:13'},set(),True
"{'Chullin 7b', 'JTmock Berakhot 8:5:7'}","{'Yoma 49a:10', 'Yoma 49a:11'}",set(),True
"{'Pesikta Rabbati 23', 'JTmock Berakhot 8:5:8'}","{'Job 37.3', 'Ruth Rabbah, Petichta 7', 'Genesis 3.15', 'Bereishit Rabbah 12.6', 'Bereishit Rabbah 11.2', 'Shemot Rabbah 35.1', 'Chagigah 12a.9'}",set(),True
"{'Chagigah 12a', 'JTmock Berakhot 8:5:8'}","{'Ruth Rabbah, Petichta 7', 'Bereishit Rabbah 12.6', 'Shemot Rabbah 35.1', 'Pesikta Rabbati 23.1', 'Bereishit Rabbah 11.2'}","{('JTmock Berakhot 8:5:8', 'Chagigah 12a:9-10'), ('JTmock Berakhot 8:5:8', 'Chagigah 12a:9')}",False
"{'Berakhot 53b', 'JTmock Berakhot 8:6:4'}",{'JTmock Beitzah 5:5:2'},set(),True
"{'Chagigah 12a', 'JTmock Berakhot 8:6:9'}","{'Genesis 1.4', 'Genesis 1.5'}","{('JTmock Berakhot 8:6:9', 'Chagigah 12a:10'), ('JTmock Berakhot 8:6:9', 'Chagigah 12a:6')}",False
"{'Avodah Zarah 2a', 'JTmock Berakhot 8:6:10'}","{'Isaiah 44.9', 'Mishnah Avodah Zarah 1.1', 'Deuteronomy 32.35'}","{('JTmock Berakhot 8:6:10', 'Avodah Zarah 2a:1'), ('JTmock Berakhot 8:6:10', 'Avodah Zarah 2a:6'), ('JTmock Berakhot 8:6:10', 'Avodah Zarah 2a:3')}",False
"{'Berakhot 57b', 'JTmock Berakhot 9:1:4'}","{'Isaiah 14.23', 'Tosefta Berakhot (Lieberman) 6.2', 'Ruth Rabbah 3.2'}","{('JTmock Berakhot 9:1:4', 'Berakhot 57b:22'), ('JTmock Berakhot 9:1:4', 'Berakhot 57b:20')}",False
"{'JTmock Berakhot 9:1:5', 'Berakhot 12a'}",{'Berakhot 40b.10'},set(),True
"{'JTmock Berakhot 9:1:5', 'Berakhot 40b'}",{'Berakhot 12a:17'},set(),True
"{'Midrash Tanchuma, Ki Tisa 10', 'JTmock Berakhot 9:1:6'}",{'Job 37.23'},set(),True
"{'Megillah 25a', 'JTmock Berakhot 9:1:6'}","{'Berakhot 33b:23', 'Berakhot 33b:29', 'Berakhot 33b:28', 'Berakhot 33b:19', 'Berakhot 33b:20', 'Berakhot 33b:21', 'Berakhot 33b:22', 'Berakhot 33b:27', 'Berakhot 33b:31', 'Berakhot 33b:30', 'Berakhot 33b:16'}","{('JTmock Berakhot 9:1:6', 'Megillah 25a:11-13'), ('JTmock Berakhot 9:1:6', 'Megillah 25a:1'), ('JTmock Berakhot 9:1:6', 'Megillah 25a:8-9'), ('JTmock Berakhot 9:1:6', 'Megillah 25a:5-7')}",False
"{'Pesikta Rabbati 16', 'JTmock Berakhot 9:1:6'}",{'Job 37.23'},set(),True
"{'Berakhot 33b', 'JTmock Berakhot 9:1:6'}","{'Megillah 25a:7', 'Megillah 25a:5', 'Megillah 25a:8', 'Megillah 25a:11', 'Megillah 25a:13', 'Megillah 25a:12', 'Megillah 25a:9', 'Megillah 25a:1', 'Megillah 25a:6'}","{('JTmock Berakhot 9:1:6', 'Berakhot 33b:27-34a:1'), ('JTmock Berakhot 9:1:6', 'Berakhot 33b:19-21'), ('JTmock Berakhot 9:1:6', 'Berakhot 33b:16'), ('JTmock Berakhot 9:1:6', 'Berakhot 33b:22-23')}",False
"{'JTmock Berakhot 9:1:8', 'Midrash Tanchuma Buber, Bereshit 7'}",{'Genesis 1.1'},set(),True
"{'Sanhedrin 38b', 'JTmock Berakhot 9:1:8'}","{'Bereishit Rabbah 8.9', 'Deuteronomy 4:32', 'Devarim Rabbah 2.13'}","{('JTmock Berakhot 9:1:8', 'Sanhedrin 38b:14'), ('JTmock Berakhot 9:1:8', 'Sanhedrin 38b:7')}",False
"{'Midrash Tanchuma Buber, Kedoshim 4', 'JTmock Berakhot 9:1:12'}","{'Isaiah 52.10', 'Psalms 77.14', 'Exodus 15.11', 'Psalms 60.8', 'Joshua 24.19'}",set(),True
"{'JTmock Berakhot 9:1:12', 'Midrash Tanchuma, Kedoshim 4'}","{'Isaiah 52.10', 'Psalms 77.14', 'Exodus 15.11', 'Psalms 60.8', 'Joshua 24.19'}",set(),True
"{'Pesachim 94b', 'JTmock Berakhot 9:1:13'}","{'Bereishit Rabbah 6.6', 'Chagigah 13a:2', 'Chagigah 13a:3'}","{('JTmock Berakhot 9:1:13', 'Pesachim 94b:2'), ('JTmock Berakhot 9:1:13', 'Pesachim 94a:13-94b:1')}",False
"{'Chagigah 13a', 'JTmock Berakhot 9:1:13'}","{'Bereishit Rabbah 6.6', 'Pesachim 94b:1'}","{('JTmock Berakhot 9:1:13', 'Chagigah 13a:2-3'), ('JTmock Berakhot 9:1:13', 'Chagigah 13a:3')}",False
"{'Berakhot 57b', 'JTmock Berakhot 9:1:25'}","{'Tosefta Berakhot (Lieberman) 6.2', 'Ruth Rabbah 3.2'}",set(),True
"{'Menachot 43b', 'JTmock Berakhot 9:1:27'}",{'Tosefta Berakhot (Lieberman) 6.18'},set(),True
"{'Avodah Zarah 20a', 'JTmock Berakhot 9:1:31'}",{'Deuteronomy 7:2'},set(),True
"{'Rosh Hashanah 26a', 'JTmock Berakhot 9:1:32'}","{'Joshua 6:5', 'Job 38.36'}","{('JTmock Berakhot 9:1:32', 'Rosh Hashanah 26a:3'), ('JTmock Berakhot 9:1:32', 'Rosh Hashanah 26a:20')}",False
"{'JTmock Berakhot 9:1:32-33', 'Berakhot 58a'}",{'Tosefta Berakhot (Lieberman) 6.2'},set(),True
"{'Kohelet Rabbah 1:6', 'JTmock Berakhot 9:2:9'}","{'Isaiah 57.16', 'Vayikra Rabbah 15.1', 'Bereishit Rabbah 24.4'}",set(),True
"{'Shir HaShirim Rabbah 2:5', 'JTmock Berakhot 9:2:12'}","{'Judges 18.30', 'JTmock Sanhedrin 11.5.4', 'I Kings 13:11'}","{('JTmock Berakhot 9:2:9-20', 'Shir HaShirim Rabbah 2:5:3'), ('JTmock Berakhot 9:2:12', 'Shir HaShirim Rabbah 2:5:3')}",False
"{'Bava Batra 109b', 'JTmock Berakhot 9:2:12'}",{'Judges 18.30'},set(),True
"{'Bava Batra 110a', 'JTmock Berakhot 9:2:12'}",{'I Chronicles 26.24'},set(),True
"{'JTmock Berakhot 9:2:13', 'Berakhot 59b'}","{'Tosefta Berakhot (Lieberman) 6.6', 'Vayikra Rabbah 23.8'}",set(),True
"{'Pesikta Rabbati 12', 'JTmock Berakhot 9:2:16'}",{'Berakhot 58b.5'},set(),True
"{'Berakhot 58b', 'JTmock Berakhot 9:2:16'}","{'Pesikta Rabbati 12:1', 'Jeremiah 50.12'}",set(),True
"{'Berakhot 59a', 'JTmock Berakhot 9:2:16-18'}",{'Tosefta Berakhot (Lieberman) 6.5'},set(),True
"{'Taanit 6b', 'JTmock Berakhot 9:2:21'}","{'Berakhot 59b:6', 'Berakhot 59b:7'}",set(),True
"{'JTmock Berakhot 9:2:21', 'Berakhot 59b'}","{'Taanit 6b:16', 'Taanit 6b:15'}",set(),True
"{'Taanit 25b', 'JTmock Berakhot 9:2:22'}","{'Bereishit Rabbah 13.13', 'Psalms 42.8'}","{('JTmock Berakhot 9:2:22', 'Taanit 25b:8'), ('JTmock Berakhot 9:2:22', 'Taanit 25b:6-7')}",False
"{'JTmock Berakhot 9:3:3', 'Pesachim 7b'}","{'Menachot 42a:22', 'Sukkah 46a:1'}","{('JTmock Berakhot 9:3:3', 'Pesachim 7b:6'), ('JTmock Berakhot 9:3:3', 'Pesachim 7b:8')}",False
"{'JTmock Berakhot 9:3:3', 'Sukkah 46a'}","{'Pesachim 7b:14', 'Menachot 42a:7', 'Pesachim 7b:7', 'Menachot 42a:1', 'Menachot 42a:15', 'Menachot 42a:16', 'Menachot 42a:10', 'Pesachim 7b:1', 'Pesachim 7b:13', 'Menachot 42a:3', 'Menachot 42a:20', 'Pesachim 7b:4', 'Pesachim 7b:3', 'Pesachim 7b:19', 'Menachot 42a:12', 'Pesachim 7b:10', 'Menachot 42a:13', 'Menachot 42a:22', 'Pesachim 7b:8', 'Menachot 42a:9', 'Menachot 42a:18', 'Menachot 42a:14', 'Menachot 42a:19', 'Pesachim 7b:2', 'Menachot 42a:21', 'Menachot 42a:8', 'Pesachim 7b:6', 'Pesachim 7b.16', 'Pesachim 7b:11', 'Menachot 42a:6', 'Menachot 42a:23', 'Menachot 42a:17', 'Pesachim 7b:18', 'Pesachim 7b:17', 'Pesachim 7b:12', 'Menachot 42a:4', 'Pesachim 7b:15', 'Pesachim 7b:5', 'Tosefta Berakhot (Lieberman) 6.9', 'Menachot 42a:5', 'Menachot 42a:11', 'Menachot 42a:2', 'Pesachim 7b:9'}","{('JTmock Berakhot 9:3:3', 'Sukkah 45b:13-46a:1'), ('JTmock Berakhot 9:3:3', 'Sukkah 46a:1')}",False
"{'JTmock Berakhot 9:3:3', 'Menachot 42a'}","{'Pesachim 7b:8', 'Tosefta Berakhot (Lieberman) 6.9'}",set(),True
"{'Menachot 36a', 'JTmock Berakhot 9:3:4'}",{'Menachot 42b:2'},set(),True
"{'Menachot 42b', 'JTmock Berakhot 9:3:4'}",{'Menachot 36a:2'},set(),True
"{'Berakhot 60b', 'JTmock Berakhot 9:3:4'}",{'Tosefta Berakhot (Lieberman) 6:10'},set(),True
"{'JTmock Berakhot 9:3:6', 'Pesachim 7b'}","{'Pesachim 119b:1', 'Megillah 21b:3', 'Sukkah 39a.3', 'Megillah 21b:4', 'Pesachim 119b:2'}",set(),True
"{'JTmock Berakhot 9:3:6', 'Pesachim 119b'}","{'Megillah 21b:3', 'Sukkah 39a:2', 'Pesachim 7b:10', 'Megillah 21b:4', 'Pesachim 7b:9'}","{('JTmock Berakhot 9:3:6', 'Pesachim 119b:1-2'), ('JTmock Berakhot 9:3:6', 'Pesachim 119b:3')}",False
"{'JTmock Berakhot 9:3:6', 'Sukkah 39a'}","{'Pesachim 7b:14', 'Pesachim 7b:7', 'Pesachim 119b:5', 'Megillah 21b:16', 'Menachot 35b:3', 'Menachot 35b:7', 'Pesachim 119b:12', 'Megillah 21b:18', 'Menachot 35b:2', 'Pesachim 119b:10', 'Pesachim 7b:1', 'Megillah 21b:2', 'Menachot 35b:1', 'Pesachim 119b:6', 'Menachot 35b:5', 'Megillah 21b:17', 'Megillah 21b:7', 'Megillah 21b:9', 'Pesachim 7b:13', 'Megillah 21b:13', 'Pesachim 7b:4', 'Pesachim 7b:3', 'Pesachim 7b:19', 'Menachot 35b:4', 'Pesachim 119b:7', 'Pesachim 7b:10', 'Pesachim 7b:8', 'Menachot 35b:6', 'Pesachim 119b:2', 'Menachot 35b:10', 'Megillah 21b:3', 'Megillah 21b:11', 'Megillah 21b:12', 'Pesachim 7b:2', 'Pesachim 119b:9', 'Pesachim 119b:11', 'Megillah 21b:1', 'Pesachim 119b:4', 'Megillah 21b:4', 'Megillah 21b:15', 'Pesachim 7b:6', 'Megillah 21b:6', 'Pesachim 119b:1', 'Pesachim 119b:13', 'Pesachim 7b.16', 'Pesachim 7b:11', 'Menachot 35b.8', 'Megillah 21b:10', 'Megillah 21b:8', 'Menachot 35b:9', 'Pesachim 119b:8', 'Megillah 21b:5', 'Pesachim 7b:18', 'Pesachim 7b:17', 'Pesachim 7b:12', 'Pesachim 7b:15', 'Pesachim 7b:5', 'Pesachim 119b:3', 'Megillah 21b:14', 'Pesachim 7b:9'}","{('JTmock Berakhot 9:3:6', 'Sukkah 39a:2'), ('JTmock Berakhot 9:3:6', 'Sukkah 39a:3')}",False
"{'JTmock Berakhot 9:3:6', 'Megillah 21b'}","{'Pesachim 119b:1', 'Sukkah 39a.3', 'Pesachim 7b:10', 'Pesachim 7b:9', 'Pesachim 119b:2'}",set(),True
"{'Midrash Tanchuma Buber, Vayetzei 19', 'JTmock Berakhot 9:3:8'}",{'Genesis 30.21'},set(),True
"{'JTmock Berakhot 9:3:8', 'Midrash Tanchuma Buber, Vayetzei 20'}",{'Genesis 30.24'},set(),True
"{'Midrash Tanchuma, Vayetzei 8', 'JTmock Berakhot 9:3:8'}",{'Genesis 30.21'},set(),True
"{'Berakhot 60a', 'JTmock Berakhot 9:3:8'}","{'Bereishit Rabbah 72.6', 'Genesis 30.21'}","{('JTmock Berakhot 9:3:8', 'Berakhot 60a:11'), ('JTmock Berakhot 9:3:8', 'Berakhot 60a:12')}",False
"{'JTmock Berakhot 9:3:9', 'Berakhot 60a'}",{'Psalms 112.7'},set(),True
"{'Midrash Tanchuma, Tetzaveh 10', 'JTmock Berakhot 9:5:2'}",{'Psalms 92.9'},set(),True
"{'Berakhot 60b', 'JTmock Berakhot 9:5:2'}",{'Vayikra Rabbah 24.2'},set(),True
"{'Shir HaShirim Rabbah 1:9', 'JTmock Berakhot 9:5:8'}","{'Vayikra Rabbah 24.2', 'Bamidbar Rabbah 3.4'}",set(),True
"{'Kiddushin 57a', 'JTmock Berakhot 9:5:10'}","{'Bava Kamma 41b:6', 'Bekhorot 6b:3', 'Bava Kamma 41b:8', 'Bekhorot 6b:4', 'Bava Kamma 41b:7'}","{('JTmock Berakhot 9:5:10', 'Kiddushin 57a:1'), ('JTmock Berakhot 9:5:10', 'Kiddushin 57a:1-2')}",False
"{'JTmock Berakhot 9:5:10', 'Berakhot 61b'}",{'Deuteronomy 6.5'},set(),True
"{'Bava Kamma 41b', 'JTmock Berakhot 9:5:10'}","{'Kiddushin 57a:2', 'Bekhorot 6b:3', 'Bekhorot 6b:4', 'Kiddushin 57a:1'}","{('JTmock Berakhot 9:5:10', 'Bava Kamma 41b:6-8'), ('JTmock Berakhot 9:5:10', 'Bava Kamma 41b:6-7')}",False
"{'JTmock Berakhot 9:5:10', 'Bekhorot 6b'}","{'Bava Kamma 41b:7', 'Bava Kamma 41b:6', 'Kiddushin 57a:1'}",set(),True
"{'Kohelet Rabbah 4:17', 'JTmock Berakhot 9:5:13'}","{'Esther 4.2', 'Ecclesiastes 4.17'}",set(),True
"{'Berakhot 62b', 'JTmock Berakhot 9:5:13'}",{'Esther 4.2'},set(),True
"{'Midrash Tanchuma Buber, Vayechi 10', 'JTmock Berakhot 9:5:16'}","{'Joshua 7.11', 'Esther 9.27'}",set(),True
"{'Midrash Tanchuma, Vayechi 8', 'JTmock Berakhot 9:5:16'}","{'Joshua 7.11', 'Esther 9.27'}","{('JTmock Berakhot 9:5:16', 'Midrash Tanchuma, Vayechi 8:5'), ('JTmock Berakhot 9:5:16', 'Midrash Tanchuma, Vayechi 8:4')}",False
"{'Makkot 23b', 'JTmock Berakhot 9:5:16'}","{'Judges 6.12', 'Shabbat 32b:8', 'Ruth Rabbah 4.5', 'Malachi 3:10', 'Taanit 9a:4', 'Taanit 9a:3', 'Bamidbar Rabbah 12.11', 'Ruth 2.4', 'Esther 9.27'}","{('JTmock Berakhot 9:5:16', 'Makkot 23b:7'), ('JTmock Berakhot 9:5:16', 'Makkot 23b:9'), ('JTmock Berakhot 9:5:16', 'Makkot 23b:11')}",False
"{'Shabbat 32b', 'JTmock Berakhot 9:5:16'}","{'Malachi 3:10', 'Taanit 9a:4', 'Bamidbar Rabbah 12.11', 'Taanit 9a:3', 'Makkot 23b:11'}",set(),True
"{'Taanit 9a', 'JTmock Berakhot 9:5:16'}","{'Makkot 23b:11', 'Malachi 3:10', 'Bamidbar Rabbah 12.11', 'Shabbat 32b:8'}","{('JTmock Berakhot 9:5:16', 'Taanit 9a:3'), ('JTmock Berakhot 9:5:16', 'Taanit 9a:3-4')}",False
"{'Berakhot 63a', 'JTmock Berakhot 9:5:19'}",{'Tosefta Berakhot (Lieberman) 6.24'},set(),True
"{'JTmock Berakhot 9:5:21', 'Menachot 43b'}","{'Psalms 12.1', 'Psalms 119:164', 'Psalms 34.8'}","{('JTmock Berakhot 9:5:21', 'Menachot 43b:12'), ('JTmock Berakhot 9:5:21', 'Menachot 43b:10'), ('JTmock Berakhot 9:5:21', 'Menachot 43b:11')}",False
"{'Bava Batra 27b', 'JTmock Bikkurim 1:1:7'}",{'Mishnah Bava Batra 3.8'},set(),True
"{'JTmock Bikkurim 1:3:5', 'Sukkah 5b'}","{'Berakhot 41a:11', 'Eruvin 4a:1', 'Berakhot 41a:12', 'Eruvin 4a:10', 'Berakhot 41a:10', 'Berakhot 41a:9', 'Deuteronomy 8.8', 'Eruvin 4a:11', 'Berakhot 41a.8'}","{('JTmock Bikkurim 1:3:5', 'Sukkah 5b:13-14'), ('JTmock Bikkurim 1:3:5', 'Sukkah 5b:14-6a:8'), ('JTmock Bikkurim 1:3:5', 'Sukkah 5b:14')}",False
"{'JTmock Bikkurim 1:3:5', 'Berakhot 41a'}","{'Eruvin 4a:14', 'Sukkah 5b:14', 'Eruvin 4a:13', 'Eruvin 4a:12', 'Eruvin 4a:11', 'Sukkah 5b:15', 'Deuteronomy 8.8'}","{('JTmock Bikkurim 1:3:5', 'Berakhot 41a:8-41b:3'), ('JTmock Bikkurim 1:3:5', 'Berakhot 41a:9-41b:3'), ('JTmock Bikkurim 1:3:5', 'Berakhot 41a:8')}",False
"{'Eruvin 4a', 'JTmock Bikkurim 1:3:5'}","{'Berakhot 41a:11', 'Sukkah 5b:14', 'Berakhot 41a:12', 'Sukkah 5b:13', 'Berakhot 41a:10', 'Berakhot 41a:9', 'Deuteronomy 8.8'}","{('JTmock Bikkurim 1:3:5', 'Eruvin 4a:11'), ('JTmock Bikkurim 1:3:5', 'Eruvin 4a:11-4b:4'), ('JTmock Bikkurim 1:3:5', 'Eruvin 4a:10-11')}",False
"{'JTmock Bikkurim 1:4:5-5:2', 'Yevamot 57a'}",{'Kiddushin 78a.10'},set(),True
"{'JTmock Bikkurim 1:5:2', 'Kiddushin 78a'}","{'Yevamot 57a:8', 'Yevamot 60b.6', 'Ezekiel 44.22', 'Mishnah Kiddushin 4.6', 'Sifrei Bamidbar 157:6'}","{('JTmock Bikkurim 1:4:5-5:2', 'Kiddushin 78a:10'), ('JTmock Bikkurim 1:5:2', 'Kiddushin 78a:20'), ('JTmock Bikkurim 1:5:2', 'Kiddushin 78a:19')}",False
"{'JTmock Bikkurim 1:5:2', 'Sifrei Bamidbar 157'}","{'Yevamot 60b.6', 'Numbers 31.17', 'Kiddushin 78a.19'}",set(),True
"{'Yevamot 60b', 'JTmock Bikkurim 1:5:2'}","{'Kiddushin 78a.19', 'Numbers 31.17', 'Sifrei Bamidbar 157:6'}","{('JTmock Bikkurim 1:5:2', 'Yevamot 60b:6'), ('JTmock Bikkurim 1:5:2', 'Yevamot 60b:8')}",False
"{'Sifrei Devarim 253', 'JTmock Bikkurim 1:5:4'}",{'Deuteronomy 23.9'},set(),True
"{'JTmock Bikkurim 1:5:7', 'Gittin 47b'}",{'Deuteronomy 26.11'},set(),True
"{'Makkot 17a', 'JTmock Bikkurim 1:5:8'}",{'Mishnah Makkot 3.3'},set(),True
"{'Berakhot 40a', 'JTmock Bikkurim 1:6:3'}",{'Mishnah Berakhot 6.2'},set(),True
"{'Megillah 6a', 'JTmock Bikkurim 1:8:2'}",{'Ketubot 111b:23'},set(),True
"{'Ketubot 111b', 'JTmock Bikkurim 1:8:2'}",{'Megillah 6a.10'},set(),True
"{'Rosh Hashanah 18a', 'JTmock Bikkurim 2:1:9'}",{'I Samuel 25.38'},set(),True
"{'Chullin 66b', 'JTmock Bikkurim 2:1:11'}","{'Leviticus 11:10', 'Leviticus 11:9'}","{('JTmock Bikkurim 2:1:11', 'Chullin 66b:9'), ('JTmock Bikkurim 2:1:11', 'Chullin 66b:7')}",False
"{'JTmock Bikkurim 2:1:14', 'Sotah 15a'}",{'Numbers 18.8'},set(),True
"{'JTmock Bikkurim 2:1:14', 'Yevamot 73b'}",{'Deuteronomy 26.14'},set(),True
"{'Chagigah 18b', 'JTmock Bikkurim 2:1:15'}","{'Chullin 33b:2', 'Chullin 33b:1', 'Chullin 33b:3', 'Mishnah Chagigah 2.5', 'Mishnah Parah 11.5'}","{('JTmock Bikkurim 2:1:15', 'Chagigah 18b:9'), ('JTmock Bikkurim 2:1:15', 'Chagigah 18b:11'), ('JTmock Bikkurim 2:1:15', 'Chagigah 18b:1-4')}",False
"{'JTmock Bikkurim 2:1:15', 'Chullin 33b'}","{'Chagigah 18b.9', 'Chagigah 18b.11', 'Mishnah Parah 11.5'}","{('JTmock Bikkurim 2:1:15', 'Chullin 33a:14-33b:2'), ('JTmock Bikkurim 2:1:15', 'Chullin 33b:3'), ('JTmock Bikkurim 2:1:15', 'Chullin 33b:1-2')}",False
"{'Pesachim 34a', 'JTmock Bikkurim 2:2:9'}",{'Mishnah Terumot 9.6'},set(),True
"{'JTmock Bikkurim 2:3:8', 'Sifrei Devarim 300'}",{'Deuteronomy 26.4'},set(),True
"{'JTmock Bikkurim 2:3:8', 'Menachot 61b'}","{'Makkot 18b:13', 'Deuteronomy 26.4', 'Sukkah 47b.7'}","{('JTmock Bikkurim 2:3:8', 'Menachot 61a:15-61b:1'), ('JTmock Bikkurim 2:3:8', 'Menachot 61b:4')}",False
"{'Yevamot 113a', 'JTmock Bikkurim 2:6:2-4'}",{'Tosefta Bikkurim (Lieberman) 2.1'},set(),True
"{'Keritot 17b', 'JTmock Bikkurim 2:6:2-4'}",{'Tosefta Bikkurim (Lieberman) 2.1'},set(),True
"{'Kiddushin 33a', 'JTmock Bikkurim 3:3:7'}",{'Leviticus 19.32'},set(),True
"{'Kiddushin 33b', 'JTmock Bikkurim 3:3:9'}",{'Exodus 33.8'},set(),True
"{'Sukkah 26a', 'JTmock Bikkurim 3:3:12'}","{'Tosefta Berakhot (Lieberman) 2.6', 'JTmock Berakhot 1:2:9'}",set(),True
"{'Kiddushin 33a', 'JTmock Bikkurim 3:3:13-14'}",{'Tosefta Megillah (Lieberman) 3.24'},set(),True
"{'Yoma 22b', 'JTmock Bikkurim 3:3:16'}",{'I Samuel 13.1'},set(),True
"{'Sotah 14b', 'JTmock Bikkurim 3:4:7'}","{'Leviticus 6.7', 'Zevachim 63b:4', 'Zevachim 63b:5'}","{('JTmock Bikkurim 3:4:7', 'Sotah 14b:13'), ('JTmock Bikkurim 3:4:7', 'Sotah 14b:13-14')}",False
"{'JTmock Chagigah 1:1:3', 'Chagigah 3a'}","{""Avot D'Rabbi Natan 18.2"", 'Bamidbar Rabbah 14.4', 'Tosefta Sotah (Lieberman) 7.9', 'Deuteronomy 31:12'}","{('JTmock Chagigah 1:1:3', 'Chagigah 3a:6'), ('JTmock Chagigah 1:1:3', 'Chagigah 3a:15'), ('JTmock Chagigah 1:1:3', 'Chagigah 3a:18'), ('JTmock Chagigah 1:1:3', 'Chagigah 3a:15-19')}",False
"{'JTmock Chagigah 1:1:3', ""Avot D'Rabbi Natan 18""}","{'Bamidbar Rabbah 14.4', 'Deuteronomy 31:12', 'Chagigah 3a:15'}",set(),True
"{'JTmock Chagigah 1:1:5', 'Yevamot 104b'}","{'Mishnah Yevamot 12.4', 'Deuteronomy 25:8'}","{('JTmock Chagigah 1:1:5', 'Yevamot 104b:6'), ('JTmock Chagigah 1:1:5', 'Yevamot 104a:16-104b:2')}",False
"{'JTmock Chagigah 1:1:10-12', 'Sifrei Devarim 143'}",{'Chagigah 2a.2'},set(),True
"{'Chagigah 4a', 'JTmock Chagigah 1:1:10'}",{'Exodus 23.17'},set(),True
"{'JTmock Chagigah 1:1:10', 'Chagigah 2a'}","{'Exodus 23.17', 'Sifrei Devarim 143:6', 'Tosefta Chagigah (Lieberman) 1.1'}","{('JTmock Chagigah 1:1:10-12', 'Chagigah 2a:2'), ('JTmock Chagigah 1:1:10', 'Chagigah 2a:6')}",False
"{'Chagigah 4a', 'JTmock Chagigah 1:1:12'}",{'Exodus 23.17'},set(),True
"{'Bekhorot 51b', 'JTmock Chagigah 1:1:20'}",{'Exodus 34.20'},set(),True
"{'Chagigah 6a', 'JTmock Chagigah 1:2:2'}",{'Tosefta Chagigah (Lieberman) 1.4'},set(),True
"{'JTmock Chagigah 1:2:4', 'Yoma 80a'}",{'JTmock Peah 1.1.8'},set(),True
"{'JTmock Chagigah 1:2:4', 'Sukkah 5b'}","{'Eruvin 4a:11', 'Eruvin 4a:1', 'Eruvin 4a:10'}","{('JTmock Chagigah 1:2:4', 'Sukkah 5b:13-14'), ('JTmock Chagigah 1:2:4', 'Sukkah 5b:14')}",False
"{'Eruvin 4a', 'JTmock Chagigah 1:2:4'}","{'JTmock Peah 1.1.8', 'Sukkah 5b:14', 'Sukkah 5b:13'}","{('JTmock Chagigah 1:2:4', 'Eruvin 4a:10-11'), ('JTmock Chagigah 1:2:4', 'Eruvin 4a:12-13')}",False
"{'JTmock Chagigah 1:3:2', 'Chagigah 8a'}","{'Deuteronomy 16.14', 'Deuteronomy 16.10'}","{('JTmock Chagigah 1:3:2', 'Chagigah 8a:5'), ('JTmock Chagigah 1:3:2', 'Chagigah 8a:9')}",False
"{'Rosh Hashanah 4b', 'JTmock Chagigah 1:6:3'}","{'Chagigah 17a:5', 'Chagigah 17a:6'}",set(),True
"{'Yoma 2b', 'JTmock Chagigah 1:6:3'}",{'Chagigah 17a:7'},set(),True
"{'JTmock Chagigah 1:6:3', 'Sukkah 47a'}","{'Yoma 2b:8', 'Rosh Hashanah 4b:12', 'Chagigah 17a:8', 'Yoma 2b:11', 'Chagigah 17a:10', 'Rosh Hashanah 4b:13', 'Chagigah 17a:3', 'Rosh Hashanah 4b:3', 'Yoma 2b.3', 'Yoma 2b:9', 'Chagigah 17a:2', 'Chagigah 17a:7', 'Rosh Hashanah 4b:1', 'Rosh Hashanah 4b:9', 'Rosh Hashanah 4b:8', 'Chagigah 17a:1', 'Yoma 2b:7', 'Yoma 2b:2', 'Sukkah 48a:1', 'Rosh Hashanah 4b:10', 'Rosh Hashanah 4b.14', 'Yoma 2b:10', 'Yoma 2b:4', 'Yoma 2b:12', 'Yoma 2b:1', 'Rosh Hashanah 4b:6', 'Rosh Hashanah 4b:11', 'Numbers 29.35', 'Chagigah 17a:6', 'Rosh Hashanah 4b:16', 'Yoma 2b:5', 'Numbers 29.17', 'Numbers 29.36', 'Rosh Hashanah 4b:2', 'Chagigah 17a:4', 'Rosh Hashanah 4b:7', 'Rosh Hashanah 4b:15', 'Chagigah 17a:5', 'Chagigah 17a:9', 'Yoma 2b:6', 'Rosh Hashanah 4b:5', 'Rosh Hashanah 4b:4'}","{('JTmock Chagigah 1:6:3', 'Sukkah 47a:11'), ('JTmock Chagigah 1:6:3', 'Sukkah 47a:8'), ('JTmock Chagigah 1:6:3', 'Sukkah 47a:9'), ('JTmock Chagigah 1:6:3', 'Sukkah 47a:12')}",False
